x, current_density, J_max, J_min
0.000000000000000000e+00,1.478540462962030334e+11,1.675282799859925232e+11,2.923518477048280640e+11
5.000000000000000000e+00,1.351557204540647125e+11,1.507904387472034607e+11,2.432933583934868469e+11
1.000000000000000000e+01,1.246934813791675568e+11,1.357248842969991913e+11,2.024671939072000122e+11
1.500000000000000000e+01,1.160115222236159210e+11,1.221645375561018372e+11,1.684919180668975525e+11
2.000000000000000000e+01,1.086988114780957794e+11,1.099590124065862885e+11,1.402179084226076660e+11
2.500000000000000000e+01,1.023797723230938110e+11,9.897294788906503296e+10,1.166884564433803711e+11
3.000000000000000000e+01,9.670756242655577087e+10,8.908450703095663452e+10,9.710739534140209961e+10
3.500000000000000000e+01,9.136349478800581360e+10,8.018402565763497925e+10,8.081216015199342346e+10
4.000000000000000000e+01,8.606540669134797668e+10,7.217279620158912659e+10,6.725136850259112549e+10
4.500000000000000000e+01,8.058561380442755127e+10,6.496197302186875153e+10,5.596616347050759888e+10
5.000000000000000000e+01,7.477498602052256775e+10,5.847158709365740967e+10,4.657468722717367554e+10
5.500000000000000000e+01,6.858455662643206024e+10,5.262965914074404907e+10,3.875916010308897400e+10
6.000000000000000000e+01,6.207305685452816772e+10,4.737140137541026306e+10,3.225512786740505981e+10
6.500000000000000000e+01,5.539171165838802338e+10,4.263849899291778564e+10,2.684251338201044464e+10
7.000000000000000000e+01,4.874713436079219818e+10,3.837846345227117157e+10,2.233816984466276932e+10
7.500000000000000000e+01,4.235395938779846191e+10,3.454405037104994202e+10,1.858968364502785873e+10
8.000000000000000000e+01,3.639333356408792877e+10,3.109273557868347549e+10,1.547021714067522812e+10
8.500000000000000000e+01,3.098872723440113449e+10,2.798624351752719498e+10,1.287421684788347435e+10
9.000000000000000000e+01,2.620113385930479813e+10,2.519012276164271927e+10,1.071384182517637253e+10
9.500000000000000000e+01,2.203838378814713287e+10,2.267336394572676849e+10,8.915991396693733215e+09
1.000000000000000000e+02,1.838691427907026672e+10,2.040805586696782684e+10,7.419831642381752968e+09
1.050000000000000000e+02,1.530147376397466087e+10,1.836907594595266724e+10,6.174736958775531769e+09
