x, o_total, cc
0.000000000000000000e+00,5.529363952445176533e-01,5.607418136659777508e-01
5.000000000000000000e+00,5.375260863252937504e-01,5.452005293758627191e-01
1.000000000000000000e+01,5.223792276366558962e-01,5.299221352133621776e-01
1.500000000000000000e+01,5.074967769611480328e-01,5.149066310935316304e-01
2.000000000000000000e+01,4.928795129955726995e-01,5.001580282879158901e-01
2.500000000000000000e+01,4.785280359835084596e-01,4.856721758331539740e-01
3.000000000000000000e+01,4.644427685929166660e-01,4.714536776024251807e-01
3.500000000000000000e+01,4.506239570365908609e-01,4.575015283882724049e-01
4.000000000000000000e+01,4.370716724326470515e-01,4.438186134493674051e-01
4.500000000000000000e+01,4.237858124017052086e-01,4.303967170082990124e-01
5.000000000000000000e+01,4.107661028968884742e-01,4.172438497147954450e-01
5.500000000000000000e+01,3.980121002622323267e-01,4.043569205364782038e-01
6.000000000000000000e+01,3.855231935145990163e-01,3.917354032615334991e-01
6.500000000000000000e+01,3.732986068436893179e-01,3.793785766398135029e-01
7.000000000000000000e+01,3.613374023242711952e-01,3.672856580495247880e-01
7.500000000000000000e+01,3.496384828342816165e-01,3.554555599038904390e-01
8.000000000000000000e+01,3.382005951720190029e-01,3.438926129338327198e-01
8.500000000000000000e+01,3.270223333652186315e-01,3.325790396033399543e-01
9.000000000000000000e+01,3.161021421644078511e-01,3.215298032234604197e-01
9.500000000000000000e+01,3.054383207125566102e-01,3.107377983797985355e-01
1.000000000000000000e+02,2.950290263826891857e-01,3.002012528363476318e-01
1.050000000000000000e+02,2.848722787747897667e-01,2.899182543463061368e-01
1.100000000000000000e+02,2.749659638630334024e-01,2.798867555251298156e-01
1.150000000000000000e+02,2.653078382840970417e-01,2.701045778551061649e-01
1.200000000000000000e+02,2.558955337570524291e-01,2.605694191353185030e-01
1.250000000000000000e+02,2.467265616251245741e-01,2.512788417941299590e-01
1.300000000000000000e+02,2.377983175093989765e-01,2.422302603951429489e-01
1.350000000000000000e+02,2.291080860644018613e-01,2.334211527790836793e-01
1.400000000000000000e+02,2.206530458253367355e-01,2.248486125540239966e-01
1.450000000000000000e+02,2.124302741366545511e-01,2.165098131295498107e-01
1.500000000000000000e+02,2.044367521515558228e-01,2.084017835771729554e-01
1.550000000000000000e+02,1.966693698919771693e-01,2.005214594885608437e-01
1.600000000000000000e+02,1.891249313585925407e-01,1.928656879614112363e-01
1.650000000000000000e+02,1.818001596803705544e-01,1.854312326490956397e-01
1.700000000000000000e+02,1.746917022932693020e-01,1.782147835479508946e-01
1.750000000000000000e+02,1.677961361377160454e-01,1.712129410106815464e-01
1.800000000000000000e+02,1.611099728646154805e-01,1.644222571268450783e-01
1.850000000000000000e+02,1.546296640397539501e-01,1.578391455714296121e-01
1.900000000000000000e+02,1.483516063366151216e-01,1.514602346211638417e-01
1.950000000000000000e+02,1.422721467078015001e-01,1.452816914289378758e-01
2.000000000000000000e+02,1.363875875254551007e-01,1.392999084301879409e-01
2.050000000000000000e+02,1.306941916812983662e-01,1.335111679736789292e-01
2.100000000000000000e+02,1.251881876371630509e-01,1.279117155217993351e-01
2.150000000000000000e+02,1.198657744171491291e-01,1.224977646557936783e-01
2.200000000000000000e+02,1.147231265328461924e-01,1.172655020078824939e-01
2.250000000000000000e+02,1.097563988333626617e-01,1.122110921241486897e-01
2.300000000000000000e+02,1.049617312722392337e-01,1.073306822556657075e-01
2.350000000000000000e+02,1.003352535836715131e-01,1.026204070709449412e-01
2.400000000000000000e+02,9.587308986082990203e-02,9.807640009286600069e-02
2.450000000000000000e+02,9.157136302944469952e-02,9.369476837216210441e-02
2.500000000000000000e+02,8.742619921021445306e-02,8.947164591939485434e-02
2.550000000000000000e+02,8.343373196399947456e-02,8.540316253211302500e-02
2.600000000000000000e+02,7.959010641417491039e-02,8.148545731983944385e-02
2.650000000000000000e+02,7.589148324093931974e-02,7.771468282240925896e-02
2.700000000000000000e+02,7.233404254280183243e-02,7.408700899222248060e-02
2.750000000000000000e+02,6.891398756090597044e-02,7.059862702966766823e-02
2.800000000000000000e+02,6.562754826228309191e-02,6.724575306582158962e-02
2.850000000000000000e+02,6.247098477856970200e-02,6.402463168982940045e-02
2.900000000000000000e+02,5.944059069716095545e-02,6.093153932031737663e-02
2.950000000000000000e+02,5.653269620221271219e-02,5.796278742111163340e-02
3.000000000000000000e+02,5.374367106334025646e-02,5.511472556178305393e-02
3.050000000000000000e+02,5.106992747029491519e-02,5.238374432341763587e-02
3.100000000000000000e+02,4.850792271232724773e-02,4.976627804975718855e-02
3.150000000000000000e+02,4.605416170136605869e-02,4.725880744362295771e-02
3.200000000000000000e+02,4.370519933855571137e-02,4.485786200841065940e-02
3.250000000000000000e+02,4.145764272409802748e-02,4.256002233446223859e-02
3.300000000000000000e+02,3.930815321073847374e-02,4.036192223027233739e-02
3.350000000000000000e+02,3.725344830161819026e-02,3.826025069875408496e-02
3.400000000000000000e+02,3.529030339358347340e-02,3.625175375913364251e-02
3.450000000000000000e+02,3.341555336739979870e-02,3.433323611543508819e-02
3.500000000000000000e+02,3.162609402665947367e-02,3.250156267292610840e-02
3.550000000000000000e+02,2.991888338749815190e-02,3.075365990430038027e-02
3.600000000000000000e+02,2.829094282154629575e-02,2.908651706775780554e-02
3.650000000000000000e+02,2.673935805483515157e-02,2.749718727950186195e-02
3.700000000000000000e+02,2.526128002565389968e-02,2.598278844349947991e-02
3.750000000000000000e+02,2.385392560461310069e-02,2.454050404164315885e-02
3.800000000000000000e+02,2.251457818041112738e-02,2.316758378771873600e-02
3.850000000000000000e+02,2.124058811502214233e-02,2.186134414881846927e-02
3.900000000000000000e+02,2.002937307222853527e-02,2.061916873805036757e-02
3.950000000000000000e+02,1.887841822360569397e-02,1.943850858258355102e-02
4.000000000000000000e+02,1.778527633623292956e-02,1.831688227123804552e-02
4.050000000000000000e+02,1.674756774655224503e-02,1.725187598597734129e-02
4.100000000000000000e+02,1.576298022492484893e-02,1.624114342179398124e-02
4.150000000000000000e+02,1.482926873554539678e-02,1.528240559959324722e-02
4.200000000000000000e+02,1.394425509646578763e-02,1.437345057677782978e-02
4.250000000000000000e+02,1.310582754455364048e-02,1.351213306031728845e-02
4.300000000000000000e+02,1.231194021026657884e-02,1.269637392715022850e-02
4.350000000000000000e+02,1.156061250716215044e-02,1.192415965681475551e-02
4.400000000000000000e+02,1.084992844108482145e-02,1.119354168123347197e-02
4.450000000000000000e+02,1.017803584397724420e-02,1.050263565659429084e-02
4.500000000000000000e+02,9.543145537252887417e-03,9.849620662266883597e-03
4.550000000000000000e+02,8.943530429642070068e-03,9.232738331678294955e-03
4.600000000000000000e+02,8.377524554383961389e-03,8.650291920039647822e-03
4.650000000000000000e+02,7.843522050584167404e-03,8.100645313770585970e-03
4.700000000000000000e+02,7.339976093491461760e-03,7.582221986409004924e-03
4.750000000000000000e+02,6.865397778369405034e-03,7.093503905722168407e-03
4.800000000000000000e+02,6.418354962548901074e-03,6.633030396651790235e-03
4.850000000000000000e+02,5.997471070148056513e-03,6.199396964631297829e-03
4.900000000000000000e+02,5.601423863836028222e-03,5.791254083708801195e-03
4.950000000000000000e+02,5.228944187898936120e-03,5.407305953795382356e-03
5.000000000000000000e+02,4.878814686739437433e-03,5.046309231235777612e-03
5.050000000000000000e+02,4.549868502807714182e-03,4.707071736768497078e-03
5.100000000000000000e+02,4.240987957821337750e-03,4.388451144805351548e-03
5.150000000000000000e+02,3.951103220985744541e-03,4.089353657817513567e-03
5.200000000000000000e+02,3.679190967776314967e-03,3.808732669466984889e-03
5.250000000000000000e+02,3.424273032688501459e-03,3.545587419969806545e-03
5.300000000000000000e+02,3.185415059204493339e-03,3.298961647021150627e-03
5.350000000000000000e+02,2.961725150064552486e-03,3.067942235453297202e-03
5.400000000000000000e+02,2.752352520768983068e-03,2.851657868636326559e-03
5.450000000000000000e+02,2.556486159073421711e-03,2.649277684468584904e-03
5.500000000000000000e+02,2.373353493076494486e-03,2.460009938640608795e-03
5.550000000000000000e+02,2.202219070335414627e-03,2.283100677692564539e-03
5.600000000000000000e+02,2.042383250282459300e-03,2.117832424222228140e-03
5.650000000000000000e+02,1.893180912054015811e-03,1.963522876438523850e-03
5.700000000000000000e+02,1.753980179684561970e-03,1.819523624095310561e-03
5.750000000000000000e+02,1.624181166461046051e-03,1.685218882681929330e-03
5.800000000000000000e+02,1.503214740079084283e-03,1.560024247591453115e-03
5.850000000000000000e+02,1.390541310091694856e-03,1.443385469835153142e-03
5.900000000000000000e+02,1.285649638994247525e-03,1.334777254722684017e-03
5.950000000000000000e+02,1.188055678146330684e-03,1.233702084782405638e-03
6.000000000000000000e+02,1.097301429592617084e-03,1.139689068055328887e-03
6.050000000000000000e+02,1.012953834710814387e-03,1.052292812759743432e-03
6.100000000000000000e+02,9.346036904856806727e-04,9.710923291919141848e-04
6.150000000000000000e+02,8.618645940840617302e-04,8.956899596015348124e-04
6.200000000000000000e+02,7.943719162871383825e-04,8.257103366590943811e-04
6.250000000000000000e+02,7.317818042227046318e-04,7.607993710161085063e-04
6.300000000000000000e+02,6.737702137324309186e-04,7.006232683484192678e-04
6.350000000000000000e+02,6.200319716067926885e-04,6.448675761675547787e-04
6.400000000000000000e+02,5.702798678236926065e-04,5.932362605855349448e-04
6.450000000000000000e+02,5.242437778358166730e-04,5.454508131245703381e-04
6.500000000000000000e+02,4.816698148664157707e-04,5.012493875747736508e-04
6.550000000000000000e+02,4.423195120934778025e-04,4.603859668203644944e-04
6.600000000000000000e+02,4.059690345281024930e-04,4.226295594777505814e-04
6.650000000000000000e+02,3.724084203242166379e-04,3.877634261173514268e-04
6.700000000000000000e+02,3.414408511935102452e-04,3.555843347749357893e-04
6.750000000000000000e+02,3.128819515414934280e-04,3.259018453975065250e-04
6.800000000000000000e+02,2.865591158877609001e-04,2.985376228132643724e-04
6.850000000000000000e+02,2.623108640857671589e-04,2.733247777647744873e-04
6.900000000000000000e+02,2.399862238144801624e-04,2.501072354989990545e-04
6.950000000000000000e+02,2.194441397760774125e-04,2.287391313671952183e-04
7.000000000000000000e+02,2.005529090001398622e-04,2.090842328516296939e-04
7.050000000000000000e+02,1.831896416254636404e-04,1.910153874044603721e-04
7.100000000000000000e+02,1.672397465054148457e-04,1.744139954567844656e-04
7.150000000000000000e+02,1.525964409615204861e-04,1.591695079325708884e-04
7.200000000000000000e+02,1.391602839925237681e-04,1.451789475827777991e-04
7.250000000000000000e+02,1.268387322322259104e-04,1.323464534392065212e-04
7.300000000000000000e+02,1.155457179388850379e-04,1.205828476753559932e-04
7.350000000000000000e+02,1.052012482915550250e-04,1.098052241525222371e-04
7.400000000000000000e+02,9.573102526430590147e-05,9.993655792341912076e-05
7.450000000000000000e+02,8.706608534758259442e-05,9.090533496249011589e-05
7.500000000000000000e+02,7.914245838682695865e-05,8.264520139163140456e-05
7.550000000000000000e+02,7.190084481171946757e-05,7.509463147205302927e-05
7.600000000000000000e+02,6.528631053479480302e-05,6.819661363728477975e-05
7.650000000000000000e+02,5.924799880557014961e-05,6.189835384868709578e-05
7.700000000000000000e+02,5.373885831551393158e-05,5.615099556307813966e-05
7.750000000000000000e+02,4.871538685999917128e-05,5.090935561205535648e-05
7.800000000000000000e+02,4.413738987566606105e-05,4.613167530410229296e-05
7.850000000000000000e+02,3.996775318519734207e-05,4.177938607346201236e-05
7.900000000000000000e+02,3.617222929623621912e-05,3.781688901387052736e-05
7.950000000000000000e+02,3.271923661689919314e-05,3.421134765042416995e-05
8.000000000000000000e+02,2.957967096692046120e-05,3.093249331895866892e-05
8.050000000000000000e+02,2.672672878077264573e-05,2.795244253920929048e-05
8.100000000000000000e+02,2.413574141702051577e-05,2.524552578557047054e-05
8.150000000000000000e+02,2.178402000656032931e-05,2.278812707735693741e-05
8.200000000000000000e+02,1.965071029116933620e-05,2.055853382897392703e-05
8.250000000000000000e+02,1.771665692283601510e-05,1.853679641922273234e-05
8.300000000000000000e+02,1.596427671356705669e-05,1.670459695800164779e-05
8.350000000000000000e+02,1.437744034468546184e-05,1.504512674781825066e-05
8.400000000000000000e+02,1.294136206396611944e-05,1.354297195672209569e-05
8.450000000000000000e+02,1.164249691822728092e-05,1.218400703841986243e-05
8.500000000000000000e+02,1.046844508814375894e-05,1.095529545437612983e-05
8.550000000000000000e+02,9.407862911010763236e-06,9.844997271567868384e-06
8.600000000000000000e+02,8.450380195913457127e-06,8.842283228191179321e-06
8.650000000000000000e+02,7.586523454200011449e-06,7.937254877963141592e-06
8.700000000000000000e+02,6.807644686274461064e-06,7.120870441673151174e-06
8.750000000000000000e+02,6.105855383484833927e-06,6.384876012276063570e-06
8.800000000000000000e+02,5.473965421252344085e-06,5.721741777049101682e-06
8.850000000000000000e+02,4.905426536543799586e-06,5.124602937124712885e-06
8.900000000000000000e+02,4.394280099312394566e-06,4.587205021036700453e-06
8.950000000000000000e+02,3.935108903605880577e-06,4.103853304756642480e-06
9.000000000000000000e+02,3.522992719654942325e-06,3.669366066032895277e-06
9.050000000000000000e+02,3.153467363401094926e-06,3.279031415663893411e-06
