x, current_density, J_max, J_min
0.000000000000000000e+00,1.312615675492908936e+11,1.436620007393399963e+11,2.923518477048280640e+11
5.000000000000000000e+00,1.230570153980645599e+11,1.312623282052102661e+11,2.432933583934868469e+11
1.000000000000000000e+01,1.152027850991376953e+11,1.199328891229493866e+11,2.024671939072000122e+11
1.500000000000000000e+01,1.076920210752190857e+11,1.095813101142809448e+11,1.684919180668975525e+11
2.000000000000000000e+01,1.005179362540738220e+11,1.001231906791816254e+11,1.402179084226076660e+11
2.500000000000000000e+01,9.367378240991845703e+10,9.148141504536840820e+10,1.166884564433803711e+11
3.000000000000000000e+01,8.715282113742904663e+10,8.358552341303955078e+10,9.710739534140209961e+10
3.500000000000000000e+01,8.094829519285472107e+10,7.637113746838027954e+10,8.081216015199342346e+10
4.000000000000000000e+01,7.505340050573823547e+10,6.977943548181867981e+10,6.725136850259112549e+10
4.500000000000000000e+01,6.946125908044859314e+10,6.375667271130095673e+10,5.596616347050759888e+10
5.000000000000000000e+01,6.416489313335844421e+10,5.825374320024527740e+10,4.657468722717367554e+10
5.500000000000000000e+01,5.915720081091954803e+10,5.322577939734017181e+10,3.875916010308897400e+10
6.000000000000000000e+01,5.443093389069702148e+10,4.863178633373028564e+10,3.225512786740505981e+10
6.500000000000000000e+01,4.997867788653833008e+10,4.443430737489176941e+10,2.684251338201044464e+10
7.000000000000000000e+01,4.579283501480589294e+10,4.059911882194098663e+10,2.233816984466276932e+10
7.500000000000000000e+01,4.186561046865519714e+10,3.709495087234039307e+10,1.858968364502785873e+10
8.000000000000000000e+01,3.818900249595625305e+10,3.389323266488475418e+10,1.547021714067522812e+10
8.500000000000000000e+01,3.475479668907455444e+10,3.096785933021869659e+10,1.287421684788347435e+10
9.000000000000000000e+01,3.155456492902257919e+10,2.829497914755703354e+10,1.071384182517637253e+10
9.500000000000000000e+01,2.857966932247465897e+10,2.585279907221257782e+10,8.915991396693733215e+09
1.000000000000000000e+02,2.582127140919987488e+10,2.362140704832086563e+10,7.419831642381752968e+09
1.050000000000000000e+02,2.327034681899137878e+10,2.158260965800750351e+10,6.174736958775531769e+09
1.100000000000000000e+02,2.091770542336918259e+10,1.971978378328783417e+10,5.138577038902958870e+09
1.150000000000000000e+02,1.875401690170425797e+10,1.801774107123994827e+10,4.276291307796353340e+09
