x, screening_profile, B_max, B_min
0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02
5.000000000000000000e+00,9.409806803865613745e+01,9.372144260915435154e+01,8.321936745175869987e+01
1.000000000000000000e+01,8.849352198752521304e+01,8.783708804741011988e+01,6.925463119070833784e+01
1.500000000000000000e+01,8.317407756182542755e+01,8.232218606390584625e+01,5.763326600795585364e+01
2.000000000000000000e+01,7.812784867390189447e+01,7.715354036648477631e+01,4.796203941361032719e+01
2.500000000000000000e+01,7.334333630493890155e+01,7.230941105550576253e+01,3.991370581696970277e+01
3.000000000000000000e+01,6.880941851278427634e+01,6.776942318340333316e+01,3.321593350743800244e+01
3.500000000000000000e+01,6.451534073522552148e+01,6.351448105538829481e+01,2.764208975808666935e+01
4.000000000000000000e+01,6.045070637529485680e+01,5.952668791082795963e+01,2.300357224712710291e+01
4.500000000000000000e+01,5.660546765645202072e+01,5.578927064747703923e+01,1.914342731536748232e+01
5.000000000000000000e+01,5.296991673484073715e+01,5.228650927194098585e+01,1.593103912043601333e+01
5.500000000000000000e+01,4.953467705648358788e+01,4.900367077963233697e+01,1.325770998451906912e+01
6.000000000000000000e+01,4.629069494845734312e+01,4.592694718611205928e+01,1.103298238770542206e+01
6.500000000000000000e+01,4.322923143219523467e+01,4.304339744916863708e+01,9.181578154112399304e+00
7.000000000000000000e+01,4.034185424837551892e+01,4.034089303735279231e+01,7.640851261941199013e+00
7.500000000000000000e+01,3.762043008266510924e+01,3.780806691602293768e+01,6.358668088117186201e+00
8.000000000000000000e+01,3.505711698209505300e+01,3.543426573633111332e+01,5.291643361287961866e+00
8.500000000000000000e+01,3.264435695262513093e+01,3.320950502605079890e+01,4.403672133066823591e+00
9.000000000000000000e+01,3.037486872791656367e+01,3.112442719377443012e+01,3.664708093787579557e+00
9.500000000000000000e+01,2.824164070072061605e+01,2.917026216984133313e+01,3.049746894603426739e+00
1.000000000000000000e+02,2.623792400787331403e+01,2.733879051844770203e+01,2.537980074568626510e+00
1.050000000000000000e+02,2.435722576076728529e+01,2.562230886578389288e+01,2.112090964107684155e+00
1.100000000000000000e+02,2.259330241318068389e+01,2.401359749878591998e+01,1.757668740336166158e+00
1.150000000000000000e+02,2.094015325904816294e+01,2.250588999821796676e+01,1.462720807605052187e+00
1.200000000000000000e+02,1.939201405291224489e+01,2.109284477835926097e+01,1.217267003674180614e+00
1.250000000000000000e+02,1.794335074637866256e+01,1.976851841358798367e+01,1.013001900656630205e+00
1.300000000000000000e+02,1.658885333415714314e+01,1.852734063967097100e+01,8.430137740007405123e-01
1.350000000000000000e+02,1.532342980365995189e+01,1.736409092461175874e+01,7.015507302546146740e-01
1.400000000000000000e+02,1.414220018271089252e+01,1.627387651051138917e+01,5.838260800710840526e-01
1.450000000000000000e+02,1.304049068021175728e+01,1.525211183408358195e+01,4.858563708535543202e-01
1.500000000000000000e+02,1.201382791502185654e+01,1.429449923926467925e+01,4.043265985483987524e-01
1.550000000000000000e+02,1.105793322875814866e+01,1.339701090079345391e+01,3.364780377511891740e-01
1.600000000000000000e+02,1.016871707865749741e+01,1.255587188272928856e+01,2.800148946306296738e-01
1.650000000000000000e+02,9.342273507070570915e+00,1.176754426065107673e+01,2.330266240823185842e-01
1.700000000000000000e+02,8.574874684521240908e+00,1.102871224075293455e+01,1.939232825554930706e-01
1.750000000000000000e+02,7.862965523774320786e+00,1.033626821324604173e+01,1.613817290843680141e-01
1.800000000000000000e+02,7.203158362693891092e+00,9.687299681405651341e+00,1.343008541267219358e-01
