time,temperature
0,297.15
14,297.15
28,297.15
42,297.15
56,297.15
70,297.15
83,297.15
97,297.15
111,297.15
125,297.15
139,297.15
153,297.15
167,297.15
181,297.15
194,297.15
208,297.15
222,297.15
236,297.15
250,297.15
264,297.15
278,297.15
292,297.15
306,297.15
319,297.15
333,297.15
347,297.15
361,297.15
375,297.15
389,297.15
403,297.15
417,297.15
430,297.15
444,297.15
458,297.15
472,297.15
486,297.15
500,297.15
514,297.15
528,297.15
542,297.15
555,297.15
569,297.15
583,297.15
597,297.15
611,297.15
625,297.15
639,297.15
653,297.15
666,297.15
680,297.15
694,297.15
708,297.15
722,297.15
736,297.15
750,297.15
764,297.15
778,297.15
791,297.15
805,297.15
819,297.15
833,297.15
847,297.15
861,297.15
875,297.15
889,297.15
902,297.15
916,297.15
930,297.15
944,297.15
958,297.15
972,297.15
986,297.15
1000,297.15
1014,297.15
1027,297.15
1041,297.15
1055,297.15
1069,297.15
1083,297.15
1097,297.15
1111,297.15
1125,297.15
1139,297.15
1152,297.15
1166,297.15
1180,297.15
1194,297.15
1208,297.15
1222,297.15
1236,297.15
1250,297.15
1263,297.15
1277,297.15
1291,297.15
1305,297.15
1319,297.15
1333,297.15
1347,297.15
1361,297.15
1375,297.15
1388,297.15
1402,297.15
1416,297.15
1430,297.15
1444,297.15
1458,297.15
1472,297.15
1486,297.15
1499,297.15
1513,297.15
1527,297.15
1541,297.15
1555,297.15
1569,297.15
1583,297.15
1597,297.15
1611,297.15
1624,297.15
1638,297.15
1652,297.15
1666,297.15
1680,297.15
1694,297.15
1708,297.15
1722,297.15
1735,297.15
1749,297.15
1763,297.15
1777,297.15
1791,297.15
1805,297.15
1819,297.15
1833,297.15
1847,297.15
1860,297.15
1874,297.15
1888,297.15
1902,297.15
1916,297.15
1930,297.15
1944,297.15
1958,297.15
1972,297.15
1985,297.15
1999,297.15
2013,297.15
2027,297.15
2041,297.15
2055,297.15
2069,297.15
2083,297.15
2096,297.15
2110,297.15
2124,297.15
2138,297.15
2152,297.15
2166,297.15
2180,297.15
2194,297.15
2208,297.15
2221,297.15
2235,297.15
2249,297.15
2263,297.15
2277,297.15
2291,297.15
2305,297.15
2319,297.15
2332,297.15
2346,297.15
2360,297.15
2374,297.15
2388,297.15
2402,297.15
2416,297.15
2430,297.15
2444,297.15
2457,297.15
2471,297.15
2485,297.15
2499,297.15
2513,297.15
2527,297.15
2541,297.15
2555,297.15
2568,297.15
2582,297.15
2596,297.15
2610,297.15
2624,297.15
2638,297.15
2652,297.15
2666,297.15
2680,297.15
2693,297.15
2707,297.15
2721,297.15
2735,297.15
2749,297.15
2763,297.15
2777,297.15
2791,297.15
2804,297.15
2818,297.15
2832,297.15
2846,297.15
2860,297.15
2874,297.15
2888,297.15
2902,297.15
2916,297.15
2929,297.15
2943,297.15
2957,297.15
2971,297.15
2985,297.15
2999,297.15
3013,297.15
3027,297.15
3041,297.15
3054,297.15
3068,297.15
3082,297.15
3096,297.15
3110,297.15
3124,297.15
3138,297.15
3152,297.15
3165,297.15
3179,297.15
3193,297.15
3207,297.15
3221,297.15
3235,297.15
3249,297.15
3263,297.15
3277,297.15
3290,297.15
3304,297.15
3318,297.15
3332,297.15
3346,297.15
3360,297.15
3374,297.15
3388,297.15
3401,297.15
3415,297.15
3429,297.15
3443,297.15
3457,297.15
3471,297.15
3485,297.15
3499,297.15
3513,297.15
3526,297.15
3540,297.15
3554,297.15
3568,297.15
3582,297.15
3596,297.15
3610,297.15
3624,297.15
3637,297.15
3651,297.15
3665,297.15
3679,297.15
3693,297.15
3707,297.15
3721,297.15
3735,297.15
3749,297.15
3762,297.15
3776,297.15
3790,297.15
3804,297.15
3818,297.15
3832,297.15
3846,297.15
3860,297.15
3873,297.15
3887,297.15
3901,297.15
3915,297.15
3929,297.15
3943,297.15
3957,297.15
3971,297.15
3985,297.15
3998,297.15
4012,297.15
4026,297.15
4040,297.15
4054,297.15
4068,297.15
4082,297.15
4096,297.15
4110,297.15
4123,297.15
4137,297.15
4151,297.15
4165,297.15
4179,297.15
4193,297.15
4207,297.15
4221,297.15
4234,297.15
4248,297.15
4262,297.15
4276,297.15
4290,297.15
4304,297.15
4318,297.15
4332,297.15
4346,297.15
4359,297.15
4373,297.15
4387,297.15
4401,297.15
4415,297.15
4429,297.15
4443,297.15
4457,297.15
4470,297.15
4484,297.15
4498,297.15
4512,297.15
4526,297.15
4540,297.15
4554,297.15
4568,297.15
4582,297.15
4595,297.15
4609,297.15
4623,297.15
4637,297.15
4651,297.15
4665,297.15
4679,297.15
4693,297.15
4706,297.15
4720,297.15
4734,297.15
4748,297.15
4762,297.15
4776,297.15
4790,297.15
4804,297.15
4818,297.15
4831,297.15
4845,297.15
4859,297.15
4873,297.15
4887,297.15
4901,297.15
4915,297.15
4929,297.15
4943,297.15
4956,297.15
4970,297.15
4984,297.15
4998,297.15
5012,297.15
5026,297.15
5040,297.15
5054,297.15
5067,297.15
5081,297.15
5095,297.15
