x, o_total, cc
0.000000000000000000e+00,1.046743975605483712e+00,1.055627779430122093e+00
5.000000000000000000e+00,1.029116832698597994e+00,1.037924260612967053e+00
1.000000000000000000e+01,1.011643613465526892e+00,1.020373692903626228e+00
1.500000000000000000e+01,9.943262035381023045e-01,1.002977993866755790e+00
2.000000000000000000e+01,9.771664119516100255e-01,9.857390166280336485e-01
2.500000000000000000e+01,9.601659710516247115e-01,9.686585284463375967e-01
3.000000000000000000e+01,9.433265364475270642e-01,9.517382199802748577e-01
3.500000000000000000e+01,9.266496870125436880e-01,9.349797198754075112e-01
4.000000000000000000e+01,9.101369249301045627e-01,9.183845563617258900e-01
4.500000000000000000e+01,8.937896757862690000e-01,9.019542294525398907e-01
5.000000000000000000e+01,8.776092887079244287e-01,8.856900368803972690e-01
5.500000000000000000e+01,8.615970365464212799e-01,8.695933755176269431e-01
6.000000000000000000e+01,8.457541161062569479e-01,8.536654546788283726e-01
6.500000000000000000e+01,8.300816484183808353e-01,8.379074663666019607e-01
7.000000000000000000e+01,8.145806790576574086e-01,8.223203908829987974e-01
7.500000000000000000e+01,7.992521785039650162e-01,8.069053061412291283e-01
8.000000000000000000e+01,7.840970425463861249e-01,7.916632045773478454e-01
8.500000000000000000e+01,7.691160927298885674e-01,7.765948551554768819e-01
9.000000000000000000e+01,7.543100768438664172e-01,7.617010712306616638e-01
9.500000000000000000e+01,7.396796694518679161e-01,7.469825640666799549e-01
1.000000000000000000e+02,7.252254724618009130e-01,7.324399741465458247e-01
1.050000000000000000e+02,7.109480157358649688e-01,7.180738611862265142e-01
1.100000000000000000e+02,6.968477577394329714e-01,7.038847251142407169e-01
1.150000000000000000e+02,6.829250862280596968e-01,6.898729884006713498e-01
1.200000000000000000e+02,6.691803189717696609e-01,6.760390030906232584e-01
1.250000000000000000e+02,6.556137045157434118e-01,6.623830520603498639e-01
1.300000000000000000e+02,6.422254229764829958e-01,6.489053496842387414e-01
1.350000000000000000e+02,6.290155868725195720e-01,6.356060424187750524e-01
1.400000000000000000e+02,6.159842419886888409e-01,6.224852132370448654e-01
