x, lambda_eff
0.000000000000000000e+00,5.571372597880258581e+01
5.000000000000000000e+00,5.482400502778229168e+01
1.000000000000000000e+01,5.394312522161747125e+01
1.500000000000000000e+01,5.307156454361940945e+01
2.000000000000000000e+01,5.220980044795310704e+01
2.500000000000000000e+01,5.135830907575441984e+01
3.000000000000000000e+01,5.051756440380886914e+01
3.500000000000000000e+01,4.968803732225038772e+01
4.000000000000000000e+01,4.887019463819932952e+01
4.500000000000000000e+01,4.806449800284104157e+01
5.000000000000000000e+01,4.727140276015569498e+01
5.500000000000000000e+01,4.649135671635941236e+01
6.000000000000000000e+01,4.572479883011347823e+01
6.500000000000000000e+01,4.497215782470888712e+01
7.000000000000000000e+01,4.423385072474434310e+01
7.500000000000000000e+01,4.351028132128450210e+01
8.000000000000000000e+01,4.280183857111084933e+01
8.500000000000000000e+01,4.210889493744920742e+01
9.000000000000000000e+01,4.143180468145869355e+01
9.500000000000000000e+01,4.077090211577465340e+01
1.000000000000000000e+02,4.012649983347737503e+01
1.050000000000000000e+02,3.949888692796785961e+01
1.100000000000000000e+02,3.888832722131980546e+01
1.150000000000000000e+02,3.829505752067892388e+01
1.200000000000000000e+02,3.771928592412830028e+01
1.250000000000000000e+02,3.716119019905207210e+01
1.300000000000000000e+02,3.662091625732555400e+01
1.350000000000000000e+02,3.609857675255441478e+01
1.400000000000000000e+02,3.559424982499375290e+01
1.450000000000000000e+02,3.510797801962454656e+01
1.500000000000000000e+02,3.463976740208424587e+01
1.550000000000000000e+02,3.418958689569258524e+01
1.600000000000000000e+02,3.375736786065615291e+01
1.650000000000000000e+02,3.334300393367555415e+01
1.700000000000000000e+02,3.294635114264657716e+01
1.750000000000000000e+02,3.256722830700113036e+01
1.800000000000000000e+02,3.220541772956676141e+01
1.850000000000000000e+02,3.186066618075600587e+01
1.900000000000000000e+02,3.153268617057399581e+01
1.950000000000000000e+02,3.122115749852027022e+01
2.000000000000000000e+02,3.092572906613499484e+01
2.050000000000000000e+02,3.064602093187941989e+01
2.100000000000000000e+02,3.038162658341944322e+01
2.150000000000000000e+02,3.013211539835484487e+01
2.200000000000000000e+02,2.989703526113916254e+01
2.250000000000000000e+02,2.967591530146751211e+01
2.300000000000000000e+02,2.946826871783804691e+01
2.350000000000000000e+02,2.927359564934510416e+01
2.400000000000000000e+02,2.909138605902776220e+01
2.450000000000000000e+02,2.892112259322986745e+01
2.500000000000000000e+02,2.876228338334783885e+01
2.550000000000000000e+02,2.861434475894701279e+01
2.600000000000000000e+02,2.847678384439143073e+01
2.650000000000000000e+02,2.834908101472205288e+01
2.700000000000000000e+02,2.823072219039437059e+01
2.750000000000000000e+02,2.812120095451235713e+01
2.800000000000000000e+02,2.802002048024322178e+01
2.850000000000000000e+02,2.792669526005190761e+01
2.900000000000000000e+02,2.784075263215726537e+01
2.950000000000000000e+02,2.776173410310304490e+01
3.000000000000000000e+02,2.768919646849639804e+01
3.050000000000000000e+02,2.762271273675193939e+01
3.100000000000000000e+02,2.756187286306733952e+01
3.150000000000000000e+02,2.750628430283834192e+01
3.200000000000000000e+02,2.745557239530278792e+01
3.250000000000000000e+02,2.740938058940187361e+01
3.300000000000000000e+02,2.736737052468670228e+01
3.350000000000000000e+02,2.732922198061199737e+01
3.400000000000000000e+02,2.729463270778148143e+01
3.450000000000000000e+02,2.726331815467838382e+01
3.500000000000000000e+02,2.723501110316840368e+01
3.550000000000000000e+02,2.721976008744079323e+01
3.600000000000000000e+02,2.721976008744079323e+01
3.650000000000000000e+02,2.721976008744079323e+01
3.700000000000000000e+02,2.721976008744079323e+01
3.750000000000000000e+02,2.721976008744079323e+01
3.800000000000000000e+02,2.721976008744079323e+01
