x, ell
0.000000000000000000e+00,8.521973512274595208e+00
5.000000000000000000e+00,8.672290625275207887e+00
1.000000000000000000e+01,8.826536144695056763e+00
1.500000000000000000e+01,8.984828966303277653e+00
2.000000000000000000e+01,9.147292089265253168e+00
2.500000000000000000e+01,9.314052772081847564e+00
3.000000000000000000e+01,9.485242694968473387e+00
3.500000000000000000e+01,9.660998128959144893e+00
4.000000000000000000e+01,9.841460112034194907e+00
4.500000000000000000e+01,1.002677463258443780e+01
5.000000000000000000e+01,1.021709282053945067e+01
5.500000000000000000e+01,1.041257114650302285e+01
6.000000000000000000e+01,1.061337162925541300e+01
6.500000000000000000e+01,1.081966205199893594e+01
7.000000000000000000e+01,1.103161618774171160e+01
7.500000000000000000e+01,1.124941403423307840e+01
8.000000000000000000e+01,1.147324205888427073e+01
8.500000000000000000e+01,1.170329345412877231e+01
9.000000000000000000e+01,1.193976840369873926e+01
9.500000000000000000e+01,1.218287436031694781e+01
1.000000000000000000e+02,1.243282633532810877e+01
1.050000000000000000e+02,1.268984720081872730e+01
1.100000000000000000e+02,1.295416800480169961e+01
1.150000000000000000e+02,1.322602830006989372e+01
1.200000000000000000e+02,1.350567648735269444e+01
1.250000000000000000e+02,1.379337017344077765e+01
1.300000000000000000e+02,1.408937654497695036e+01
1.350000000000000000e+02,1.439397275864573089e+01
1.400000000000000000e+02,1.470744634853044452e+01
1.450000000000000000e+02,1.503009565144490089e+01
1.500000000000000000e+02,1.536223025108700213e+01
1.550000000000000000e+02,1.570417144190386516e+01
1.600000000000000000e+02,1.605625271360271356e+01
1.650000000000000000e+02,1.641882025728861905e+01
1.700000000000000000e+02,1.679223349425964074e+01
1.750000000000000000e+02,1.717686562854191479e+01
1.800000000000000000e+02,1.757310422430202479e+01
1.850000000000000000e+02,1.798135180933160271e+01
1.900000000000000000e+02,1.840202650586009270e+01
1.950000000000000000e+02,1.883556269001541850e+01
2.000000000000000000e+02,1.928241168131987493e+01
2.050000000000000000e+02,1.974304246367969995e+01
2.100000000000000000e+02,2.021794243940158964e+01
2.150000000000000000e+02,2.070761821784845225e+01
2.200000000000000000e+02,2.121259644043005466e+01
2.250000000000000000e+02,2.173342464371163274e+01
2.300000000000000000e+02,2.227067216251667148e+01
2.350000000000000000e+02,2.282493107499687923e+01
2.400000000000000000e+02,2.339681719174601326e+01
2.450000000000000000e+02,2.398697109114226222e+01
2.500000000000000000e+02,2.459605920321864758e+01
2.550000000000000000e+02,2.522477494448158097e+01
2.600000000000000000e+02,2.587383990622532437e+01
2.650000000000000000e+02,2.654400509902431793e+01
2.700000000000000000e+02,2.723605225622764792e+01
