x, screening_profile, B_max, B_min
0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02
5.000000000000000000e+00,9.459958260807820807e+01,9.427875446775266255e+01,8.325191078315934590e+01
1.000000000000000000e+01,8.945237107454568104e+01,8.888483543990793123e+01,6.930880649047122688e+01
1.500000000000000000e+01,8.454831863434201011e+01,8.379951576345679598e+01,5.770090574431966246e+01
2.000000000000000000e+01,7.987771050050525901e+01,7.900513971179512396e+01,4.803710657133586182e+01
2.500000000000000000e+01,7.543115386445869319e+01,7.448506168578828124e+01,3.999180910557971202e+01
3.000000000000000000e+01,7.119956869136348132e+01,7.022358842189845518e+01,3.329394523714861975e+01
3.500000000000000000e+01,6.717417879417190818e+01,6.620592450672681650e+01,2.771784558502489304e+01
4.000000000000000000e+01,6.334650317565988331e+01,6.241812100880267167e+01,2.307563607745879608e+01
4.500000000000000000e+01,5.970834762878638458e+01,5.884702704927381234e+01,1.921090795985252342e+01
5.000000000000000000e+01,5.625179658501515689e+01,5.548024414335684895e+01,1.599344795537128228e+01
5.500000000000000000e+01,5.296920520119014952e+01,5.230608315402513853e+01,1.331485102295672540e+01
6.000000000000000000e+01,4.985319167616564329e+01,4.931352370848189537e+01,1.108486789454251209e+01
6.500000000000000000e+01,4.689662978839235308e+01,4.649217593651665226e+01,9.228364329995605075e+00
7.000000000000000000e+01,4.409264164571293776e+01,4.383224439790411964e+01,7.682789638752838712e+00
7.500000000000000000e+01,4.143459063923958752e+01,4.132449407360529392e+01,6.396069175712323585e+00
8.000000000000000000e+01,3.891607459398467483e+01,3.896021830269533837e+01,5.324849803793179071e+00
8.500000000000000000e+01,3.653091910814403320e+01,3.673120855369857196e+01,4.433039207991132713e+00
9.000000000000000000e+01,3.427317107396598317e+01,3.462972592537963834e+01,3.690589846419251252e+00
9.500000000000000000e+01,3.213709237341829805e+01,3.264847427804436819e+01,3.072486566313292755e+00
1.000000000000000000e+02,3.011715374184176852e+01,3.078057490206482782e+01,2.557903775011698411e+00
1.050000000000000000e+02,2.820802879319473888e+01,2.901954263568040204e+01,2.129503768691804133e+00
1.100000000000000000e+02,2.640458820055383526e+01,2.735926334915792069e+01,1.772852577635317450e+00
1.150000000000000000e+02,2.470189402635372034e+01,2.579397271713844120e+01,1.475933646249894426e+00
1.200000000000000000e+02,2.309519419645034688e+01,2.431823620547006470e+01,1.228742962394593352e+00
1.250000000000000000e+02,2.157991711266981483e+01,2.292693020304325202e+01,1.022951994807095533e+00
1.300000000000000000e+02,2.015166639873448418e+01,2.161522423312017693e+01,8.516270820713524037e-01
1.350000000000000000e+02,1.880621577456536642e+01,2.037856418239753964e+01,7.089958185712652572e-01
1.400000000000000000e+02,1.753950405437626614e+01,1.921265648957596994e+01,5.902525663332797157e-01
1.450000000000000000e+02,1.634763026400056063e+01,1.811345323854007816e+01,4.913965399190907135e-01
1.500000000000000000e+02,1.522684887324719227e+01,1.707713810439438973e+01,4.090970090049732000e-01
1.550000000000000000e+02,1.417356513924632999e+01,1.610011310356102143e+01,3.405810769533937910e-01
1.600000000000000000e+02,1.318433055697541789e+01,1.517898610193676490e+01,2.835402543295625355e-01
1.650000000000000000e+02,1.225583841335106960e+01,1.431055903773926552e+01,2.360526795687906132e-01
1.700000000000000000e+02,1.138491944146735335e+01,1.349181681815298717e+01,1.965183661958664618e-01
1.750000000000000000e+02,1.056853757177301212e+01,1.271991685122542037e+01,1.636052948979052069e-01
1.800000000000000000e+02,9.803785777161477810e+00,1.199217917666910793e+01,1.362045341449287239e-01
1.850000000000000000e+02,9.087882009154609975e+00,1.130607716130482920e+01,1.133928772489539299e-01
1.900000000000000000e+02,8.418165222510852530e+00,1.065922872684124378e+01,9.440173700175646943e-02
1.950000000000000000e+02,7.792091485791771355e+00,1.004938807953481472e+01,7.859124986645506239e-02
2.000000000000000000e+02,7.207230175581814891e+00,9.474437913016229729e+00,6.542871722219097130e-02
2.050000000000000000e+02,6.661260252233446089e+00,8.932382057212240767e+00,5.447065728838406534e-02
2.100000000000000000e+02,6.151966615154965901e+00,8.421338547840724331e+00,4.534786300872596654e-02
2.150000000000000000e+02,5.677236535831800879e+00,7.939533092416964699e+00,3.775296245409387463e-02
2.200000000000000000e+02,5.235056166907833486e+00,7.485292910085758145e+00,3.143006262028189002e-02
2.250000000000000000e+02,4.823507125803239148e+00,7.057040923891852557e+00,2.616612769172815822e-02
2.300000000000000000e+02,4.440763151485791482e+00,6.653290285324822584e+00,2.178380128132508670e-02
2.350000000000000000e+02,4.085086833137048679e+00,6.272639212128229502e+00,1.813543080790949377e-02
2.400000000000000000e+02,3.754826409584290925e+00,5.913766121450350965e+00,1.509809267634241135e-02
2.450000000000000000e+02,3.448412638482502235e+00,5.575425041439315166e+00,1.256945064486728221e-02
