x, o_total, cc
0.000000000000000000e+00,5.636798480393618860e-01,5.755684183503306794e-01
5.000000000000000000e+00,4.930562504708284610e-01,5.363968399824383670e-01
1.000000000000000000e+01,3.816392838080366889e-01,4.433271534689798843e-01
1.500000000000000000e+01,2.622156428743830925e-01,3.244558123439718056e-01
2.000000000000000000e+01,1.607138210208188256e-01,2.101030931643880495e-01
2.500000000000000000e+01,8.838647673047921038e-02,1.203269482742207186e-01
3.000000000000000000e+01,4.388883404479500261e-02,6.093072968548245844e-02
3.500000000000000000e+01,1.979881270802998430e-02,2.727638663319801107e-02
4.000000000000000000e+01,8.162257740670456410e-03,1.079377734457170196e-02
4.500000000000000000e+01,3.092257325069025682e-03,3.775462806920894948e-03
5.000000000000000000e+01,1.082087790378685049e-03,1.167239511666871019e-03
5.500000000000000000e+01,3.514108679246067215e-04,3.189563909143385109e-04
6.000000000000000000e+01,1.063658065694401321e-04,7.703290178048716077e-05
6.500000000000000000e+01,3.012502187925587748e-05,1.644331025249263023e-05
7.000000000000000000e+01,8.012081672153461537e-06,3.102174952142178617e-06
7.500000000000000000e+01,2.007586348066904254e-06,5.172546965550275411e-07
8.000000000000000000e+01,4.753459749424240361e-07,7.622572253216294909e-08
8.500000000000000000e+01,1.066444505773511727e-07,9.927867555800974218e-09
9.000000000000000000e+01,2.272727924462487397e-08,1.142790105019533966e-09
9.500000000000000000e+01,4.611448205551748908e-09,1.162604704701419896e-10
1.000000000000000000e+02,8.927484476479458070e-10,1.045326682250711162e-11
1.050000000000000000e+02,1.652240585631607709e-10,8.306647026370457381e-13
1.100000000000000000e+02,2.928579009668987463e-11,5.833816478874247176e-14
1.150000000000000000e+02,4.979778396264749518e-12,3.621034591868242276e-15
1.200000000000000000e+02,8.135999381879746083e-13,1.986393012698420822e-16
1.250000000000000000e+02,1.279061546263541002e-13,9.630526377857331750e-18
1.300000000000000000e+02,1.937497941967519760e-14,4.126548972411061363e-19
1.350000000000000000e+02,2.831467861757777565e-15,1.562701183075798096e-20
1.400000000000000000e+02,3.996860936410333668e-16,5.230180687810130466e-22
1.450000000000000000e+02,5.455669887411876675e-17,1.547067053876051410e-23
1.500000000000000000e+02,7.208656531857714388e-18,4.044391349093188854e-25
1.550000000000000000e+02,9.229256504391727256e-19,9.344341704190607203e-27
1.600000000000000000e+02,1.146013471847386298e-19,1.908076044240912307e-28
1.650000000000000000e+02,1.381355198221784652e-20,3.443451830542436187e-30
1.700000000000000000e+02,1.617614190371477766e-21,5.492166007645131526e-32
1.750000000000000000e+02,1.841792287372412124e-22,7.741846617993901270e-34
1.800000000000000000e+02,2.040454765859453097e-23,9.644876962179054361e-36
1.850000000000000000e+02,2.201111436733587792e-24,1.061940067006975255e-37
1.900000000000000000e+02,2.313549215338841502e-25,1.033366735149400831e-39
1.950000000000000000e+02,2.370914507573974367e-26,8.887100157294422650e-42
2.000000000000000000e+02,2.370386238150797521e-27,6.754866579528493659e-44
2.050000000000000000e+02,2.313352315993990029e-28,4.537582746741461455e-46
2.100000000000000000e+02,2.205087352708496511e-29,2.693911989851635635e-48
2.150000000000000000e+02,2.054009200205922568e-30,1.413491804052582723e-50
2.200000000000000000e+02,1.870650802403309269e-31,6.554721096019367105e-53
2.250000000000000000e+02,1.666512623486475445e-32,2.686372032301734355e-55
2.300000000000000000e+02,1.452957804890902098e-33,9.730364368905758249e-58
2.350000000000000000e+02,1.240282415639304030e-34,3.114892366861734003e-60
2.400000000000000000e+02,1.037046520650314712e-35,8.812679398212711265e-63
2.450000000000000000e+02,8.496997492735482716e-37,2.203554894949953849e-65
2.500000000000000000e+02,6.824878793401862098e-38,4.869571490927333669e-68
2.550000000000000000e+02,5.375918289126649758e-39,9.510614532298797328e-71
2.600000000000000000e+02,4.154306353838979958e-40,1.641637896670114188e-73
2.650000000000000000e+02,3.150551334802767730e-41,2.504362013400214674e-76
2.700000000000000000e+02,2.345661180049942897e-42,3.376508057982550295e-79
2.750000000000000000e+02,1.715054535732683987e-43,4.023364805602870986e-82
2.800000000000000000e+02,1.231864105253418953e-44,4.237034201148807893e-85
2.850000000000000000e+02,8.694676623189925116e-46,3.943532801030306878e-88
2.900000000000000000e+02,6.032244015381439247e-47,3.243843344144586225e-91
2.950000000000000000e+02,4.114944672741705393e-48,2.358224849329111133e-94
3.000000000000000000e+02,2.760765173261841608e-49,1.515170376772329536e-97
3.050000000000000000e+02,1.822183757680866788e-50,8.603767146528246100e-101
3.100000000000000000e+02,1.183491902293276856e-51,4.317841940930675512e-104
3.150000000000000000e+02,7.565863285721207243e-53,1.915118914824750755e-107
3.200000000000000000e+02,4.761875897443236659e-54,7.507159813423505672e-111
3.250000000000000000e+02,2.951393659104407638e-55,2.600797178572590931e-114
3.300000000000000000e+02,1.801796441038702309e-56,7.963210864660311629e-118
3.350000000000000000e+02,1.083704632819993211e-57,2.154868890003251475e-121
3.400000000000000000e+02,6.422987144090871117e-59,5.153525029850119062e-125
3.450000000000000000e+02,3.752111224839050752e-60,1.089278244202673831e-128
3.500000000000000000e+02,2.160806709440700156e-61,2.034811436476842054e-132
3.550000000000000000e+02,1.226999170276402476e-62,3.359389874807997540e-136
3.600000000000000000e+02,6.871395609350549840e-64,4.901709233529502449e-140
3.650000000000000000e+02,3.795770101229868434e-65,6.320996920643222455e-144
3.700000000000000000e+02,2.068658768561605382e-66,7.204013323381830457e-148
3.750000000000000000e+02,1.112472992760330269e-67,7.256284975109515672e-152
3.800000000000000000e+02,5.904421995147039349e-69,6.459591388687177238e-156
3.850000000000000000e+02,3.093330280618545664e-70,5.082140368294029260e-160
3.900000000000000000e+02,1.599955919135094738e-71,3.533777140418890079e-164
3.950000000000000000e+02,8.171327132709115299e-73,2.171613580956068618e-168
4.000000000000000000e+02,4.121433888217814426e-74,1.179442658114529984e-172
4.050000000000000000e+02,2.053250210530113815e-75,5.661376048511060959e-177
4.100000000000000000e+02,1.010504480161243326e-76,2.401696162175239207e-181
4.150000000000000000e+02,4.913612691444667292e-78,9.004612188183483448e-186
