x, current_density, J_max, J_min
0.000000000000000000e+00,1.655214465260274048e+11,1.774356885101040039e+11,2.923518477048280640e+11
5.000000000000000000e+00,1.513958763456828308e+11,1.587168971155925903e+11,2.432933583934868469e+11
1.000000000000000000e+01,1.383053357126128845e+11,1.419728671358417358e+11,2.024671939072000122e+11
1.500000000000000000e+01,1.261844800108572998e+11,1.269952687399859009e+11,1.684919180668975525e+11
2.000000000000000000e+01,1.149705136768530121e+11,1.135977501032639008e+11,1.402179084226076660e+11
2.500000000000000000e+01,1.046034908121720276e+11,1.016136188108280487e+11,1.166884564433803711e+11
3.000000000000000000e+01,9.502654703821353149e+10,9.089376786464718628e+10,9.710739534140209961e+10
3.500000000000000000e+01,8.618606068855671692e+10,8.130482048880632019e+10,8.081216015199342346e+10
4.000000000000000000e+01,7.803174402795257568e+10,7.272747065080291748e+10,6.725136850259112549e+10
4.500000000000000000e+01,7.051666706397529602e+10,6.505499865154493713e+10,5.596616347050759888e+10
5.000000000000000000e+01,6.359721797205201721e+10,5.819194331496788788e+10,4.657468722717367554e+10
5.500000000000000000e+01,5.723300534542289734e+10,5.205291425660520172e+10,3.875916010308897400e+10
6.000000000000000000e+01,5.138670850099915314e+10,4.656152945331463623e+10,3.225512786740505981e+10
6.500000000000000000e+01,4.602388299773332977e+10,4.164946489536431122e+10,2.684251338201044464e+10
7.000000000000000000e+01,4.111272951052682495e+10,3.725560449661506653e+10,2.233816984466276932e+10
7.500000000000000000e+01,3.662383516099980164e+10,3.332527968595079041e+10,1.858968364502785873e+10
8.000000000000000000e+01,3.252989738772945404e+10,2.980958921892537689e+10,1.547021714067522812e+10
8.500000000000000000e+01,2.880544127106505203e+10,2.666479074669826889e+10,1.287421684788347435e+10
9.000000000000000000e+01,2.542654177479251480e+10,2.385175657213692856e+10,1.071384182517637253e+10
9.500000000000000000e+01,2.237056241022701645e+10,2.133548682158404922e+10,8.915991396693733215e+09
1.000000000000000000e+02,1.961592121449434662e+10,1.908467397515468979e+10,7.419831642381752968e+09
1.050000000000000000e+02,1.714189349845295715e+10,1.707131333743360901e+10,6.174736958775531769e+09
1.100000000000000000e+02,1.492845855094315910e+10,1.527035460203487587e+10,5.138577038902958870e+09
1.150000000000000000e+02,1.295619447900420761e+10,1.365939017477744102e+10,4.276291307796353340e+09
1.200000000000000000e+02,1.120622186349569130e+10,1.221837637758218956e+10,3.558702576742664337e+09
1.250000000000000000e+02,9.660193272256271362e+09,1.092938406429926682e+10,2.961529773854685307e+09
1.300000000000000000e+02,8.300322322737383842e+09,9.776375545618621826e+09,2.464566344697368622e+09
1.350000000000000000e+02,7.109443320091993332e+09,8.745005047555505753e+09,2.050996522486080170e+09
1.400000000000000000e+02,6.071090833955569267e+09,7.822440220808039665e+09,1.706826332470483303e+09
1.450000000000000000e+02,5.169588070283030510e+09,6.997202480199822426e+09,1.420410077381987810e+09
1.500000000000000000e+02,4.390133526389678955e+09,6.259024187705075264e+09,1.182056281618326426e+09
1.550000000000000000e+02,3.718877004064647675e+09,5.598720902122362137e+09,9.836997604865504503e+08
1.600000000000000000e+02,3.142978291679743767e+09,5.008077105922636986e+09,8.186287183013732433e+08
1.650000000000000000e+02,2.650644359849115372e+09,4.479743987480932236e+09,6.812576411488422155e+08
1.700000000000000000e+02,2.231143405991769314e+09,4.007148006894437790e+09,5.669382996808384657e+08
1.750000000000000000e+02,1.874796260454290867e+09,3.584409107759623051e+09,4.718024668361498117e+08
1.800000000000000000e+02,1.572947356330676794e+09,3.206267557296293259e+09,3.926310285228374004e+08
1.850000000000000000e+02,1.317918594982685804e+09,2.868018504560763359e+09,3.267450583560395241e+08
1.900000000000000000e+02,1.102950026090233326e+09,2.565453442519063473e+09,2.719151707437758446e+08
1.950000000000000000e+02,9.221313810177087784e+08,2.294807845649124622e+09,2.262860850983400047e+08
2.000000000000000000e+02,7.703295528133693933e+08,2.052714331577133179e+09,1.883138486501869261e+08
2.050000000000000000e+02,6.419919462932608128e+08,1.836160763983384371e+09,1.567135936707477570e+08
2.100000000000000000e+02,5.342616370453281999e+08,1.642452775492474794e+09,1.304160613637156188e+08
2.150000000000000000e+02,4.446091550929886103e+08,1.469180244256295204e+09,1.085314213223816007e+08
2.200000000000000000e+02,3.700009266722703576e+08,1.314187307130206347e+09,9.031916231088910997e+07
2.250000000000000000e+02,3.079124308853917718e+08,1.175545536345270395e+09,7.516303556284913421e+07
2.300000000000000000e+02,2.562427774066554010e+08,1.051529945939718843e+09,6.255020275294347852e+07
2.350000000000000000e+02,2.132436185985326171e+08,9.405975294207800627e+08,5.205388307079210877e+07
2.400000000000000000e+02,1.774599906116599739e+08,8.413680616217027903e+08,4.331891222559129447e+07
2.450000000000000000e+02,1.476810817355049551e+08,7.526069258899574280e+08,3.604972474111963809e+07
2.500000000000000000e+02,1.228992621236189157e+08,6.732097529418758154e+08,3.000035289765995741e+07
2.550000000000000000e+02,1.022759885897734314e+08,6.021886802598042488e+08,2.496610391472797468e+07
2.600000000000000000e+02,8.511343079901380837e+07,5.386600610706744194e+08,2.077663375518538430e+07
2.650000000000000000e+02,7.083085876029863954e+07,4.818334699806717038e+08,1.729018318883384764e+07
2.700000000000000000e+02,5.894499264832374454e+07,4.310018684736945629e+08,1.438878108099784888e+07
2.750000000000000000e+02,4.905365004927118123e+07,3.855328079123839140e+08,1.197425259962473437e+07
2.800000000000000000e+02,4.082213730196639150e+07,3.448605605891446471e+08,9.964897270483473316e+06
2.850000000000000000e+02,3.397192445876371861e+07,3.084790809214010239e+08,8.292724475713913329e+06
2.900000000000000000e+02,2.827122065894789994e+07,2.759357092140259743e+08,6.901152853206289932e+06
2.950000000000000000e+02,2.352713101420221105e+07,2.468255396509295106e+08,5.743095751317271031e+06
3.000000000000000000e+02,1.957912961868014187e+07,2.207863824421452284e+08,4.779367956395060755e+06
3.050000000000000000e+02,1.629362782878906280e+07,1.974942574452734292e+08,3.977359781504015438e+06
3.100000000000000000e+02,1.355945402034099028e+07,1.766593631927483678e+08,3.309933651448292192e+06
3.150000000000000000e+02,1.128409187088772841e+07,1.580224711714231670e+08,2.754505847808167804e+06
3.200000000000000000e+02,9.390549881997950375e+06,1.413517004919686019e+08,2.292282342967663892e+06
3.250000000000000000e+02,7.814756215661216527e+06,1.264396328184016943e+08,1.907622866026043426e+06
3.300000000000000000e+02,6.503390693598351441e+06,1.131007316615945995e+08,1.587511682471983368e+06
3.350000000000000000e+02,5.412080600639439188e+06,1.011690339275198877e+08,1.321117180375956232e+06
3.400000000000000000e+02,4.503899243924044073e+06,9.049608499838908017e+07,1.099425360805380624e+06
3.450000000000000000e+02,3.748116463204761036e+06,8.094909165489177406e+07,9.149348308664532378e+05
3.500000000000000000e+02,3.119158813487798907e+06,7.240926985812391341e+07,7.614029788428805768e+05
3.550000000000000000e+02,2.595744235606016591e+06,6.477036683424928039e+07,6.336347427518932382e+05
3.600000000000000000e+02,2.160161934540894348e+06,5.793733907361787558e+07,5.273068248727038736e+05
3.650000000000000000e+02,1.797673098694415996e+06,5.182516979595655948e+07,4.388214041890170774e+05
3.700000000000000000e+02,1.496012182279807283e+06,4.635781116849306226e+07,3.651843968090252019e+05
3.750000000000000000e+02,1.244971875673128525e+06,4.146723811605014652e+07,3.039041450569911976e+05
3.800000000000000000e+02,1.036057720368465525e+06,3.709260195058295876e+07,2.529071071761032217e+05
3.850000000000000000e+02,8.622006817264115671e+05,3.317947328958599642e+07,2.104676948324945115e+05
3.900000000000000000e+02,7.175179538310745265e+05,2.967916484373376518e+07,1.751498843299000291e+05
3.950000000000000000e+02,5.971139028087205952e+05,2.654812564785332978e+07,1.457586258318297914e+05
4.000000000000000000e+02,4.969144131145718275e+05,2.374739919822957367e+07,1.212994064236245031e+05
4.050000000000000000e+02,4.135290315628651879e+05,2.124213875436722115e+07,1.009445987484782381e+05
4.100000000000000000e+02,3.441362444558460847e+05,1.900117377457612008e+07,8.400545655519950378e+04
4.150000000000000000e+02,2.863880059415459400e+05,1.699662209095638618e+07,6.990880957019896596e+04
4.200000000000000000e+02,2.383302871130406857e+05,1.520354299844992720e+07,5.817766911737412738e+04
4.250000000000000000e+02,1.983369574736036884e+05,1.359962694167952426e+07,4.841508823765589477e+04
4.300000000000000000e+02,1.650547615093176719e+05,1.216491793864836171e+07,4.029073018258805678e+04
4.350000000000000000e+02,1.373575285408603377e+05,1.088156528768524528e+07,3.352969079964460252e+04
4.400000000000000000e+02,1.143080664522063889e+05,9.733601468364099041e+06,2.790319659199476155e+04
4.450000000000000000e+02,9.512644989206427999e+04,8.706743473033348098e+06,2.322086370267876919e+04
4.500000000000000000e+02,7.916362991629855242e+04,7.788215097114452161e+06,1.932425589020426560e+04
4.550000000000000000e+02,6.587947209881882009e+04,6.966587977099262178e+06,1.608152351658723637e+04
4.600000000000000000e+02,5.482447998667881620e+04,6.231639398434908129e+06,1.338294214710969391e+04
4.650000000000000000e+02,4.562458547483428265e+04,5.574225104137058370e+06,1.113719980125951770e+04
4.700000000000000000e+02,3.796849145229654823e+04,4.986165521611482836e+06,9.268307226446680943e+03
4.750000000000000000e+02,3.159713843226295285e+04,4.460143992113851011e+06,7.713026647334579138e+03
4.800000000000000000e+02,2.629493874840440185e+04,3.989615736615187488e+06,6.418731987297414889e+03
4.850000000000000000e+02,2.188248170841910178e+04,3.568726425422829110e+06,5.341628158252618050e+03
4.900000000000000000e+02,1.821046286895978483e+04,3.192239338397120591e+06,4.445269164922848177e+03
4.950000000000000000e+02,1.515463201663078689e+04,2.855470209488722961e+06,3.699324880576876240e+03
5.000000000000000000e+02,1.261158890974528731e+04,2.554228944929833058e+06,3.078554765601609233e+03
5.050000000000000000e+02,1.049528452118361929e+04,2.284767489934877027e+06,2.561953802589626321e+03
5.100000000000000000e+02,8.734109394851371690e+03,2.043733195266379043e+06,2.132041748921369162e+03
5.150000000000000000e+02,7.268470594317517680e+03,1.828127103451024741e+06,1.774271657259773519e+03
5.200000000000000000e+02,6.048775254819654947e+03,1.635266635641566245e+06,1.476537650047421948e+03
5.250000000000000000e+02,5.033752507979007532e+03,1.462752214873076184e+06,1.228765292556524400e+03
5.300000000000000000e+02,4.189056998173648026e+03,1.308437410438962514e+06,1.022570703932293441e+03
