x, current_density, J_max, J_min
0.000000000000000000e+00,8.635415597641154480e+10,8.821432859103530884e+10,1.487662142232221985e+11
5.000000000000000000e+00,8.196467130114981079e+10,8.345793297296592712e+10,1.354907635803594513e+11
1.000000000000000000e+01,7.779086333283456421e+10,7.895799568357092285e+10,1.233999743251060944e+11
1.500000000000000000e+01,7.382241553871353149e+10,7.470068884148219299e+10,1.123881308293417206e+11
2.000000000000000000e+01,7.004949665774722290e+10,7.067293014573106384e+10,1.023589512104412079e+11
2.500000000000000000e+01,6.646273796580892181e+10,6.686234267507564545e+10,9.322474549212901306e+10
3.000000000000000000e+01,6.305321162765847015e+10,6.325721685489339447e+10,8.490564888853329468e+10
3.500000000000000000e+01,5.981241006613933563e+10,5.984647447476655579e+10,7.732892350767050171e+10
4.000000000000000000e+01,5.673222630134535980e+10,5.661963464619011688e+10,7.042832236881632996e+10
4.500000000000000000e+01,5.380493522001824188e+10,5.356678159579354095e+10,6.414351017305836487e+10
5.000000000000000000e+01,5.102317572202530670e+10,5.067853419510762024e+10,5.841953576254682159e+10
5.500000000000000000e+01,4.837993371582486725e+10,4.794601713324465942e+10,5.320635165589912415e+10
6.000000000000000000e+01,4.586852589651633453e+10,4.536083364390821838e+10,4.845837645882357025e+10
6.500000000000000000e+01,4.348258429880983734e+10,4.291503970292497253e+10,4.413409632390596771e+10
7.000000000000000000e+01,4.121604157223347473e+10,4.060111961701038361e+10,4.019570197492946625e+10
7.500000000000000000e+01,3.906311693776660156e+10,3.841196292875460052e+10,3.660875812205497742e+10
8.000000000000000000e+01,3.701830281295344543e+10,3.634084256685980225e+10,3.334190237739908218e+10
8.500000000000000000e+01,3.507635205738474274e+10,3.438139417448686981e+10,3.036657103848263931e+10
9.000000000000000000e+01,3.323226581346903229e+10,3.252759655218921280e+10,2.765674934194158173e+10
9.500000000000000000e+01,3.148128191719114685e+10,3.077375315533673859e+10,2.518874400384741211e+10
1.000000000000000000e+02,2.981886384926607132e+10,2.911447458917342758e+10,2.294097605784705353e+10
1.050000000000000000e+02,2.824069020280851364e+10,2.754466204771732330e+10,2.089379217980557632e+10
1.100000000000000000e+02,2.674264464020893860e+10,2.605949164561238480e+10,1.902929284927180099e+10
1.150000000000000000e+02,2.532080631976815796e+10,2.465439959478536987e+10,1.733117584529917145e+10
1.200000000000000000e+02,2.397144076669705963e+10,2.332506818035700989e+10,1.578459370822997856e+10
1.250000000000000000e+02,2.269099117017377090e+10,2.206741249271293259e+10,1.437602392116242790e+10
1.300000000000000000e+02,2.147607008487779617e+10,2.087756787496297455e+10,1.309315067603406334e+10
1.350000000000000000e+02,2.032345151777060699e+10,1.975187804721643066e+10,1.192475719054518890e+10
1.400000000000000000e+02,1.923006338339864731e+10,1.868688387117994690e+10,1.086062763439698601e+10
1.450000000000000000e+02,1.819298031016655350e+10,1.767931272055301285e+10,9.891457807337945938e+09
1.500000000000000000e+02,1.720941677903413391e+10,1.672606842455706787e+10,9.008773788033403397e+09
1.550000000000000000e+02,1.627672058210764503e+10,1.582422175369574356e+10,8.204857842465939522e+09
1.600000000000000000e+02,1.539236658455214882e+10,1.497100141850991058e+10,7.472680944047836304e+09
1.650000000000000000e+02,1.455395077537531281e+10,1.416378555366743088e+10,6.805841315436229706e+09
1.700000000000000000e+02,1.375918459435796928e+10,1.340009366121919823e+10,6.198508454692324638e+09
1.750000000000000000e+02,1.300588952241176414e+10,1.267757898826368141e+10,5.645372156378225327e+09
1.800000000000000000e+02,1.229199192201725006e+10,1.199402131559740829e+10,5.141596081858127594e+09
1.850000000000000000e+02,1.161551811720675087e+10,1.134732013519149017e+10,4.682775472846558571e+09
1.900000000000000000e+02,1.097458970144120598e+10,1.073548819552924919e+10,4.264898638472704411e+09
1.950000000000000000e+02,1.036741906289601135e+10,1.015664539497042847e+10,3.884311879123558521e+09
2.000000000000000000e+02,9.792305116907733917e+09,9.609013004376787186e+09,3.537687540378094196e+09
2.050000000000000000e+02,9.247629236230228424e+09,9.090908201245811462e+09,3.221994917712504864e+09
2.100000000000000000e+02,8.731851369778963089e+09,8.600738898556467056e+09,2.934473757582249165e+09
2.150000000000000000e+02,8.243506341119782448e+09,8.136998852436449051e+09,2.672610123188047886e+09
2.200000000000000000e+02,7.781200318452661514e+09,7.698263033617357254e+09,2.434114413908514023e+09
2.250000000000000000e+02,7.343607448109460831e+09,7.283183248454609871e+09,2.216901346212670326e+09
2.300000000000000000e+02,6.929466644023228645e+09,6.890483996055990219e+09,2.019071721015766144e+09
2.350000000000000000e+02,6.537578525941594124e+09,6.518958548788133621e+09,1.838895818061580420e+09
2.400000000000000000e+02,6.166802499556191444e+09,6.167465244116732597e+09,1.674798272140213490e+09
2.450000000000000000e+02,5.816053971954776764e+09,5.834923976385619164e+09,1.525344298906829596e+09
2.500000000000000000e+02,5.484301696184375763e+09,5.520312877754314423e+09,1.389227149867025137e+09
2.550000000000000000e+02,5.170565238964422226e+09,5.222665178094885826e+09,1.265256686841653347e+09
2.600000000000000000e+02,4.873912565856978416e+09,4.941066234198842049e+09,1.152348976012130022e+09
2.650000000000000000e+02,4.593457738517302513e+09,4.674650719165127754e+09,1.049516810561928391e+09
2.700000000000000000e+02,4.328358718840140343e+09,4.422599963332460403e+09,9.558610790491030216e+08
2.750000000000000000e+02,4.077815275087873459e+09,4.184139438584940910e+09,8.705629040393557549e+08
2.800000000000000000e+02,3.841066985314012527e+09,3.958536378300477982e+09,7.928764822639086246e+08
2.850000000000000000e+02,3.617391333598404884e+09,3.745097525628304958e+09,7.221225637001998425e+08
2.900000000000000000e+02,3.406101894837374210e+09,3.543167003176295757e+09,6.576825125598574877e+08
2.950000000000000000e+02,3.206546604008035660e+09,3.352124297561821461e+09,5.989928982562929392e+08
3.000000000000000000e+02,3.018106106034624100e+09,3.171382352632851124e+09,5.455405690581125021e+08
3.050000000000000000e+02,2.840192182544898510e+09,3.000385765499971390e+09,4.968581653549216986e+08
3.100000000000000000e+02,2.672246251991907597e+09,2.838609079835867882e+09,4.525200333058304787e+08
3.150000000000000000e+02,2.513737939767943382e+09,2.685555171197772980e+09,4.121385031417027116e+08
3.200000000000000000e+02,2.364163715095582008e+09,2.540753719411098003e+09,3.753604995805489421e+08
3.250000000000000000e+02,2.223045591631729126e+09,2.403759763320063114e+09,3.418644547192819118e+08
3.300000000000000000e+02,2.089929888858952284e+09,2.274152333464172840e+09,3.113574964097482562e+08
3.350000000000000000e+02,1.964386051470910549e+09,2.151533158478913784e+09,2.835728875356473327e+08
3.400000000000000000e+02,1.846005524090368032e+09,2.035525441245548725e+09,2.582676938006982207e+08
3.450000000000000000e+02,1.734400678779025078e+09,1.925772701029227495e+09,2.352206596363917291e+08
3.500000000000000000e+02,1.629203792913400412e+09,1.821937678047440290e+09,2.142302736573613882e+08
3.550000000000000000e+02,1.530066075114364624e+09,1.723701297102621317e+09,1.951130067497159243e+08
3.600000000000000000e+02,1.436656737022619009e+09,1.630761687094269514e+09,1.777017073870810866e+08
3.650000000000000000e+02,1.348662108812589645e+09,1.542833253397628307e+09,1.618441401438232660e+08
3.700000000000000000e+02,1.265784796435462713e+09,1.459645800258434296e+09,1.474016546269705296e+08
3.750000000000000000e+02,1.187742878672219992e+09,1.380943700506941795e+09,1.342479731886538565e+08
3.800000000000000000e+02,1.114269142165940762e+09,1.306485110039823055e+09,1.222680868194533587e+08
3.850000000000000000e+02,1.045110352685792685e+09,1.236041224656130075e+09,1.113572495689108223e+08
3.900000000000000000e+02,9.800265609555072784e+08,1.169395576963641644e+09,1.014200627009381354e+08
3.950000000000000000e+02,9.187904414541759491e+08,1.106343371195055962e+09,9.236964057644890249e+07
4.000000000000000000e+02,8.611866626704950333e+08,1.046690853889982104e+09,8.412685097012300789e+07
4.050000000000000000e+02,8.070112873606106043e+08,9.902547185088924170e+08,7.661962317902284861e+07
4.100000000000000000e+02,7.560712014254931211e+08,9.368615421494807005e+08,6.978231787352098525e+07
4.150000000000000000e+02,7.081835700870444775e+08,8.863472526344963312e+08,6.355515318084117025e+07
4.200000000000000000e+02,6.631753201020897627e+08,8.385566243334722519e+08,5.788368198318175972e+07
4.250000000000000000e+02,6.208826468108474016e+08,7.933428011690560579e+08,5.271831586018642783e+07
4.300000000000000000e+02,5.811505448711315393e+08,7.505668453421828747e+08,4.801389151336111873e+07
4.350000000000000000e+02,5.438323615818057060e+08,7.100973103893711567e+08,4.372927588147460669e+07
4.400000000000000000e+02,5.087893717488803864e+08,6.718098372601803541e+08,3.982700649427643418e+07
4.450000000000000000e+02,4.758903730951536894e+08,6.355867721736214161e+08,3.627296391996992379e+07
4.500000000000000000e+02,4.450113012597562075e+08,6.013168050792200565e+08,3.303607344248987734e+07
4.550000000000000000e+02,4.160348634772942662e+08,5.688946276117724180e+08,3.008803336020548642e+07
4.600000000000000000e+02,3.888501900676273108e+08,5.382206094887026548e+08,2.740306753043130040e+07
4.650000000000000000e+02,3.633525029068163037e+08,5.092004923556357026e+08,2.495769999612397328e+07
4.700000000000000000e+02,3.394428000875012875e+08,4.817451001393960118e+08,2.273054972421631962e+07
4.750000000000000000e+02,3.170275560129018426e+08,4.557700650183750987e+08,2.070214366088676453e+07
4.800000000000000000e+02,2.960184362030344605e+08,4.311955681682012677e+08,1.885474646921542659e+07
4.850000000000000000e+02,2.763320261245110035e+08,4.079460944860470891e+08,1.717220546054136753e+07
4.900000000000000000e+02,2.578895733866037130e+08,3.859502005398666263e+08,1.563980936367994547e+07
4.950000000000000000e+02,2.406167426761671901e+08,3.651402950294892788e+08,1.424415969715164974e+07
