x, current_density, J_max, J_min
0.000000000000000000e+00,1.094110415426540375e+11,1.184638533962595520e+11,2.923518477048280640e+11
5.000000000000000000e+00,1.034274356250677795e+11,1.099663978585606537e+11,2.432933583934868469e+11
1.000000000000000000e+01,9.769310801629980469e+10,1.020784679149147949e+11,2.024671939072000122e+11
1.500000000000000000e+01,9.220109808695150757e+10,9.475634207149867249e+10,1.684919180668975525e+11
2.000000000000000000e+01,8.694457808533303833e+10,8.795943499323397827e+10,1.402179084226076660e+11
2.500000000000000000e+01,8.191684592638400269e+10,8.165007254597357178e+10,1.166884564433803711e+11
3.000000000000000000e+01,7.711131847184898376e+10,7.579328297499371338e+10,9.710739534140209961e+10
3.500000000000000000e+01,7.252152519072622681e+10,7.035660306232951355e+10,8.081216015199342346e+10
4.000000000000000000e+01,6.814110222230298615e+10,6.530989818851564789e+10,6.725136850259112549e+10
4.500000000000000000e+01,6.396378688116674042e+10,6.062519530136410522e+10,5.596616347050759888e+10
5.000000000000000000e+01,5.998341258829962158e+10,5.627652786595279694e+10,4.657468722717367554e+10
5.500000000000000000e+01,5.619390424226290131e+10,5.223979193640801239e+10,3.875916010308897400e+10
6.000000000000000000e+01,5.258927406440826416e+10,4.849261255171070099e+10,3.225512786740505981e+10
6.500000000000000000e+01,4.916361789540849304e+10,4.501421971498036957e+10,2.684251338201044464e+10
7.000000000000000000e+01,4.591111197877604675e+10,4.178533326881034851e+10,2.233816984466276932e+10
7.500000000000000000e+01,4.282601022701411438e+10,3.878805602853734589e+10,1.858968364502785873e+10
8.000000000000000000e+01,3.990264197536466217e+10,3.600577458110067749e+10,1.547021714067522812e+10
8.500000000000000000e+01,3.713541023692550659e+10,3.342306719963563919e+10,1.287421684788347435e+10
9.000000000000000000e+01,3.451879044091297913e+10,3.102561836338671494e+10,1.071384182517637253e+10
9.500000000000000000e+01,3.204732967170654678e+10,2.880013940913873291e+10,8.915991396693733215e+09
1.000000000000000000e+02,2.971564639277444458e+10,2.673429487434991837e+10,7.419831642381752968e+09
1.050000000000000000e+02,2.751843065163349152e+10,2.481663412371884918e+10,6.174736958775531769e+09
1.100000000000000000e+02,2.545044475006042099e+10,2.303652788020288086e+10,5.138577038902958870e+09
1.150000000000000000e+02,2.350652436774610138e+10,2.138410930868977737e+10,4.276291307796353340e+09
1.200000000000000000e+02,2.168158012039992905e+10,1.985021932575914764e+10,3.558702576742664337e+09
1.250000000000000000e+02,1.997059952417951584e+10,1.842635583239472198e+10,2.961529773854685307e+09
1.300000000000000000e+02,1.836864934330819702e+10,1.710462658825267029e+10,2.464566344697368622e+09
1.350000000000000000e+02,1.687087828572582626e+10,1.587770546627599335e+10,2.050996522486080170e+09
1.400000000000000000e+02,1.547252001329643059e+10,1.473879184518134499e+10,1.706826332470483303e+09
1.450000000000000000e+02,1.416889642484320831e+10,1.368157291473769379e+10,1.420410077381987810e+09
1.500000000000000000e+02,1.295542116893878937e+10,1.270018868490104866e+10,1.182056281618326426e+09
1.550000000000000000e+02,1.182760333904319572e+10,1.178919950485686302e+10,9.836997604865504503e+08
1.600000000000000000e+02,1.078105130099188232e+10,1.094355591193329811e+10,8.186287183013732433e+08
1.650000000000000000e+02,9.811476599951332092e+09,1.015857064326305580e+10,6.812576411488422155e+08
1.700000000000000000e+02,8.914697892105407715e+09,9.429892655058879852e+09,5.669382996808384657e+08
1.750000000000000000e+02,8.086644844948970795e+09,8.753483005495964050e+09,4.718024668361498117e+08
1.800000000000000000e+02,7.323361948937861443e+09,8.125592467524038315e+09,3.926310285228374004e+08
1.850000000000000000e+02,6.621012184804032326e+09,7.542740747520586014e+09,3.267450583560395241e+08
1.900000000000000000e+02,5.975880489695253372e+09,7.001697194597717285e+09,2.719151707437758446e+08
1.950000000000000000e+02,5.384376969039563179e+09,6.499462893637493134e+09,2.262860850983400047e+08
2.000000000000000000e+02,4.843039802294167519e+09,6.033254042800361633e+09,1.883138486501869261e+08
2.050000000000000000e+02,4.348537795086598396e+09,5.600486523371039391e+09,1.567135936707477570e+08
2.100000000000000000e+02,3.897672534286781788e+09,5.198761576414941788e+09,1.304160613637156188e+08
2.150000000000000000e+02,3.487380107460199356e+09,4.825852506853320122e+09,1.085314213223816007e+08
2.200000000000000000e+02,3.114732354316011429e+09,4.479692341259943008e+09,9.031916231088910997e+07
2.250000000000000000e+02,2.776937623956593990e+09,4.158362370968527317e+09,7.516303556284913421e+07
2.300000000000000000e+02,2.471341018667866230e+09,3.860081516987284184e+09,6.255020275294347852e+07
2.350000000000000000e+02,2.195424112237018585e+09,3.583196457772010326e+09,5.205388307079210877e+07
2.400000000000000000e+02,1.946804138325327635e+09,3.326172465137651920e+09,4.331891222559129447e+07
2.450000000000000000e+02,1.723232651838845968e+09,3.087584897513265610e+09,3.604972474111963809e+07
2.500000000000000000e+02,1.522593673759685516e+09,2.866111303388916016e+09,3.000035289765995741e+07
2.550000000000000000e+02,1.342901337037040710e+09,2.660524091185226917e+09,2.496610391472797468e+07
2.600000000000000000e+02,1.182297057875082254e+09,2.469683724915855885e+09,2.077663375518538430e+07
2.650000000000000000e+02,1.039046262992516994e+09,2.292532407927599430e+09,1.729018318883384764e+07
2.700000000000000000e+02,9.115347088899751902e+08,2.128088219708127022e+09,1.438878108099784888e+07
2.750000000000000000e+02,7.982644339122413397e+08,1.975439673262637615e+09,1.197425259962473437e+07
2.800000000000000000e+02,6.978493876961659193e+08,1.833740662891885519e+09,9.964897270483473316e+06
2.850000000000000000e+02,6.090107854864814281e+08,1.702205774367938042e+09,8.292724475713913329e+06
2.900000000000000000e+02,5.305722367120310068e+08,1.580105931512728930e+09,6.901152853206289932e+06
2.950000000000000000e+02,4.614546981337903142e+08,1.466764355049137592e+09,5.743095751317271031e+06
3.000000000000000000e+02,4.006713018418633342e+08,1.361552811325158596e+09,4.779367956395060755e+06
3.050000000000000000e+02,3.473221074377170801e+08,1.263888130118445873e+09,3.977359781504015438e+06
3.100000000000000000e+02,3.005888259448334575e+08,1.173228972220025301e+09,3.309933651448292192e+06
3.150000000000000000e+02,2.597295604617649019e+08,1.089072828880400419e+09,2.754505847808167804e+06
3.200000000000000000e+02,2.240736053944166303e+08,1.010953236486495137e+09,2.292282342967663892e+06
3.250000000000000000e+02,1.930163424038771093e+08,9.384371910308270454e+08,1.907622866026043426e+06
3.300000000000000000e+02,1.660142671071174443e+08,8.711227480417612791e+08,1.587511682471983368e+06
3.350000000000000000e+02,1.425801761939653158e+08,8.086367946716454029e+08,1.321117180375956232e+06
3.400000000000000000e+02,1.222785400984906405e+08,7.506329815938699245e+08,1.099425360805380624e+06
3.450000000000000000e+02,1.047210818028669506e+08,6.967898032457163334e+08,9.149348308664532378e+05
3.500000000000000000e+02,8.956257786315780878e+07,6.468088157760872841e+08,7.614029788428805768e+05
3.550000000000000000e+02,7.649689342307235301e+07,6.004129828204922676e+08,6.336347427518932382e+05
3.600000000000000000e+02,6.525325890264360607e+07,5.573451399342048168e+08,5.273068248727038736e+05
3.650000000000000000e+02,5.559279227842359245e+07,5.173665691721883416e+08,4.388214041890170774e+05
3.700000000000000000e+02,4.730526745775008202e+07,4.802556759149267673e+08,3.651843968090252019e+05
3.750000000000000000e+02,4.020612622481148690e+07,4.458067606060189605e+08,3.039041450569911976e+05
3.800000000000000000e+02,3.413372861827119440e+07,4.138288785934888124e+08,2.529071071761032217e+05
3.850000000000000000e+02,2.894683439400693029e+07,3.841447817550941706e+08,2.104676948324945115e+05
3.900000000000000000e+02,2.452230642484143004e+07,3.565899360412368178e+08,1.751498843299000291e+05
3.950000000000000000e+02,2.075302547534335777e+07,3.310116094898822308e+08,1.457586258318297914e+05
4.000000000000000000e+02,1.754600473921377212e+07,3.072680256585020423e+08,1.212994064236245031e+05
4.050000000000000000e+02,1.482069180902623199e+07,2.852275777806510925e+08,1.009445987484782381e+05
4.100000000000000000e+02,1.250744532874530554e+07,2.647680992913826108e+08,8.400545655519950378e+04
4.150000000000000000e+02,1.054617342179557309e+07,2.457761866781412959e+08,6.990880957019896596e+04
4.200000000000000000e+02,8.885121054046472535e+06,2.281465709038107395e+08,5.817766911737412738e+04
4.250000000000000000e+02,7.479793744942723773e+06,2.117815339178130627e+08,4.841508823765589477e+04
4.300000000000000000e+02,6.292005445728167892e+06,1.965903670210833251e+08,4.029073018258805678e+04
4.350000000000000000e+02,5.289038928178503178e+06,1.824888680827218890e+08,3.352969079964460252e+04
4.400000000000000000e+02,4.442907640257984400e+06,1.693988748214788437e+08,2.790319659199476155e+04
4.450000000000000000e+02,3.729708659672426060e+06,1.572478315651297271e+08,2.322086370267876919e+04
4.500000000000000000e+02,3.129057088842016645e+06,1.459683870863597691e+08,1.932425589020426560e+04
4.550000000000000000e+02,2.623592965240990277e+06,1.354980212860259116e+08,1.608152351658723637e+04
4.600000000000000000e+02,2.198552492566044442e+06,1.257786986545663029e+08,1.338294214710969391e+04
4.650000000000000000e+02,1.841396117176095955e+06,1.167565465907489955e+08,1.113719980125951770e+04
4.700000000000000000e+02,1.541486669968543341e+06,1.083815567947351187e+08,9.268307226446680943e+03
4.750000000000000000e+02,1.289811458205634961e+06,1.006073080803257823e+08,7.713026647334579138e+03
4.800000000000000000e+02,1.078742818955308059e+06,9.339070906998883188e+07,6.418731987297414889e+03
4.850000000000000000e+02,9.018322319136707811e+05,8.669175934646533430e+07,5.341628158252618050e+03
4.900000000000000000e+02,7.536336322406985564e+05,8.047332773705813289e+07,4.445269164922848177e+03
4.950000000000000000e+02,6.295520628432101803e+05,7.470094650167016685e+07,3.699324880576876240e+03
5.000000000000000000e+02,5.257142605510306312e+05,6.934262028380957246e+07,3.078554765601609233e+03
