x, screening_profile, B_max, B_min
0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02
5.000000000000000000e+00,9.437951193448299136e+01,9.410591823792478294e+01,8.365352862738011197e+01
1.000000000000000000e+01,8.904135752429954209e+01,8.855923847402983995e+01,6.997912851811904034e+01
1.500000000000000000e+01,8.397305067131007661e+01,8.333948455049934978e+01,5.854001030809582318e+01
2.000000000000000000e+01,7.916258658700947137e+01,7.842738719100086087e+01,4.897078428155420937e+01
2.500000000000000000e+01,7.459842512325525377e+01,7.380481286610395841e+01,4.096578904802250776e+01
3.000000000000000000e+01,7.026947497518337116e+01,6.945469685142917626e+01,3.426932806871965909e+01
3.500000000000000000e+01,6.616507838997256385e+01,6.536098023140446855e+01,2.866750216637720783e+01
4.000000000000000000e+01,6.227499636310702869e+01,6.150855061607165908e+01,2.398137713150516959e+01
4.500000000000000000e+01,5.858939430612788613e+01,5.788318635209297724e+01,2.006126818394366040e+01
5.000000000000000000e+01,5.509882816961309970e+01,5.447150402200625763e+01,1.678195872327081162e+01
5.500000000000000000e+01,5.179423100599140639e+01,5.126090903791710218e+01,1.403870064480646285e+01
6.000000000000000000e+01,4.866689995715445605e+01,4.823954914723926635e+01,1.174386846281536911e+01
6.500000000000000000e+01,4.570848365290466120e+01,4.539627067884452316e+01,9.824160366503118524e+00
7.000000000000000000e+01,4.291097000618898960e+01,4.272057736810045014e+01,8.218256804592417808e+00
7.500000000000000000e+01,4.026667439211314559e+01,4.020259160879400184e+01,6.874861808701330901e+00
8.000000000000000000e+01,3.776822819771184925e+01,3.783301798889849010e+01,5.751064491234790133e+00
8.500000000000000000e+01,3.540856773071627828e+01,3.560310897557219079e+01,4.810968380554188073e+00
9.000000000000000000e+01,3.318092347523272423e+01,3.350463262271122744e+01,4.024544811481102435e+00
9.500000000000000000e+01,3.107880968301154212e+01,3.152984218184569798e+01,3.366673745994086531e+00
1.000000000000000000e+02,2.909601428948129609e+01,2.967144750419443255e+01,2.816341385895653193e+00
1.050000000000000000e+02,2.722658914420631504e+01,2.792258812830598558e+01,2.355968947494973875e+00
1.100000000000000000e+02,2.546484054552063014e+01,2.627680795393611390e+01,1.970851157944893739e+00
1.150000000000000000e+02,2.380532006970048897e+01,2.472803140866763627e+01,1.648686537614484138e+00
1.200000000000000000e+02,2.224281568545528387e+01,2.327054101928912644e+01,1.379184464719094505e+00
1.250000000000000000e+02,2.077234314468145371e+01,2.189895630513497338e+01,1.153736471018166565e+00
1.300000000000000000e+02,1.938913764095657299e+01,2.060821391546918946e+01,9.651412690677071415e-01
1.350000000000000000e+02,1.808864572741750010e+01,1.939354893758807208e+01,8.073747278142140438e-01
1.400000000000000000e+02,1.686651748611111756e+01,1.825047730663856171e+01,6.753974490622957072e-01
1.450000000000000000e+02,1.571859894114846767e+01,1.717477925221630031e+01,5.649937983999225866e-01
1.500000000000000000e+02,1.464092470829641002e+01,1.616248372063473937e+01,4.726372488874014399e-01
1.550000000000000000e+02,1.362971087391421676e+01,1.520985371535843100e+01,3.953777363016841573e-01
1.600000000000000000e+02,1.268134809642452154e+01,1.431337250148317075e+01,3.307474278234167619e-01
1.650000000000000000e+02,1.179239492376653864e+01,1.346973062333536220e+01,2.766818942185853003e-01
1.700000000000000000e+02,1.095957132052037153e+01,1.267581368726469293e+01,2.314541675869218051e-01
1.750000000000000000e+02,1.017975239862274250e+01,1.192869086452898841e+01,1.936195783415899929e-01
1.800000000000000000e+02,9.449962345826712351e+00,1.122560407182845310e+01,1.619696093961946193e-01
1.850000000000000000e+02,8.767368546290661868e+00,1.056395778954803788e+01,1.354932935639014124e-01
1.900000000000000000e+02,8.129275887863860461e+00,9.941309480120963826e+00,1.133449211196585343e-01
1.950000000000000000e+02,7.533121250848824779e+00,9.355360571141698500e+00,9.481702603651495642e-02
2.000000000000000000e+02,6.976468173203712375e+00,8.803947969941660290e+00,7.931778801908648258e-02
2.050000000000000000e+02,6.457001687335335305e+00,8.285036078302736584e+00,6.635212850715117849e-02
2.100000000000000000e+02,5.972523323803391904e+00,7.796709277830143670e+00,5.550589681560574862e-02
2.150000000000000000e+02,5.520946277415152537e+00,7.337164858243526488e+00,4.643264128252681811e-02
2.200000000000000000e+02,5.100290731351877049e+00,6.904706362480403037e+00,3.884254286772728659e-02
2.250000000000000000e+02,4.708679335112312181e+00,6.497737324044599028e+00,3.249315771745660969e-02
2.300000000000000000e+02,4.344332832203618544e+00,6.114755373480531553e+00,2.718167299311235324e-02
2.350000000000000000e+02,4.005565833639252560e+00,5.754346692216700809e+00,2.273842859869407151e-02
2.400000000000000000e+02,3.690782733433112028e+00,5.415180793304177342e+00,1.902149787722495072e-02
2.450000000000000000e+02,3.398473762396402531e+00,5.096005609782635837e+00,1.591215417208085778e-02
2.500000000000000000e+02,3.127211176658965641e+00,4.795642872542106971e+00,1.331107844557452916e-02
2.550000000000000000e+02,2.875645577441396927e+00,4.512983760617342632e+00,1.113518681808172220e-02
2.600000000000000000e+02,2.642502358707341514e+00,4.246984807857379529e+00,9.314976692576240266e-03
2.650000000000000000e+02,2.426578279418715400e+00,3.996664050859352724e+00,7.792306694158058003e-03
2.700000000000000000e+02,2.226738157205774282e+00,3.761097403946235040e+00,6.518539511130761258e-03
2.750000000000000000e+02,2.041911680349129732e+00,3.539415247806355413e+00,5.452988316030859227e-03
2.800000000000000000e+02,1.871090335048744224e+00,3.330799219201291628e+00,4.561617141998563531e-03
