x, o_total, cc
0.000000000000000000e+00,3.546694310686829277e-01,3.600223698965724917e-01
5.000000000000000000e+00,3.344036405807703227e-01,3.461475031246456502e-01
1.000000000000000000e+01,3.030280406025707141e-01,3.202008447578998385e-01
1.500000000000000000e+01,2.636672410020975965e-01,2.846059301680484155e-01
2.000000000000000000e+01,2.201761353648072628e-01,2.428468658169859185e-01
2.500000000000000000e+01,1.764157773466194790e-01,1.987984848648721159e-01
3.000000000000000000e+01,1.356342191283206322e-01,1.560601976472607011e-01
3.500000000000000000e+01,1.000811922514812380e-01,1.174442139420560083e-01
4.000000000000000000e+01,7.089758155064279643e-02,8.470944400676277963e-02
4.500000000000000000e+01,4.823866715815827017e-02,5.854907090888793880e-02
5.000000000000000000e+01,3.154046847150535071e-02,3.877416126154768078e-02
5.500000000000000000e+01,1.982900945775252152e-02,2.460134768990421966e-02
6.000000000000000000e+01,1.199404788057683788e-02,1.495337249402005006e-02
6.500000000000000000e+01,6.984733820234644008e-03,8.706829453601483762e-03
7.000000000000000000e+01,3.918790552674131407e-03,4.856280090558972792e-03
7.500000000000000000e+01,2.119722067721556760e-03,2.594515966504850040e-03
8.000000000000000000e+01,1.106220843314623418e-03,1.327721560658981720e-03
8.500000000000000000e+01,5.573839873588820994e-04,6.507993082011677942e-04
9.000000000000000000e+01,2.713506138767565116e-04,3.055411343999527496e-04
9.500000000000000000e+01,1.277271632726407200e-04,1.373944786905642850e-04
1.000000000000000000e+02,5.817299994090168477e-05,5.917542353260578478e-05
1.050000000000000000e+02,2.565375681559800067e-05,2.441081651926857511e-05
1.100000000000000000e+02,1.096156242753001517e-05,9.644707603743860004e-06
1.150000000000000000e+02,4.541307730538410481e-06,3.649716793596316496e-06
1.200000000000000000e+02,1.825430012787675153e-06,1.322788890613341003e-06
1.250000000000000000e+02,7.123729309047344264e-07,4.591784055694106435e-07
1.300000000000000000e+02,2.700740530341260250e-07,1.526618296617244615e-07
1.350000000000000000e+02,9.953130431479439234e-08,4.861119903129795829e-08
1.400000000000000000e+02,3.567786228377722566e-08,1.482511340927555687e-08
1.450000000000000000e+02,1.244669038202653273e-08,4.330266718468740670e-09
1.500000000000000000e+02,4.228353071916674683e-09,1.211394062192811325e-09
1.550000000000000000e+02,1.399555237851539358e-09,3.245710272642365928e-10
1.600000000000000000e+02,4.515879066063424216e-10,8.328887773131651425e-11
1.650000000000000000e+02,1.421192903805404470e-10,2.046994761644589857e-11
1.700000000000000000e+02,4.364558984796902394e-11,4.818351591639332621e-12
1.750000000000000000e+02,1.308626610853904030e-11,1.086255292318550992e-12
1.800000000000000000e+02,3.832516819683462307e-12,2.345398595671333948e-13
1.850000000000000000e+02,1.096841509198210099e-12,4.850119811779864308e-14
1.900000000000000000e+02,3.068934005303373397e-13,9.605922358786935524e-15
1.950000000000000000e+02,8.398495361413112754e-14,1.822116970842565242e-15
