x, o_total, cc
0.000000000000000000e+00,2.357658944359109776e-01,2.406683155855613154e-01
5.000000000000000000e+00,2.251581141355540605e-01,2.305963986261075349e-01
1.000000000000000000e+01,2.135303658483309053e-01,2.194750952368733909e-01
1.500000000000000000e+01,2.009872229499036766e-01,2.073834979145487423e-01
2.000000000000000000e+01,1.876776015765325711e-01,1.944483688052620896e-01
2.500000000000000000e+01,1.737861898808591987e-01,1.808359853827376240e-01
3.000000000000000000e+01,1.595230935574774578e-01,1.667434894830602810e-01
3.500000000000000000e+01,1.451124778305246110e-01,1.523885066864595628e-01
4.000000000000000000e+01,1.307810267418481054e-01,1.379961092455864458e-01
4.500000000000000000e+01,1.167470064242773636e-01,1.237893454834039370e-01
5.000000000000000000e+01,1.032106179647702959e-01,1.099781274841775403e-01
5.500000000000000000e+01,9.034617210886500271e-02,9.675054471945722379e-02
6.000000000000000000e+01,7.829643162763666453e-02,8.426615427683852022e-02
6.500000000000000000e+01,6.716926875291513721e-02,7.265136689907741863e-02
7.000000000000000000e+01,5.703659501184741437e-02,6.199715014089371423e-02
7.500000000000000000e+01,4.793535631613862757e-02,5.235890770992573939e-02
8.000000000000000000e+01,3.987025981263514485e-02,4.375826356460896932e-02
8.500000000000000000e+01,3.281781771057065006e-02,3.618638925716601007e-02
9.000000000000000000e+01,2.673125834602374171e-02,2.960844872830492580e-02
9.500000000000000000e+01,2.154586241344028444e-02,2.396871588552729540e-02
1.000000000000000000e+02,1.718432506403022239e-02,1.919594248219177665e-02
1.050000000000000000e+02,1.356181257137221811e-02,1.520860666057048151e-02
1.100000000000000000e+02,1.059046478583186048e-02,1.191974591179906229e-02
1.150000000000000000e+02,8.183181435101712781e-03,9.241162053006252847e-03
1.200000000000000000e+02,6.256612808541586919e-03,7.086870673881209837e-03
1.250000000000000000e+02,4.733347002193424857e-03,5.375745569543444007e-03
1.300000000000000000e+02,3.543342652466434720e-03,4.033374409762724780e-03
1.350000000000000000e+02,2.624696253327065201e-03,2.993192129967452153e-03
1.400000000000000000e+02,1.923857043428617644e-03,2.196992300242282467e-03
1.450000000000000000e+02,1.395411879688487466e-03,1.594934880818832694e-03
1.500000000000000000e+02,1.001560244678491524e-03,1.145173458336007800e-03
1.550000000000000000e+02,7.113887493670170876e-04,8.132191948861555069e-04
1.600000000000000000e+02,5.000383511463045915e-04,5.711455006627920482e-04
1.650000000000000000e+02,3.478388258118160102e-04,3.967199187889914702e-04
1.700000000000000000e+02,2.394660859905678300e-04,2.725305319717249118e-04
1.750000000000000000e+02,1.631603799094866040e-04,1.851554356822507461e-04
1.800000000000000000e+02,1.100282752384014446e-04,1.244069169759561867e-04
1.850000000000000000e+02,7.343914025891288189e-05,8.266778452231843299e-05
1.900000000000000000e+02,4.851766320598639519e-05,5.432616265094950686e-05
1.950000000000000000e+02,3.172758535169496768e-05,3.530695265584816626e-05
2.000000000000000000e+02,2.053786679710473823e-05,2.269277814796231101e-05
2.050000000000000000e+02,1.316047473424168526e-05,1.442411872128985312e-05
2.100000000000000000e+02,8.348392024509515997e-06,9.066992334557413859e-06
2.150000000000000000e+02,5.242840939351702876e-06,5.636478658714988591e-06
2.200000000000000000e+02,3.259724905197198932e-06,3.465146600895022582e-06
2.250000000000000000e+02,2.006613849770565492e-06,2.106701924515723503e-06
2.300000000000000000e+02,1.223020395322645390e-06,1.266633674746682036e-06
2.350000000000000000e+02,7.380900493621574924e-07,7.531201424424290738e-07
2.400000000000000000e+02,4.410722335387720536e-07,4.428347830801768448e-07
2.450000000000000000e+02,2.610081018185138503e-07,2.575030881042437638e-07
2.500000000000000000e+02,1.529542488469262019e-07,1.480762865558197514e-07
2.550000000000000000e+02,8.876708599771281020e-08,8.420737351097393306e-08
2.600000000000000000e+02,5.102053199482376886e-08,4.735605379405638762e-08
2.650000000000000000e+02,2.904427215676017833e-08,2.633667643709422861e-08
2.700000000000000000e+02,1.637640383607926271e-08,1.448457869256919010e-08
2.750000000000000000e+02,9.146169850501688370e-09,7.877884512740883354e-09
2.800000000000000000e+02,5.059911609806914632e-09,4.237128614530073277e-09
2.850000000000000000e+02,2.773000220152345976e-09,2.253675955269675655e-09
2.900000000000000000e+02,1.505499543692070868e-09,1.185410072673468260e-09
2.950000000000000000e+02,8.097586953258570296e-10,6.165987466086922876e-10
3.000000000000000000e+02,4.315145649243843795e-10,3.171707581776323189e-10
3.050000000000000000e+02,2.278351749100211785e-10,1.613391432332002689e-10
3.100000000000000000e+02,1.191934080570041506e-10,8.116001279811300880e-11
3.150000000000000000e+02,6.178891230546541133e-11,4.037382509684826722e-11
3.200000000000000000e+02,3.174069535778791273e-11,1.986153525182967413e-11
3.250000000000000000e+02,1.615811278385873206e-11,9.662301379524153008e-12
3.300000000000000000e+02,8.151806992114317646e-12,4.648393944843384340e-12
3.350000000000000000e+02,4.075932067338187440e-12,2.211462664320666000e-12
3.400000000000000000e+02,2.019902987297269274e-12,1.040424103132009194e-12
3.450000000000000000e+02,9.921682487784448762e-13,4.840554247800637053e-13
3.500000000000000000e+02,4.830722228438837103e-13,2.227067966810671277e-13
3.550000000000000000e+02,2.331478384671302269e-13,1.013270398918954721e-13
3.600000000000000000e+02,1.115485500337024454e-13,4.559010246262297687e-14
3.650000000000000000e+02,5.290908529711400849e-14,2.028471656336686093e-14
3.700000000000000000e+02,2.488002983388788494e-14,8.925248702418213529e-15
3.750000000000000000e+02,1.159968879420897049e-14,3.883511279280556918e-15
3.800000000000000000e+02,5.362125771950842168e-15,1.671019582067315868e-15
3.850000000000000000e+02,2.457781266796977063e-15,7.110352024510923880e-16
3.900000000000000000e+02,1.117082703189270279e-15,2.991941786810999255e-16
3.950000000000000000e+02,5.034814880377051226e-16,1.244994792402091581e-16
4.000000000000000000e+02,2.250390632573108823e-16,5.123115901249135565e-17
4.050000000000000000e+02,9.975360577541543477e-17,2.084745169558383498e-17
4.100000000000000000e+02,4.385464116574326080e-17,8.389263279053205131e-18
4.150000000000000000e+02,1.912223632812751549e-17,3.338463509418612960e-18
4.200000000000000000e+02,8.270233381941723081e-18,1.313775985502785809e-18
4.250000000000000000e+02,3.547909435417857615e-18,5.112670442148904498e-19
4.300000000000000000e+02,1.509810974354990428e-18,1.967550996781015158e-19
