x, lambda_eff
0.000000000000000000e+00,7.898454373036751974e+01
5.000000000000000000e+00,7.834218756271944528e+01
1.000000000000000000e+01,7.770090129124281475e+01
1.500000000000000000e+01,7.706078376460268942e+01
2.000000000000000000e+01,7.642193361965466636e+01
2.500000000000000000e+01,7.578444925444647140e+01
3.000000000000000000e+01,7.514842880108227519e+01
3.500000000000000000e+01,7.451397009845261721e+01
4.000000000000000000e+01,7.388117066483279416e+01
4.500000000000000000e+01,7.325012767035099159e+01
5.000000000000000000e+01,7.262093790932773629e+01
5.500000000000000000e+01,7.199369777248708147e+01
6.000000000000000000e+01,7.136850321903912686e+01
6.500000000000000000e+01,7.074544974863324853e+01
7.000000000000000000e+01,7.012463237318023346e+01
7.500000000000000000e+01,6.950614558854104530e+01
8.000000000000000000e+01,6.889008334607899542e+01
8.500000000000000000e+01,6.827653902407165276e+01
9.000000000000000000e+01,6.766560539897785986e+01
9.500000000000000000e+01,6.705737461655461118e+01
1.000000000000000000e+02,6.645193816281771149e+01
1.050000000000000000e+02,6.584938683483952104e+01
1.100000000000000000e+02,6.524981071137662525e+01
1.150000000000000000e+02,6.465329912331903017e+01
1.200000000000000000e+02,6.405994062395265587e+01
1.250000000000000000e+02,6.346982295902557780e+01
1.300000000000000000e+02,6.288303303660865140e+01
1.350000000000000000e+02,6.229965689674001794e+01
1.400000000000000000e+02,6.171977968084333099e+01
1.450000000000000000e+02,6.114348560090837736e+01
1.500000000000000000e+02,6.057085790842355522e+01
1.550000000000000000e+02,6.000197886304855643e+01
1.600000000000000000e+02,5.943692970101625406e+01
1.650000000000000000e+02,5.887579060325286662e+01
1.700000000000000000e+02,5.831864066320501649e+01
1.750000000000000000e+02,5.776555785436389101e+01
1.800000000000000000e+02,5.721661899747603997e+01
1.850000000000000000e+02,5.667189972743162940e+01
1.900000000000000000e+02,5.613147445982237826e+01
1.950000000000000000e+02,5.559541635716094277e+01
2.000000000000000000e+02,5.506379729475679596e+01
2.050000000000000000e+02,5.453668782624337297e+01
2.100000000000000000e+02,5.401415714875430751e+01
2.150000000000000000e+02,5.349627306774757329e+01
2.200000000000000000e+02,5.298310196147951956e+01
2.250000000000000000e+02,5.247470874513233241e+01
2.300000000000000000e+02,5.197115683460218349e+01
2.350000000000000000e+02,5.147250810995755188e+01
2.400000000000000000e+02,5.097882287858116257e+01
2.450000000000000000e+02,5.049015983801228202e+01
2.500000000000000000e+02,5.000657603851028199e+01
2.550000000000000000e+02,4.952812684536445431e+01
2.600000000000000000e+02,4.905486590097961397e+01
2.650000000000000000e+02,4.858684508677210090e+01
2.700000000000000000e+02,4.812411448491550914e+01
2.750000000000000000e+02,4.766672233998130537e+01
2.800000000000000000e+02,4.721471502052467173e+01
2.850000000000000000e+02,4.676813698067243052e+01
2.900000000000000000e+02,4.632703072177520909e+01
2.950000000000000000e+02,4.589143675419327906e+01
3.000000000000000000e+02,4.546139355929101100e+01
3.050000000000000000e+02,4.503693755172234603e+01
3.100000000000000000e+02,4.461810304209566169e+01
3.150000000000000000e+02,4.420492220011367124e+01
3.200000000000000000e+02,4.379742501829046120e+01
3.250000000000000000e+02,4.339563927635438034e+01
3.300000000000000000e+02,4.299959050645230008e+01
3.350000000000000000e+02,4.260930195927672770e+01
3.400000000000000000e+02,4.222479457124384794e+01
3.450000000000000000e+02,4.184608693285576209e+01
3.500000000000000000e+02,4.147319525838602772e+01
3.550000000000000000e+02,4.110613335703236260e+01
3.600000000000000000e+02,4.074491260568453299e+01
3.650000000000000000e+02,4.038954192345943284e+01
3.700000000000000000e+02,4.004002774815820231e+01
3.750000000000000000e+02,3.969637401480240158e+01
3.800000000000000000e+02,3.935858213640769065e+01
3.850000000000000000e+02,3.902665098715383607e+01
3.900000000000000000e+02,3.870057688810921093e+01
3.950000000000000000e+02,3.838035359566622873e+01
4.000000000000000000e+02,3.806597229284145101e+01
4.050000000000000000e+02,3.775742158359008016e+01
4.100000000000000000e+02,3.745468749027930500e+01
4.150000000000000000e+02,3.715775345445842959e+01
4.200000000000000000e+02,3.686660034105629080e+01
4.250000000000000000e+02,3.658120644612723282e+01
4.300000000000000000e+02,3.630154750825678178e+01
4.350000000000000000e+02,3.602759672372677358e+01
4.400000000000000000e+02,3.575932476552702610e+01
4.450000000000000000e+02,3.549669980628674182e+01
4.500000000000000000e+02,3.523968754518439539e+01
4.550000000000000000e+02,3.498825123887838373e+01
4.600000000000000000e+02,3.474235173648487063e+01
4.650000000000000000e+02,3.450194751861099718e+01
4.700000000000000000e+02,3.426699474043402205e+01
4.750000000000000000e+02,3.403744727879821141e+01
4.800000000000000000e+02,3.381325678328214934e+01
4.850000000000000000e+02,3.359437273117024603e+01
4.900000000000000000e+02,3.338074248624274531e+01
4.950000000000000000e+02,3.317231136127941937e+01
5.000000000000000000e+02,3.296902268415360027e+01
5.050000000000000000e+02,3.277081786737430491e+01
5.100000000000000000e+02,3.257763648091705733e+01
5.150000000000000000e+02,3.238941632816653282e+01
5.200000000000000000e+02,3.220609352477843856e+01
5.250000000000000000e+02,3.202760258025305973e+01
5.300000000000000000e+02,3.185387648199905541e+01
5.350000000000000000e+02,3.168484678165391344e+01
5.400000000000000000e+02,3.152044368341647029e+01
5.450000000000000000e+02,3.136059613413759450e+01
5.500000000000000000e+02,3.120523191490734760e+01
5.550000000000000000e+02,3.105427773387103585e+01
5.600000000000000000e+02,3.090765932000211436e+01
5.650000000000000000e+02,3.076530151755738274e+01
5.700000000000000000e+02,3.062712838093920453e+01
5.750000000000000000e+02,3.049306326969020375e+01
5.800000000000000000e+02,3.036302894334864177e+01
5.850000000000000000e+02,3.023694765589689837e+01
5.900000000000000000e+02,3.011474124954128939e+01
5.950000000000000000e+02,2.999633124756871894e+01
6.000000000000000000e+02,2.988163894603458814e+01
6.050000000000000000e+02,2.977058550404605697e+01
6.100000000000000000e+02,2.966309203241628367e+01
6.150000000000000000e+02,2.955907968047724665e+01
6.200000000000000000e+02,2.945846972085202253e+01
6.250000000000000000e+02,2.936118363200131398e+01
6.300000000000000000e+02,2.926714317837351587e+01
6.350000000000000000e+02,2.917627048800289913e+01
