x, current_density, J_max, J_min
8.320000000000000000e+02,2.682933131850260070e-02,1.172117657310241368e+06,1.553272791939494003e-02
8.325000000000000000e+02,2.634099748487106485e-02,1.164083821128809825e+06,1.525001166879265922e-02
8.330000000000000000e+02,2.586155214278025583e-02,1.156105049832193879e+06,1.497244122894355288e-02
8.335000000000000000e+02,2.539083301758855715e-02,1.148180965999013279e+06,1.469992293926667033e-02
8.340000000000000000e+02,2.492868176096822014e-02,1.140311194794779643e+06,1.443236484392768602e-02
8.345000000000000000e+02,2.447494195169080261e-02,1.132495363954167580e+06,1.416967666081050438e-02
8.350000000000000000e+02,2.402946095321287917e-02,1.124733103763397317e+06,1.391176975105322573e-02
8.355000000000000000e+02,2.359208798657654038e-02,1.117024047042757506e+06,1.365855708913896009e-02
8.360000000000000000e+02,2.316267592098873382e-02,1.109367829129229533e+06,1.340995323353051313e-02
8.365000000000000000e+02,2.274107941623558851e-02,1.101764087859238964e+06,1.316587429784003664e-02
8.370000000000000000e+02,2.232715664867231803e-02,1.094212463551524561e+06,1.292623792252316391e-02
8.375000000000000000e+02,2.192076752064395229e-02,1.086712598990123486e+06,1.269096324708861648e-02
8.380000000000000000e+02,2.152177532421566813e-02,1.079264139407474780e+06,1.245997088281317229e-02
8.385000000000000000e+02,2.113004501518286199e-02,1.071866732467636932e+06,1.223318288595371534e-02
8.390000000000000000e+02,2.074544481678768093e-02,1.064520028249621624e+06,1.201052273144659864e-02
8.395000000000000000e+02,2.036784455598868865e-02,1.057223679230841575e+06,1.179191528708596268e-02
8.400000000000000000e+02,1.999711720932829603e-02,1.049977340270673158e+06,1.157728678817161738e-02
8.405000000000000000e+02,1.963313729921627518e-02,1.042780668594122282e+06,1.136656481261880472e-02
8.410000000000000000e+02,1.927578238403476404e-02,1.035633323775622295e+06,1.115967825652073274e-02
8.415000000000000000e+02,1.892493151227085668e-02,1.028534967722922214e+06,1.095655731015613213e-02
8.420000000000000000e+02,1.858046665887061813e-02,1.021485264661096502e+06,1.075713343443314603e-02
8.425000000000000000e+02,1.824227123513402771e-02,1.014483881116661942e+06,1.056133933776233838e-02
8.430000000000000000e+02,1.791023147325688028e-02,1.007530485901801614e+06,1.036910895335045255e-02
8.435000000000000000e+02,1.758423498997670198e-02,1.000624750098701683e+06,1.018037741690746081e-02
8.440000000000000000e+02,1.726417212117139013e-02,9.937663470439892262e+05,9.995081044759565256e-03
8.445000000000000000e+02,1.694993453731731547e-02,9.869549523132828763e+05,9.813157312360189233e-03
8.450000000000000000e+02,1.664141652994615209e-02,9.801902437058460200e+05,9.634544833192466504e-03
8.455000000000000000e+02,1.633851367704626870e-02,9.734719012293397682e+05,9.459183338055532700e-03
8.460000000000000000e+02,1.604112408311426582e-02,9.667996070846975781e+05,9.287013654728020276e-03
8.465000000000000000e+02,1.574914709269817359e-02,9.601730456510827644e+05,9.117977688001375688e-03
8.470000000000000000e+02,1.546248448571754634e-02,9.535919034709635889e+05,8.952018400076925536e-03
8.475000000000000000e+02,1.518103923741193594e-02,9.470558692352833459e+05,8.789079791319561949e-03
8.480000000000000000e+02,1.490471667054307087e-02,9.405646337687353371e+05,8.629106881361906303e-03
8.485000000000000000e+02,1.463342326007475817e-02,9.341178900151378475e+05,8.472045690552093902e-03
8.490000000000000000e+02,1.436706774381237700e-02,9.277153330229094718e+05,8.317843221739559118e-03
8.495000000000000000e+02,1.410555997020073241e-02,9.213566599306436256e+05,8.166447442392135367e-03
8.500000000000000000e+02,1.384881196890007729e-02,9.150415699527828256e+05,8.017807267038854629e-03
8.505000000000000000e+02,1.359673684014661189e-02,9.087697643653912237e+05,7.871872540031979448e-03
8.510000000000000000e+02,1.334924978671013160e-02,9.025409464920187602e+05,7.728594018623128302e-03
8.515000000000000000e+02,1.310626704331800674e-02,8.963548216896757949e+05,7.587923356347221586e-03
8.520000000000000000e+02,1.286770687138741841e-02,8.902110973348902771e+05,7.449813086709051839e-03
8.525000000000000000e+02,1.263348852706771934e-02,8.841094828098666621e+05,7.314216607166504694e-03
