x, o_total, cc
0.000000000000000000e+00,2.863049609901019421e-01,2.927401933213201746e-01
5.000000000000000000e+00,2.736694674438273078e-01,2.799483152885361426e-01
1.000000000000000000e+01,2.613475954633148191e-01,2.674696174506370205e-01
1.500000000000000000e+01,2.493402496355001385e-01,2.553047712907152711e-01
2.000000000000000000e+01,2.376483467559681872e-01,2.434550831461471110e-01
2.500000000000000000e+01,2.262727983233112916e-01,2.319212625958372020e-01
3.000000000000000000e+01,2.152144878299429576e-01,2.207042484319569065e-01
3.500000000000000000e+01,2.044742433559336992e-01,2.098048640175574908e-01
4.000000000000000000e+01,1.940528060760696449e-01,1.992239320335602581e-01
4.500000000000000000e+01,1.839507953795531947e-01,1.889620986767149846e-01
5.000000000000000000e+01,1.741686713745783655e-01,1.790199154522244540e-01
5.500000000000000000e+01,1.647066956048874042e-01,1.693977431238266607e-01
6.000000000000000000e+01,1.555648908412561593e-01,1.600957247839827624e-01
6.500000000000000000e+01,1.467430008271109754e-01,1.511137251698288497e-01
7.000000000000000000e+01,1.382404508540628629e-01,1.424513750197889950e-01
7.500000000000000000e+01,1.300563100205016920e-01,1.341078821264262144e-01
8.000000000000000000e+01,1.221892559854126786e-01,1.260821343142936313e-01
8.500000000000000000e+01,1.146375429716292166e-01,1.183726028264887736e-01
9.000000000000000000e+01,1.073989736995274585e-01,1.109773118764454392e-01
9.500000000000000000e+01,1.004708758458099510e-01,1.038938066984753661e-01
1.000000000000000000e+02,9.385008352483395488e-02,9.711926054568799371e-02
1.050000000000000000e+02,8.753292418446972922e-02,9.065016994808025586e-02
1.100000000000000000e+02,8.151521119739754684e-02,8.448263926269779234e-02
1.150000000000000000e+02,7.579224231477052487e-02,7.861222930540727460e-02
1.200000000000000000e+02,7.035880403498552538e-02,7.303399171300695158e-02
1.250000000000000000e+02,6.520918182850113376e-02,6.774245813349435985e-02
1.300000000000000000e+02,6.033717605265422751e-02,6.273168343546088599e-02
1.350000000000000000e+02,5.573612329046329084e-02,5.799524199429142296e-02
1.400000000000000000e+02,5.139892275641663039e-02,5.352625658533465697e-02
1.450000000000000000e+02,4.731806733185655450e-02,4.931742755962770924e-02
1.500000000000000000e+02,4.348567872409702523e-02,4.536106613374631807e-02
1.550000000000000000e+02,3.989354618779950012e-02,4.164913129492039262e-02
1.600000000000000000e+02,3.653316820497182899e-02,3.817326986126357707e-02
1.650000000000000000e+02,3.339579649149139462e-02,3.492485917828992009e-02
1.700000000000000000e+02,3.047248168318211770e-02,3.189505185905851248e-02
1.750000000000000000e+02,2.775412005277959684e-02,2.907482192761347631e-02
1.800000000000000000e+02,2.523150061989240522e-02,2.645501171226451870e-02
1.850000000000000000e+02,2.289535203835702665e-02,2.402637884951357855e-02
1.900000000000000000e+02,2.073638867801906246e-02,2.177964279108152851e-02
1.950000000000000000e+02,1.874535535962384633e-02,1.970553024827597505e-02
2.000000000000000000e+02,1.691307025071069406e-02,1.779481905609157921e-02
2.050000000000000000e+02,1.523046548564805161e-02,1.603837999239286424e-02
2.100000000000000000e+02,1.368862513266141771e-02,1.442721614457218894e-02
2.150000000000000000e+02,1.227882019334444567e-02,1.295249947646031664e-02
2.200000000000000000e+02,1.099254038420334478e-02,1.160560431095118521e-02
2.250000000000000000e+02,9.821522513852763356e-03,1.037813750749152879e-02
2.300000000000000000e+02,8.757775332247783734e-03,9.261965176894915858e-03
2.350000000000000000e+02,7.793600788635978924e-03,8.249235837542549798e-03
2.400000000000000000e+02,6.921611691725497451e-03,7.332399975755054741e-03
2.450000000000000000e+02,6.134745818039007668e-03,6.504226027974199451e-03
2.500000000000000000e+02,5.426276561878325827e-03,5.757812852592717953e-03
2.550000000000000000e+02,4.789820262252024105e-03,5.086598804212178956e-03
2.600000000000000000e+02,4.219340378179420314e-03,4.484367562369038010e-03
2.650000000000000000e+02,3.709148713801888909e-03,3.945250900086709131e-03
2.700000000000000000e+02,3.253903918678410518e-03,3.463728604879241432e-03
2.750000000000000000e+02,2.848607506625937778e-03,3.034625786083515117e-03
2.800000000000000000e+02,2.488597648714448423e-03,2.653107817791455249e-03
2.850000000000000000e+02,2.169541002871926312e-03,2.314673176463517140e-03
2.900000000000000000e+02,1.887422844409563901e-03,2.015144436894235596e-03
2.950000000000000000e+02,1.638535759120003611e-03,1.750657690010925648e-03
3.000000000000000000e+02,1.419467153955619081e-03,1.517650641514845748e-03
3.050000000000000000e+02,1.227085830211990672e-03,1.312849642156532206e-03
3.100000000000000000e+02,1.058527851188352520e-03,1.133255889031169758e-03
3.150000000000000000e+02,9.111819210336242082e-04,9.761310232493672573e-04
3.200000000000000000e+02,7.826744744596949698e-04,8.389823332386359567e-04
3.250000000000000000e+02,6.708546587323855042e-04,7.195477552963010486e-04
3.300000000000000000e+02,5.737793703185148494e-04,6.157808443496677825e-04
3.350000000000000000e+02,4.896984892158496878e-04,5.258358686497992219e-04
3.400000000000000000e+02,4.170404347148535021e-04,4.480531627521276532e-04
3.450000000000000000e+02,3.543981474795863951e-04,3.809448539921353937e-04
3.500000000000000000e+02,3.005155846804171511e-04,3.231810590680388932e-04
3.550000000000000000e+02,2.542747977016058050e-04,2.735766295629545953e-04
3.600000000000000000e+02,2.146836458699822431e-04,2.310785084930488682e-04
3.650000000000000000e+02,1.808641848462490200e-04,1.947537444225646175e-04
3.700000000000000000e+02,1.520417548824803402e-04,1.637781954613388492e-04
3.750000000000000000e+02,1.275347821318955743e-04,1.374259426322636877e-04
3.800000000000000000e+02,1.067452956174635547e-04,1.150594207028853000e-04
3.850000000000000000e+02,8.915015331023687286e-05,9.612026462037459801e-05
3.900000000000000000e+02,7.429296299576207104e-05,8.012086114632496932e-05
3.950000000000000000e+02,6.177667715484803587e-05,6.663658810639083350e-05
4.000000000000000000e+02,5.125683587353203690e-05,5.529871777892567694e-05
4.050000000000000000e+02,4.243542773356091455e-05,4.578795626034755915e-05
4.100000000000000000e+02,3.505533561757058210e-05,3.782858706567467593e-05
4.150000000000000000e+02,2.889533228564332347e-05,3.118318464595426390e-05
4.200000000000000000e+02,2.376558933327906019e-05,2.564786182176887383e-05
4.250000000000000000e+02,1.950366261695397768e-05,2.104801423443041606e-05
4.300000000000000000e+02,1.597091732725278143e-05,1.723452469638458146e-05
4.350000000000000000e+02,1.304935650075606343e-05,1.408039067608687462e-05
4.400000000000000000e+02,1.063881779636783790e-05,1.147773898201095508e-05
4.450000000000000000e+02,8.654504732762985798e-06,9.335192924089922878e-06
4.500000000000000000e+02,7.024820212236638250e-06,7.575558744978154704e-06
4.550000000000000000e+02,5.689471971877649358e-06,6.133799852446368079e-06
4.600000000000000000e+02,4.597821543511549619e-06,4.955269280813859077e-06
4.650000000000000000e+02,3.707450315426794014e-06,3.994172804859290194e-06
4.700000000000000000e+02,2.982918325685780470e-06,3.212237173670999157e-06
4.750000000000000000e+02,2.394693440596771183e-06,2.577559981837881700e-06
4.800000000000000000e+02,1.918230551502417254e-06,2.063619716091906437e-06
4.850000000000000000e+02,1.533182333692759621e-06,1.648426478690643858e-06
4.900000000000000000e+02,1.222724934043018035e-06,1.313795772375319386e-06
4.950000000000000000e+02,9.729836751116234955e-07,1.044729519109131686e-06
5.000000000000000000e+02,7.725454735869139024e-07,8.288901643151041101e-07
5.050000000000000000e+02,6.120461646460563673e-07,6.561552825285349590e-07
5.100000000000000000e+02,4.838222987101564714e-07,5.182415453668727400e-07
5.150000000000000000e+02,3.816182336184051439e-07,4.083882375865859099e-07
5.200000000000000000e+02,3.003404859036783423e-07,3.210917132519354897e-07
5.250000000000000000e+02,2.358523337960749986e-07,2.518832751141735542e-07
5.300000000000000000e+02,1.848025872195552292e-07,1.971439410927873302e-07
5.350000000000000000e+02,1.444832626763555519e-07,1.539504382409571296e-07
5.400000000000000000e+02,1.127116304075758478e-07,1.199475434806554035e-07
5.450000000000000000e+02,8.773274476736843312e-08,9.324257887171370165e-08
5.500000000000000000e+02,6.813913364786052644e-08,7.231847460478710782e-08
5.550000000000000000e+02,5.280481626984785189e-08,5.596234266342840306e-08
5.600000000000000000e+02,4.083124773570534182e-08,4.320696542525904189e-08
5.650000000000000000e+02,3.150316014717653960e-08,3.328300334343828844e-08
5.700000000000000000e+02,2.425259016590575647e-08,2.558007089308689348e-08
5.750000000000000000e+02,1.862965755678569799e-08,1.961512639619480164e-08
5.800000000000000000e+02,1.427889396654283813e-08,1.500687491455807253e-08
5.850000000000000000e+02,1.092012094846802926e-08,1.145509941354168870e-08
5.900000000000000000e+02,8.333045578695599910e-09,8.724018663422444127e-09
5.950000000000000000e+02,6.344884994961754202e-09,6.628925203446018199e-09
6.000000000000000000e+02,4.820451464490412124e-09,5.025487036521691700e-09
6.050000000000000000e+02,3.654230381361199464e-09,3.801206008589450837e-09
6.100000000000000000e+02,2.764067750011747677e-09,2.868617111256254618e-09
6.150000000000000000e+02,2.086153722121176783e-09,2.159888910803685765e-09
6.200000000000000000e+02,1.571046789028565539e-09,1.622548290618680618e-09
6.250000000000000000e+02,1.180531170516052649e-09,1.216104726986473647e-09
6.300000000000000000e+02,8.851394024485831579e-10,9.093921509769892902e-10
6.350000000000000000e+02,6.622044983493111836e-10,6.784815845977599008e-10
6.400000000000000000e+02,4.943325273723928397e-10,5.050464606768360662e-10
6.450000000000000000e+02,3.682080183438349347e-10,3.750859334529995610e-10
6.500000000000000000e+02,2.736621158675042985e-10,2.779304827311929172e-10
6.550000000000000000e+02,2.029475944249152634e-10,2.054694849905313111e-10
6.600000000000000000e+02,1.501762784060862292e-10,1.515528205813387432e-10
6.650000000000000000e+02,1.108836192690734888e-10,1.115285499544802168e-10
6.700000000000000000e+02,8.169256016937698767e-11,8.188667474795282088e-11
6.750000000000000000e+02,6.005471644310883826e-11,5.998537467849976640e-11
6.800000000000000000e+02,4.405159991604700194e-11,4.384118604314442266e-11
6.850000000000000000e+02,3.224234814262778185e-11,3.196861459128540876e-11
6.900000000000000000e+02,2.354737605481008224e-11,2.325786088746848042e-11
6.950000000000000000e+02,1.715970165422865010e-11,1.688184804928696677e-11
7.000000000000000000e+02,1.247753473492963879e-11,1.222571620316464435e-11
7.050000000000000000e+02,9.053159605266560752e-12,8.833495302610384898e-12
7.100000000000000000e+02,6.554271115532776872e-12,6.367876794119344717e-12
7.150000000000000000e+02,4.734803617914423432e-12,4.579946155263663547e-12
7.200000000000000000e+02,3.412977298881869835e-12,3.286469454397134936e-12
7.250000000000000000e+02,2.454817505472876950e-12,2.352893107016477006e-12
7.300000000000000000e+02,1.761813514867898561e-12,1.680652901321370714e-12
7.350000000000000000e+02,1.261700030493975079e-12,1.197724589865528032e-12
7.400000000000000000e+02,9.015883370755286618e-13,8.516063276158853217e-13
7.450000000000000000e+02,6.428608859705856146e-13,6.041206035415018967e-13
7.500000000000000000e+02,4.573859536451811103e-13,4.275738634417111222e-13
7.550000000000000000e+02,3.247179609468599424e-13,3.019265263328405237e-13
7.600000000000000000e+02,2.300318839660228085e-13,2.127129330623762594e-13
7.650000000000000000e+02,1.626030078264833645e-13,1.495164292999132370e-13
7.700000000000000000e+02,1.146907807388723421e-13,1.048542953447256578e-13
7.750000000000000000e+02,8.072135197744976585e-14,7.336445906326807199e-14
7.800000000000000000e+02,5.669032187844633669e-14,5.121383489177054396e-14
7.850000000000000000e+02,3.972744140526235686e-14,3.566899391419257551e-14
7.900000000000000000e+02,2.778011575538822197e-14,2.478542169571961394e-14
7.950000000000000000e+02,1.938384369736658426e-14,1.718318088747361214e-14
8.000000000000000000e+02,1.349611456143179347e-14,1.188536485540829649e-14
8.050000000000000000e+02,9.376510469519491118e-15,8.202062855663759480e-15
8.100000000000000000e+02,6.500368630013600560e-15,5.647226426874753889e-15
8.150000000000000000e+02,4.496759036890711349e-15,3.879258846369993494e-15
8.200000000000000000e+02,3.104036147190354099e-15,2.658665413940543541e-15
8.250000000000000000e+02,2.138060985522046154e-15,1.817941494920872755e-15
8.300000000000000000e+02,1.469535960519617896e-15,1.240216007180896489e-15
8.350000000000000000e+02,1.007877635294330465e-15,8.441427608580488803e-16
8.400000000000000000e+02,6.897687502462289222e-16,5.732387415493569877e-16
8.450000000000000000e+02,4.710510728583726427e-16,3.883793780133996264e-16
8.500000000000000000e+02,3.209976991793759651e-16,2.625292605050505766e-16
8.550000000000000000e+02,2.182759816439958916e-16,1.770517104223890146e-16
8.600000000000000000e+02,1.481087653035455709e-16,1.191306003896505872e-16
8.650000000000000000e+02,1.002829337818285420e-16,7.997371358026580853e-17
8.700000000000000000e+02,6.775563797592986638e-17,5.356385943076435251e-17
8.750000000000000000e+02,4.568111238065301215e-17,3.579291473600588349e-17
