x, ell
0.000000000000000000e+00,8.656093983311798468e+00
5.000000000000000000e+00,8.827296154755948976e+00
1.000000000000000000e+01,9.003461892464697414e+00
1.500000000000000000e+01,9.184758452738245538e+00
2.000000000000000000e+01,9.371359508350405321e+00
2.500000000000000000e+01,9.563445419849372797e+00
3.000000000000000000e+01,9.761203519322421585e+00
3.500000000000000000e+01,9.964828407239075148e+00
4.000000000000000000e+01,1.017452226301938367e+01
4.500000000000000000e+01,1.039049517000794864e+01
5.000000000000000000e+01,1.061296545557036808e+01
5.500000000000000000e+01,1.084216004706653003e+01
6.000000000000000000e+01,1.107831484449542181e+01
6.500000000000000000e+01,1.132167511064816345e+01
7.000000000000000000e+01,1.157249587965085347e+01
7.500000000000000000e+01,1.183104238482591697e+01
8.000000000000000000e+01,1.209759050685030424e+01
8.500000000000000000e+01,1.237242724324194931e+01
9.000000000000000000e+01,1.265585120026112520e+01
9.500000000000000000e+01,1.294817310837250268e+01
1.000000000000000000e+02,1.324971636247564000e+01
1.050000000000000000e+02,1.356081758817761518e+01
1.100000000000000000e+02,1.388182723545087427e+01
1.150000000000000000e+02,1.421311020109296308e+01
1.200000000000000000e+02,1.455504648148261815e+01
1.250000000000000000e+02,1.490803185720890411e+01
1.300000000000000000e+02,1.527247861123719908e+01
1.350000000000000000e+02,1.564881628236794064e+01
1.400000000000000000e+02,1.603749245584152661e+01
1.450000000000000000e+02,1.643897359304602546e+01
1.500000000000000000e+02,1.685374590239360160e+01
1.550000000000000000e+02,1.728231625354713685e+01
1.600000000000000000e+02,1.772521313730137749e+01
1.650000000000000000e+02,1.818298767355227596e+01
1.700000000000000000e+02,1.865621466992609001e+01
1.750000000000000000e+02,1.914549373378506658e+01
1.800000000000000000e+02,1.965145044048128753e+01
1.850000000000000000e+02,2.017473756089338011e+01
1.900000000000000000e+02,2.071603635145458711e+01
1.950000000000000000e+02,2.127605791006419267e+01
2.000000000000000000e+02,2.185554460146931177e+01
2.050000000000000000e+02,2.245527155591077317e+01
2.100000000000000000e+02,2.307604824504583263e+01
2.150000000000000000e+02,2.371872013939323409e+01
2.200000000000000000e+02,2.438417045179248177e+01
2.250000000000000000e+02,2.507332197163139753e+01
2.300000000000000000e+02,2.578713899487329897e+01
2.350000000000000000e+02,2.652662935521052034e+01
2.400000000000000000e+02,2.729284656198364445e+01
2.450000000000000000e+02,2.808689205083843632e+01
2.500000000000000000e+02,2.890991755344515823e+01
2.550000000000000000e+02,2.976312759298019728e+01
2.600000000000000000e+02,3.064778211246774475e+01
2.650000000000000000e+02,3.156519924350248374e+01
2.700000000000000000e+02,3.251675822332402532e+01
2.750000000000000000e+02,3.350390246869125832e+01
2.800000000000000000e+02,3.452814281551277986e+01
2.850000000000000000e+02,3.559106093372955115e+01
2.900000000000000000e+02,3.669431292751964691e+01
2.950000000000000000e+02,3.783963313150604790e+01
3.000000000000000000e+02,3.902883811429680350e+01
3.050000000000000000e+02,4.026383090137871790e+01
3.100000000000000000e+02,4.154660543011928553e+01
3.150000000000000000e+02,4.287925125041493857e+01
3.200000000000000000e+02,4.426395848535486266e+01
3.250000000000000000e+02,4.570302306715587548e+01
3.300000000000000000e+02,4.719885226456732852e+01
3.350000000000000000e+02,4.875397051894862699e+01
3.400000000000000000e+02,5.037102560729181278e+01
3.450000000000000000e+02,5.205279515160078319e+01
3.500000000000000000e+02,5.380219349525194161e+01
3.550000000000000000e+02,5.562227896825398687e+01
3.600000000000000000e+02,5.751626156470290141e+01
3.650000000000000000e+02,5.948751105719547638e+01
3.700000000000000000e+02,6.153956557453137322e+01
3.750000000000000000e+02,6.367614067070078931e+01
3.800000000000000000e+02,6.590113891493592746e+01
3.850000000000000000e+02,6.821866003450040239e+01
3.900000000000000000e+02,7.063301164391585019e+01
3.950000000000000000e+02,7.314872059648332936e+01
4.000000000000000000e+02,7.577054499626139261e+01
4.050000000000000000e+02,7.850348691111938138e+01
4.100000000000000000e+02,8.135280583010991506e+01
4.150000000000000000e+02,8.432403291120235167e+01
4.200000000000000000e+02,8.742298606840965647e+01
4.250000000000000000e+02,9.065578595053169408e+01
4.300000000000000000e+02,9.402887286714577897e+01
4.350000000000000000e+02,9.754902472111481870e+01
4.400000000000000000e+02,1.012233760107695133e+02
4.450000000000000000e+02,1.050594379690738833e+02
4.500000000000000000e+02,1.090651199115176695e+02
4.550000000000000000e+02,1.132487518692193333e+02
4.600000000000000000e+02,1.176191085887851244e+02
4.650000000000000000e+02,1.221854349858815141e+02
4.700000000000000000e+02,1.269574731452604937e+02
