x, screening_profile, B_max, B_min
0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02
5.000000000000000000e+00,9.180174926490236942e+01,9.042799996700223630e+01,8.321936745175869987e+01
1.000000000000000000e+01,8.420348883810524399e+01,8.177223178032156170e+01,6.925463119070833784e+01
1.500000000000000000e+01,7.705138036441306326e+01,7.394499372732616393e+01,5.763326600795585364e+01
2.000000000000000000e+01,7.023142479633209234e+01,6.686697890334632177e+01,4.796203941361032719e+01
2.500000000000000000e+01,6.366452816529717040e+01,6.046647166065339718e+01,3.991370581696970277e+01
3.000000000000000000e+01,5.730629161288258899e+01,5.467862097334307236e+01,3.321593350743800244e+01
3.500000000000000000e+01,5.114747484595564231e+01,4.944478335573194983e+01,2.764208975808666935e+01
4.000000000000000000e+01,4.521299172227421082e+01,4.471192867660560921e+01,2.300357224712710291e+01
4.500000000000000000e+01,3.955673397476932251e+01,4.043210284892698780e+01,1.914342731536748232e+01
5.000000000000000000e+01,3.425036407197040234e+01,3.656194195088600196e+01,1.593103912043601333e+01
5.500000000000000000e+01,2.936699652535250138e+01,3.306223285528257350e+01,1.325770998451906912e+01
6.000000000000000000e+01,2.496418741184630363e+01,2.989751591546512799e+01,1.103298238770542206e+01
6.500000000000000000e+01,2.107207069891243734e+01,2.703572568217129657e+01,9.181578154112399304e+00
7.000000000000000000e+01,1.769015781943297227e+01,2.444786601095266931e+01,7.640851261941199013e+00
7.500000000000000000e+01,1.479199519213409886e+01,2.210771626831703429e+01,6.358668088117186201e+00
8.000000000000000000e+01,1.233314130312359502e+01,1.999156565981867573e+01,5.291643361287961866e+00
8.500000000000000000e+01,1.026687044247915992e+01,1.807797298826406163e+01,4.403672133066823591e+00
9.000000000000000000e+01,8.544024643293859356e+00,1.634754940786210042e+01,3.664708093787579557e+00
9.500000000000000000e+01,7.110283266376275613e+00,1.478276197314720974e+01,3.049746894603426739e+00
1.000000000000000000e+02,5.917132761056770995e+00,1.336775599219957833e+01,2.537980074568626510e+00
1.050000000000000000e+02,4.924200457320917046e+00,1.208819438421517667e+01,2.112090964107684155e+00
1.100000000000000000e+02,4.097888474543707638e+00,1.093111241376926657e+01,1.757668740336166158e+00
1.150000000000000000e+02,3.410236868978819835e+00,9.884786329916247283e+00,1.462720807605052187e+00
1.200000000000000000e+02,2.837977552289880911e+00,8.938614579154904760e+00,1.217267003674180614e+00
1.250000000000000000e+02,2.361746968536244662e+00,8.083010388688654402e+00,1.013001900656630205e+00
1.300000000000000000e+02,1.965430888940449261e+00,7.309304631616166503e+00,8.430137740007405123e-01
1.350000000000000000e+02,1.635619154237929029e+00,6.609657989865958427e+00,7.015507302546146740e-01
1.400000000000000000e+02,1.361151914709251232e+00,5.976981524894949160e+00,5.838260800710840526e-01
1.450000000000000000e+02,1.132742014005020836e+00,5.404864851359733713e+00,4.858563708535543202e-01
1.500000000000000000e+02,9.426607393534236490e-01,4.887511186004096508e+00,4.043265985483987524e-01
1.550000000000000000e+02,7.844763048706026032e-01,4.419678613667015199e+00,3.364780377511891740e-01
1.600000000000000000e+02,6.528362190256733477e-01,3.996626975308412710e+00,2.800148946306296738e-01
1.650000000000000000e+02,5.432861722216537625e-01,3.614069839913093496e+00,2.330266240823185842e-01
1.700000000000000000e+02,4.521193161858703125e-01,3.268131073644049867e+00,1.939232825554930706e-01
1.750000000000000000e+02,3.762508352319734461e-01,2.955305566196432032e+00,1.613817290843680141e-01
1.800000000000000000e+02,3.131135652575372519e-01,2.672423716424924489e+00,1.343008541267219358e-01
1.850000000000000000e+02,2.605711285340813754e-01,2.416619317406890399e+00,1.117643212865671448e-01
1.900000000000000000e+02,2.168456450287579440e-01,2.185300515547272227e+00,9.300956121143245936e-02
1.950000000000000000e+02,1.804575742234921509e-01,1.976123549477986741e+00,7.740196850981044541e-02
2.000000000000000000e+02,1.501756518573773014e-01,1.786969002669877238e+00,6.441342858907370128e-02
2.050000000000000000e+02,1.249752276003511520e-01,1.615920329144656442e+00,5.360444782581742090e-02
2.100000000000000000e+02,1.040035939287471539e-01,1.461244434705713413e+00,4.460928240665326672e-02
2.150000000000000000e+02,8.655113303482664389e-02,1.321374116933504483e+00,3.712356264358552399e-02
2.200000000000000000e+02,7.202730546739000150e-02,1.194892186024605341e+00,3.089399400754925390e-02
2.250000000000000000e+02,5.994066803036741942e-02,1.080517105584042348e+00,2.570978639366671911e-02
2.300000000000000000e+02,4.988224480441477010e-02,9.770900078809912070e-01,2.139552161000776373e-02
2.350000000000000000e+02,4.151168861626568923e-02,8.835629520042048712e-01,1.780521774685279654e-02
2.400000000000000000e+02,3.454576470105633762e-02,7.989883059468062543e-01,1.481738958233917713e-02
2.450000000000000000e+02,2.874876687895398103e-02,7.225091450379296232e-01,1.233093788328545187e-02
2.500000000000000000e+02,2.392454195796595018e-02,6.533505694364870608e-01,1.026172850733945117e-02
2.550000000000000000e+02,1.990985249240364435e-02,5.908118527144359255e-01,8.539745553424689384e-03
2.600000000000000000e+02,1.656885331245745718e-02,5.342593419776552333e-01,7.106722231549715378e-03
2.650000000000000000e+02,1.378849492704553245e-02,4.831200375872604647e-01,5.914169287649180887e-03
2.700000000000000000e+02,1.147469826473838245e-02,4.368757874299890043e-01,4.921734271207831024e-03
2.750000000000000000e+02,9.549171317351511784e-03,3.950580369130312075e-01,4.095836128155581901e-03
2.800000000000000000e+02,7.946759970878226192e-03,3.572430814893554629e-01,3.408528917711679297e-03
2.850000000000000000e+02,6.613243383748150864e-03,3.230477736113121501e-01,2.836556204729935755e-03
2.900000000000000000e+02,5.503499314558430756e-03,2.921256406146387485e-01,2.360564130989865547e-03
2.950000000000000000e+02,4.579977319416101041e-03,2.641633741986105788e-01,1.964446538102870322e-03
3.000000000000000000e+02,3.811428156423582372e-03,2.388776559331517446e-01,1.634799982937180365e-03
3.050000000000000000e+02,3.171846404128156154e-03,2.160122866284061305e-01,1.360470204901780347e-03
3.100000000000000000e+02,2.639590515283643697e-03,1.953355904810558374e-01,1.132174698888906714e-03
3.150000000000000000e+02,2.196650531156633512e-03,1.766380676957527984e-01,9.421886228642016754e-04
3.200000000000000000e+02,1.828038678003890589e-03,1.597302717976286923e-01,7.840834121500262193e-04
3.250000000000000000e+02,1.521282225315396868e-03,1.444408901284522651e-01,6.525092558854177910e-04
3.300000000000000000e+02,1.266001445651928443e-03,1.306150080776945221e-01,5.430140753120221101e-04
3.350000000000000000e+02,1.053558395491332404e-03,1.181125394613975754e-01,4.518928786486812814e-04
3.400000000000000000e+02,8.767646328702908241e-04,1.068068071451780815e-01,3.760623951709760526e-04
3.450000000000000000e+02,7.296379818545143531e-04,9.658325952999775865e-02,3.129567464852193179e-04
3.500000000000000000e+02,6.072001134693215179e-04,8.733830989591613581e-02,2.604406248226035620e-04
3.550000000000000000e+02,5.053080938303893075e-04,7.897828684385933828e-02,2.167370405647786906e-04
3.600000000000000000e+02,4.205141995636374583e-04,7.141848520110405385e-02,1.803671941916704373e-04
3.650000000000000000e+02,3.499492570843360309e-04,6.458230777408786871e-02,1.501004380967933696e-04
3.700000000000000000e+02,2.912255582830701548e-04,5.840048925264144930e-02,1.249126351264700249e-04
3.750000000000000000e+02,2.423560675736670346e-04,5.281039440210774649e-02,1.039515048195716783e-04
3.800000000000000000e+02,2.016871865095034612e-04,4.775538343251174017e-02,8.650778476743199090e-05
3.850000000000000000e+02,1.678428009224681820e-04,4.318423811459350115e-02,7.199123127998575912e-05
3.900000000000000000e+02,1.396777173059125549e-04,3.905064282801477132e-02,5.991064729193688876e-05
3.950000000000000000e+02,1.162389128670620735e-04,3.531271528363139067e-02,4.985726171260406955e-05
4.000000000000000000e+02,9.673328806573006653e-05,3.193258216502975477e-02,4.149089782599697676e-05
4.050000000000000000e+02,8.050083048100360587e-05,2.887599538965606241e-02,3.452846272085017388e-05
4.100000000000000000e+02,6.699228195084068417e-05,2.611198510142974730e-02,2.873436826710782125e-05
4.150000000000000000e+02,5.575055330690028351e-05,2.361254587890456239e-02,2.391255951314600006e-05
4.200000000000000000e+02,4.639525783442170596e-05,2.135235297958420347e-02,1.989988076836544766e-05
4.250000000000000000e+02,3.860984011536348892e-05,1.930850574533260131e-02,1.656055489908789859e-05
4.300000000000000000e+02,3.213086473307478368e-05,1.746029556901798618e-02,1.378158903352218293e-05
4.350000000000000000e+02,2.673910240007294791e-05,1.578899607139007746e-02,1.146895121849810416e-05
4.400000000000000000e+02,2.225211188996115304e-05,1.427767336222660229e-02,9.544388657384891223e-06
4.450000000000000000e+02,1.851806676809015262e-05,1.291101446328295731e-02,7.942779867813124018e-06
4.500000000000000000e+02,1.541061803586156611e-05,1.167517215459716422e-02,6.609931164079704096e-06
4.550000000000000000e+02,1.282461885581130711e-05,1.055762467210657682e-02,5.500742903743808434e-06
4.600000000000000000e+02,1.067256669486557766e-05,9.547048835008755535e-03,4.577683449643092630e-06
4.650000000000000000e+02,8.881642498462246648e-06,8.633205317371403162e-03,3.809519210736834095e-06
4.700000000000000000e+02,7.391246709982190170e-06,7.806834901543846864e-03,3.170257790128418180e-06
4.750000000000000000e+02,6.150948761704965203e-06,7.059564662191987819e-03,2.638268479534977024e-06
4.800000000000000000e+02,5.118780654151781883e-06,6.383823130397471741e-03,2.195550340348135258e-06
4.850000000000000000e+02,4.259816883608002585e-06,5.772763578249306277e-03,1.827123105322656349e-06
4.900000000000000000e+02,3.544992666789454418e-06,5.220194646634399721e-03,1.520520290814442725e-06
4.950000000000000000e+02,2.950120474884583905e-06,4.720517613336006578e-03,1.265367367991422934e-06
5.000000000000000000e+02,2.455071599404847447e-06,4.268669665829818473e-03,1.053030719583431703e-06
5.050000000000000000e+02,2.043095056462086790e-06,3.860072604008021966e-03,8.763255039100328808e-07
5.100000000000000000e+02,1.700250783216149814e-06,3.490586453078642262e-03,7.292725411723674700e-07
5.150000000000000000e+02,1.414937947543693197e-06,3.156467516638138994e-03,6.068959957630095474e-07
5.200000000000000000e+02,1.177502410328042953e-06,2.854330444903972579e-03,5.050550087640296421e-07
5.250000000000000000e+02,9.799100580596556733e-07,2.581113933775898515e-03,4.203035835768490236e-07
5.300000000000000000e+02,8.154749522924267424e-07,2.334049707183159621e-03,3.497739836297282696e-07
5.350000000000000000e+02,6.786330973407063444e-07,2.110634468441402976e-03,2.910796966874772903e-07
5.400000000000000000e+02,5.647541711877025681e-07,1.908604536425729517e-03,2.422346823638168068e-07
5.450000000000000000e+02,4.699848491382703375e-07,1.725912909569261725e-03,2.015861704119448097e-07
5.500000000000000000e+02,3.911184187537568879e-07,1.560708525295779157e-03,1.677587358870450947e-07
5.550000000000000000e+02,3.254862742254786039e-07,1.411317504739468143e-03,1.396077588502651827e-07
5.600000000000000000e+02,2.708676186786356286e-07,1.276226192720102777e-03,1.161806938287675267e-07
5.650000000000000000e+02,2.254143190007721517e-07,1.154065821131808507e-03,9.668483850536493960e-08
5.700000000000000000e+02,1.875883705053211860e-07,1.043598640352255561e-03,8.046051102591896460e-08
5.750000000000000000e+02,1.561098554201483957e-07,9.437053781533733931e-04,6.695872832422244435e-08
5.800000000000000000e+02,1.299136342708858782e-07,8.533738990451307039e-04,5.572263016515939082e-08
5.850000000000000000e+02,1.081133047240736354e-07,7.716889491469363684e-04,4.637202035092859523e-08
5.900000000000000000e+02,8.997120836438586349e-08,6.978228826799514435e-04,3.859050201064352287e-08
5.950000000000000000e+02,7.487347052434843614e-08,6.310272761195605262e-04,3.211477166971580776e-08
6.000000000000000000e+02,6.230922858850537483e-08,5.706253450411722349e-04,2.672570984211404870e-08
6.050000000000000000e+02,5.185334591952911611e-08,5.160050868255375810e-04,2.224096667759976512e-08
6.100000000000000000e+02,4.315202649686557945e-08,4.666130797443269183e-04,1.850879178425491844e-08
6.150000000000000000e+02,3.591084351000333784e-08,4.219488755972280298e-04,1.540289944582004880e-08
6.200000000000000000e+02,2.988477682951255447e-08,3.815599290858276513e-04,1.281819548804186561e-08
6.250000000000000000e+02,2.486992225345749540e-08,3.450370125478259206e-04,1.066722120387833047e-08
6.300000000000000000e+02,2.069659199470086489e-08,3.120100695928934489e-04,8.877194010547409420e-09
6.350000000000000000e+02,1.722357295007855364e-08,2.821444656285053854e-04,7.387544703042975126e-09
6.400000000000000000e+02,1.433334846832383010e-08,2.551375972854434421e-04,6.147867972088278298e-09
6.450000000000000000e+02,1.192812193555665987e-08,2.307158263890910443e-04,5.116216838141119945e-09
6.500000000000000000e+02,9.926507628279108504e-09,2.086317074109961570e-04,4.257683290161416127e-09
6.550000000000000000e+02,8.260776862168797418e-09,1.886614803087718016e-04,3.543217102171551352e-09
6.600000000000000000e+02,6.874566254523190903e-09,1.706028033513620540e-04,2.948642859869703943e-09
6.650000000000000000e+02,5.720970554761192167e-09,1.542727029582745735e-04,2.453841936395010649e-09
6.700000000000000000e+02,4.760955510029609885e-09,1.395057197802019667e-04,2.042071737733918092e-09
6.750000000000000000e+02,3.962037061999648161e-09,1.261522322368072396e-04,1.699399183053300256e-09
6.800000000000000000e+02,3.297182182795151417e-09,1.140769405254726316e-04,1.414229250617313264e-09
6.850000000000000000e+02,2.743894157604422541e-09,1.031574957407315347e-04,1.176912636681473181e-09
6.900000000000000000e+02,2.283451362655464697e-09,9.328326021438903886e-05,9.794192517061384753e-10
6.950000000000000000e+02,1.900273781061795483e-09,8.435418651588647487e-05,8.150665059705951206e-10
7.000000000000000000e+02,1.581395821316193175e-09,7.627980375475081770e-05,6.782931905798814080e-10
7.050000000000000000e+02,1.316027600175692246e-09,6.897830091417542946e-05,5.644713026689303168e-10
7.100000000000000000e+02,1.095189845053426822e-09,6.237569792790925727e-05,4.697494475277852303e-10
7.150000000000000000e+02,9.114100620984300532e-10,5.640509610166719842e-05,3.909225188407545417e-10
7.200000000000000000e+02,7.584696891934457898e-10,5.100600028420318184e-05,3.253232474057575144e-10
7.250000000000000000e+02,6.311936782790316313e-10,4.612370592016840846e-05,2.707319486645918188e-10
7.300000000000000000e+02,5.252753870946421547e-10,4.170874477427008930e-05,2.253014151684929517e-10
7.350000000000000000e+02,4.371308551931969270e-10,3.771638371071400287e-05,1.874944125630808464e-10
7.400000000000000000e+02,3.637775333621971617e-10,3.410617144947889016e-05,1.560316641423863800e-10
7.450000000000000000e+02,3.027333630151177667e-10,3.084152870708049469e-05,1.298485639237467374e-10
7.500000000000000000e+02,2.519327906993647137e-10,2.788937756906173304e-05,1.080591535425343562e-10
7.550000000000000000e+02,2.096568759011436281e-10,2.521980633894826889e-05,8.992614405182193828e-11
7.600000000000000000e+02,1.744751272029032032e-10,2.280576646786216673e-05,7.483596825368340381e-11
7.650000000000000000e+02,1.451970987016396099e-10,2.062279849403300292e-05,6.227801940711436485e-11
7.700000000000000000e+02,1.208321088545931065e-10,1.864878421537909901e-05,5.182737381208399692e-11
7.750000000000000000e+02,1.005557187576908071e-10,1.686372258412932899e-05,4.313041265327480936e-11
7.800000000000000000e+02,8.368183558122146396e-11,1.524952705281181728e-05,3.589285658938864867e-11
7.850000000000000000e+02,6.963949722584528275e-11,1.378984231828468954e-05,2.986980821405606215e-11
7.900000000000000000e+02,5.795355266063620325e-11,1.246987860702813741e-05,2.485746545479095670e-11
7.950000000000000000e+02,4.822858422316635109e-11,1.127626182264862282e-05,2.068622551601642741e-11
8.000000000000000000e+02,4.013552786001058976e-11,1.019689803726376280e-05,1.721494602407320470e-11
8.050000000000000000e+02,3.340053857634127392e-11,9.220850953772125961e-06,1.432616918839537583e-11
8.100000000000000000e+02,2.779572433449171648e-11,8.338231097434381891e-06,1.192214737865140357e-11
8.150000000000000000e+02,2.313143486413181661e-11,7.540095614036532105e-06,9.921535635180110232e-12
8.200000000000000000e+02,1.924984446029053116e-11,6.818357659372891487e-06,8.256639197097729574e-12
8.250000000000000000e+02,1.601961163016642911e-11,6.165704461967813159e-06,6.871122912598684478e-12
