x, screening_profile, B_max, B_min
0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02
5.000000000000000000e+00,9.263593079511929318e+01,9.217743420975067181e+01,8.321936745175869987e+01
1.000000000000000000e+01,8.573291328736620187e+01,8.496679377492914398e+01,6.925463119070833784e+01
1.500000000000000000e+01,7.926772154091587197e+01,7.832021043201984867e+01,5.763326600795585364e+01
2.000000000000000000e+01,7.321799418853373709e+01,7.219356044391338401e+01,4.796203941361032719e+01
2.500000000000000000e+01,6.756221061479699586e+01,6.654617168186484832e+01,3.991370581696970277e+01
3.000000000000000000e+01,6.227966996816009271e+01,6.134055362115871191e+01,3.321593350743800244e+01
3.500000000000000000e+01,5.735047075637050540e+01,5.654214845804040834e+01,2.764208975808666935e+01
4.000000000000000000e+01,5.275549098218051114e+01,5.211910169568974993e+01,2.300357224712710291e+01
4.500000000000000000e+01,4.847636877620959694e+01,4.804205067625748171e+01,1.914342731536748232e+01
5.000000000000000000e+01,4.449548348563330080e+01,4.428392965512231427e+01,1.593103912043601333e+01
5.500000000000000000e+01,4.079593717820147702e+01,4.081979012334264212e+01,1.325770998451906912e+01
6.000000000000000000e+01,3.736153652204552600e+01,3.762663518550247232e+01,1.103298238770542206e+01
6.500000000000000000e+01,3.417677500347380004e+01,3.468326689345943947e+01,9.181578154112399304e+00
7.000000000000000000e+01,3.122681544630285799e+01,3.197014552251081199e+01,7.640851261941199013e+00
7.500000000000000000e+01,2.849747279799999689e+01,2.946925985577395579e+01,6.358668088117186201e+00
8.000000000000000000e+01,2.597519714955727821e+01,2.716400761565650512e+01,5.291643361287961866e+00
8.500000000000000000e+01,2.364705695831043286e+01,2.503908524865344276e+01,4.403672133066823591e+00
9.000000000000000000e+01,2.150072244487654771e+01,2.308038633180091637e+01,3.664708093787579557e+00
9.500000000000000000e+01,1.952444913761246070e+01,2.127490792635207839e+01,3.049746894603426739e+00
1.000000000000000000e+02,1.770706154077069527e+01,1.961066425699821636e+01,2.537980074568626510e+00
1.050000000000000000e+02,1.603793690488296164e+01,1.807660714358962295e+01,2.112090964107684155e+00
