x, current_density, J_max, J_min
0.000000000000000000e+00,1.574151299742946777e+11,1.734482705171506042e+11,2.923518477048280640e+11
4.000000000000000000e+00,1.461421722424984436e+11,1.589667073108867798e+11,2.523976873735579834e+11
8.000000000000000000e+00,1.360397574678705292e+11,1.456942404667355652e+11,2.179038480230143738e+11
1.200000000000000000e+01,1.269593601118517151e+11,1.335299199703890381e+11,1.881240968462666321e+11
1.600000000000000000e+01,1.187621982361015778e+11,1.223812243378930511e+11,1.624141846750941467e+11
2.000000000000000000e+01,1.113195130537904663e+11,1.121633568998091888e+11,1.402179084226076660e+11
2.400000000000000000e+01,1.045125680859755554e+11,1.027986008401014252e+11,1.210550782971468201e+11
2.800000000000000000e+01,9.823257440977502441e+10,9.421572808419110107e+10,1.045111294725717010e+11
3.200000000000000000e+01,9.238072089007749939e+10,8.634945754019931030e+10,9.022815347590487671e+10
3.600000000000000000e+01,8.686844302863616943e+10,7.913995857277464294e+10,7.789715526716250610e+10
4.000000000000000000e+01,8.161800563888772583e+10,7.253239593294184875e+10,6.725136850259112549e+10
4.400000000000000000e+01,7.656339892174696350e+10,6.647651268272061157e+10,5.806048436505438995e+10
4.800000000000000000e+01,7.165145447117565918e+10,6.092624794225076294e+10,5.012566910924414825e+10
5.200000000000000000e+01,6.684298502632553101e+10,5.583938655201878357e+10,4.327526253228630066e+10
5.600000000000000000e+01,6.211365892654554749e+10,5.117723798552673340e+10,3.736106431131771851e+10
6.000000000000000000e+01,5.745426748303127289e+10,4.690434207022194672e+10,3.225512786740505981e+10
6.400000000000000000e+01,5.287006464918980408e+10,4.298819927840911865e+10,2.784699239490045547e+10
6.800000000000000000e+01,4.837897544721517944e+10,3.939902353674504089e+10,2.404129317451157379e+10
7.200000000000000000e+01,4.400867566185562897e+10,3.610951567419166565e+10,2.075569847207849503e+10
7.600000000000000000e+01,3.979279478957247925e+10,3.309465578527928162e+10,1.791912839033850098e+10
8.000000000000000000e+01,3.576671228009144592e+10,3.033151292940008926e+10,1.547021714067522812e+10
8.400000000000000000e+01,3.196352814677898788e+10,2.779907071871062469e+10,1.335598546794722366e+10
8.800000000000000000e+01,2.841075197780413818e+10,2.547806746806939316e+10,1.153069450790085030e+10
9.200000000000000000e+01,2.512808353303559494e+10,2.335084969119443130e+10,9.954856281748403549e+09
9.600000000000000000e+01,2.212641575652688599e+10,2.140123782873678970e+10,8.594379421149587631e+09
1.000000000000000000e+02,1.940795685222793579e+10,1.961440318700139236e+10,7.419831642381752968e+09
1.040000000000000000e+02,1.696720436410564232e+10,1.797675515131448746e+10,6.405803014212914467e+09
1.080000000000000000e+02,1.479243611811671829e+10,1.647583781618574715e+10,5.530356244542406082e+09
1.120000000000000000e+02,1.286739961353440475e+10,1.510023524603700829e+10,4.774552093420431137e+09
1.160000000000000000e+02,1.117298919674468231e+10,1.383948464591317940e+10,4.122039645326980114e+09
1.200000000000000000e+02,9.649204023892816544e+09,1.268399678175432587e+10,3.558702576742664337e+09
1.240000000000000000e+02,8.330499022442211151e+09,1.162498304494765282e+10,3.072353766435037136e+09
1.280000000000000000e+02,7.192014366298143387e+09,1.065438860641441345e+10,2.652471641720489025e+09
1.320000000000000000e+02,6.209120306722933769e+09,9.764831151803579330e+09,2.289972556869665146e+09
1.360000000000000000e+02,5.360553110653697968e+09,8.949544731813852310e+09,1.977014279336369991e+09
1.400000000000000000e+02,4.627955045603987694e+09,8.202328300571126938e+09,1.706826332470483303e+09
1.440000000000000000e+02,3.995477231860391140e+09,7.517498550645762444e+09,1.473563524383113146e+09
1.480000000000000000e+02,3.449436771382637501e+09,6.889846685974047661e+09,1.272179494236817122e+09
1.520000000000000000e+02,2.978020734246473312e+09,6.314598803899981499e+09,1.098317540286688089e+09
1.560000000000000000e+02,2.571030600479481220e+09,5.787379585004203796e+09,9.482163678680133820e+08
1.600000000000000000e+02,2.219661627104996681e+09,5.304179014545980453e+09,8.186287183013732433e+08
1.640000000000000000e+02,1.916312368272858858e+09,4.861321882402420044e+09,7.067511183492141962e+08
1.680000000000000000e+02,1.654420226891196251e+09,4.455439829522318840e+09,6.101632304377310276e+08
1.720000000000000000e+02,1.428319480942678213e+09,4.083445728280745029e+09,5.267754915588970780e+08
