x, lambda_eff
0.000000000000000000e+00,5.208730063712138758e+01
5.000000000000000000e+00,5.135390319495663647e+01
1.000000000000000000e+01,5.062756967107608830e+01
1.500000000000000000e+01,4.990863432937280209e+01
2.000000000000000000e+01,4.919743150120213926e+01
2.500000000000000000e+01,4.849429511215136301e+01
3.000000000000000000e+01,4.779955816112798317e+01
3.500000000000000000e+01,4.711355214955580806e+01
4.000000000000000000e+01,4.643660645883159788e+01
4.500000000000000000e+01,4.576904767462625756e+01
5.000000000000000000e+01,4.511119885711560329e+01
5.500000000000000000e+01,4.446337875679984819e+01
6.000000000000000000e+01,4.382590097621925906e+01
6.500000000000000000e+01,4.319907307859578793e+01
7.000000000000000000e+01,4.258319564522750511e+01
7.500000000000000000e+01,4.197856128433001999e+01
8.000000000000000000e+01,4.138545359495290654e+01
8.500000000000000000e+01,4.080414609059167219e+01
9.000000000000000000e+01,4.023490108815762056e+01
9.500000000000000000e+01,3.967796856904479341e+01
1.000000000000000000e+02,3.913358502012903273e+01
1.050000000000000000e+02,3.860197226362963363e+01
1.100000000000000000e+02,3.808333628583336861e+01
1.150000000000000000e+02,3.757786607569990167e+01
1.200000000000000000e+02,3.708573248530331767e+01
1.250000000000000000e+02,3.660708712488779071e+01
1.300000000000000000e+02,3.614206130598911670e+01
1.350000000000000000e+02,3.569076504656607796e+01
1.400000000000000000e+02,3.525328615236088581e+01
1.450000000000000000e+02,3.482968938873584364e+01
1.500000000000000000e+02,3.442001575698610338e+01
1.550000000000000000e+02,3.402428188858407054e+01
1.600000000000000000e+02,3.364247956995559719e+01
1.650000000000000000e+02,3.327457540921520263e+01
1.700000000000000000e+02,3.292051065480279703e+01
1.750000000000000000e+02,3.258020117418217865e+01
1.800000000000000000e+02,3.225353759871025261e+01
1.850000000000000000e+02,3.194038563850266854e+01
1.900000000000000000e+02,3.164058656865668340e+01
1.950000000000000000e+02,3.135395788560273189e+01
2.000000000000000000e+02,3.108029412970863703e+01
2.050000000000000000e+02,3.081936786762472025e+01
2.100000000000000000e+02,3.057093082530629857e+01
2.150000000000000000e+02,3.033471516025387871e+01
2.200000000000000000e+02,3.011043485933700126e+01
2.250000000000000000e+02,2.989778724667540999e+01
2.300000000000000000e+02,2.969645458449132391e+01
2.350000000000000000e+02,2.950610574865611468e+01
2.400000000000000000e+02,2.932639795986063547e+01
2.450000000000000000e+02,2.915697855094984448e+01
2.500000000000000000e+02,2.899748675097812978e+01
2.550000000000000000e+02,2.884755546694426442e+01
2.600000000000000000e+02,2.870681304492758912e+01
2.650000000000000000e+02,2.857488499343033439e+01
2.700000000000000000e+02,2.845139565309013818e+01
