x, ell
0.000000000000000000e+00,2.400169085638265543e+01
5.000000000000000000e+00,2.502361378033549855e+01
1.000000000000000000e+01,2.610756425634940570e+01
1.500000000000000000e+01,2.725816604250654507e+01
2.000000000000000000e+01,2.848044462664586973e+01
2.500000000000000000e+01,2.977986627904409289e+01
3.000000000000000000e+01,3.116238126835303035e+01
3.500000000000000000e+01,3.263447172334568336e+01
4.000000000000000000e+01,3.420320468318154639e+01
4.500000000000000000e+01,3.587629094703336818e+01
5.000000000000000000e+01,3.766215041114462281e+01
5.500000000000000000e+01,3.956998466899455735e+01
6.000000000000000000e+01,4.160985774971147322e+01
6.500000000000000000e+01,4.379278598289331370e+01
7.000000000000000000e+01,4.613083810652130978e+01
7.500000000000000000e+01,4.863724688093927995e+01
8.000000000000000000e+01,5.132653363851245842e+01
8.500000000000000000e+01,5.421464738856809618e+01
9.000000000000000000e+01,5.731912031401576968e+01
9.500000000000000000e+01,6.065924174364093346e+01
1.000000000000000000e+02,6.425625296708136602e+01
1.050000000000000000e+02,6.813356558328827361e+01
1.100000000000000000e+02,7.231700644403076694e+01
1.150000000000000000e+02,7.683509267892404182e+01
1.200000000000000000e+02,8.171934077588043976e+01
1.250000000000000000e+02,8.700461425049834929e+01
1.300000000000000000e+02,9.272951508098033457e+01
1.350000000000000000e+02,9.893682482482735452e+01
1.400000000000000000e+02,1.056740021850606581e+02
1.450000000000000000e+02,1.129937447748881709e+02
1.500000000000000000e+02,1.209546239613372052e+02
1.550000000000000000e+02,1.296218029746835327e+02
1.600000000000000000e+02,1.390678499798959535e+02
1.650000000000000000e+02,1.493736595519729633e+02
1.700000000000000000e+02,1.606294980178552407e+02
1.750000000000000000e+02,1.729361904691204188e+02
1.800000000000000000e+02,1.864064699653793866e+02
1.850000000000000000e+02,2.011665126009887388e+02
1.900000000000000000e+02,2.173576857711939851e+02
1.950000000000000000e+02,2.351385412349748094e+02
2.000000000000000000e+02,2.546870895329834923e+02
2.050000000000000000e+02,2.762033981006289878e+02
2.100000000000000000e+02,2.999125621608986876e+02
2.150000000000000000e+02,3.260681053569676919e+02
2.200000000000000000e+02,3.549558762897855217e+02
2.250000000000000000e+02,3.868985178958155302e+02
2.300000000000000000e+02,4.222605992135116253e+02
2.350000000000000000e+02,4.614545138743386019e+02
2.400000000000000000e+02,5.049472670072257756e+02
2.450000000000000000e+02,5.532682926302001079e+02
2.500000000000000000e+02,6.070184675735937390e+02
2.550000000000000000e+02,6.668805161952503795e+02
2.600000000000000000e+02,7.336310333955959777e+02
2.650000000000000000e+02,8.081543926569374889e+02
2.700000000000000000e+02,8.914588521364817097e+02
2.750000000000000000e+02,9.846952265746988360e+02
2.800000000000000000e+02,1.089178557541047212e+03
2.850000000000000000e+02,1.206413291245785786e+03
2.900000000000000000e+02,1.338122564099266356e+03
2.950000000000000000e+02,1.486282304158967463e+03
3.000000000000000000e+02,1.653160984885818152e+03
3.050000000000000000e+02,1.841366020223885016e+03
3.100000000000000000e+02,2.053897971723492446e+03
3.150000000000000000e+02,2.294213955035657818e+03
3.200000000000000000e+02,2.566301891598893235e+03
3.250000000000000000e+02,2.874767560153190971e+03
3.300000000000000000e+02,3.224936772049184583e+03
3.350000000000000000e+02,3.622975436518078823e+03
3.400000000000000000e+02,3.699999999999999545e+03
3.450000000000000000e+02,3.699999999999999545e+03
3.500000000000000000e+02,3.699999999999999545e+03
3.550000000000000000e+02,3.699999999999999545e+03
3.600000000000000000e+02,3.699999999999999545e+03
3.650000000000000000e+02,3.699999999999999545e+03
3.700000000000000000e+02,3.699999999999999545e+03
3.750000000000000000e+02,3.699999999999999545e+03
3.800000000000000000e+02,3.699999999999999545e+03
3.850000000000000000e+02,3.699999999999999545e+03
3.900000000000000000e+02,3.699999999999999545e+03
3.950000000000000000e+02,3.699999999999999545e+03
4.000000000000000000e+02,3.699999999999999545e+03
4.050000000000000000e+02,3.699999999999999545e+03
4.100000000000000000e+02,3.699999999999999545e+03
4.150000000000000000e+02,3.699999999999999545e+03
4.200000000000000000e+02,3.699999999999999545e+03
4.250000000000000000e+02,3.699999999999999545e+03
4.300000000000000000e+02,3.699999999999999545e+03
4.350000000000000000e+02,3.699999999999999545e+03
4.400000000000000000e+02,3.699999999999999545e+03
4.450000000000000000e+02,3.699999999999999545e+03
4.500000000000000000e+02,3.699999999999999545e+03
4.550000000000000000e+02,3.699999999999999545e+03
4.600000000000000000e+02,3.699999999999999545e+03
4.650000000000000000e+02,3.699999999999999545e+03
4.700000000000000000e+02,3.699999999999999545e+03
4.750000000000000000e+02,3.699999999999999545e+03
4.800000000000000000e+02,3.699999999999999545e+03
4.850000000000000000e+02,3.699999999999999545e+03
4.900000000000000000e+02,3.699999999999999545e+03
4.950000000000000000e+02,3.699999999999999545e+03
5.000000000000000000e+02,3.699999999999999545e+03
5.050000000000000000e+02,3.699999999999999545e+03
5.100000000000000000e+02,3.699999999999999545e+03
5.150000000000000000e+02,3.699999999999999545e+03
5.200000000000000000e+02,3.699999999999999545e+03
5.250000000000000000e+02,3.699999999999999545e+03
5.300000000000000000e+02,3.699999999999999545e+03
5.350000000000000000e+02,3.699999999999999545e+03
5.400000000000000000e+02,3.699999999999999545e+03
5.450000000000000000e+02,3.699999999999999545e+03
5.500000000000000000e+02,3.699999999999999545e+03
5.550000000000000000e+02,3.699999999999999545e+03
5.600000000000000000e+02,3.699999999999999545e+03
5.650000000000000000e+02,3.699999999999999545e+03
5.700000000000000000e+02,3.699999999999999545e+03
5.750000000000000000e+02,3.699999999999999545e+03
5.800000000000000000e+02,3.699999999999999545e+03
5.850000000000000000e+02,3.699999999999999545e+03
5.900000000000000000e+02,3.699999999999999545e+03
5.950000000000000000e+02,3.699999999999999545e+03
