x, current_density, J_max, J_min
0.000000000000000000e+00,1.581135290650600586e+11,1.740673601130555725e+11,2.923518477048280640e+11
5.000000000000000000e+00,1.442173195903810425e+11,1.560337926666578674e+11,2.432933583934868469e+11
1.000000000000000000e+01,1.320373677160327911e+11,1.398685223819598389e+11,2.024671939072000122e+11
1.500000000000000000e+01,1.213042259386327515e+11,1.253779916450955048e+11,1.684919180668975525e+11
2.000000000000000000e+01,1.117711006506506042e+11,1.123886956210896149e+11,1.402179084226076660e+11
2.500000000000000000e+01,1.032144759550090485e+11,1.007451047641983032e+11,1.166884564433803711e+11
3.000000000000000000e+01,9.543427872089271545e+10,9.030780255843394470e+10,9.710739534140209961e+10
3.500000000000000000e+01,8.825430986038751221e+10,8.095181619019271851e+10,8.081216015199342346e+10
4.000000000000000000e+01,8.152343767651260376e+10,7.256512016500990295e+10,6.725136850259112549e+10
4.500000000000000000e+01,7.511770938003346252e+10,6.504729495124364471e+10,5.596616347050759888e+10
5.000000000000000000e+01,6.894310074779450989e+10,5.830832458972900391e+10,4.657468722717367554e+10
5.500000000000000000e+01,6.293813447340451050e+10,5.226751887237694550e+10,3.875916010308897400e+10
6.000000000000000000e+01,5.707518796856608582e+10,4.685254718424033356e+10,3.225512786740505981e+10
6.500000000000000000e+01,5.135919382387096405e+10,4.199857244059075165e+10,2.684251338201044464e+10
7.000000000000000000e+01,4.582281294871775055e+10,3.764747474905400085e+10,2.233816984466276932e+10
7.500000000000000000e+01,4.051806089322524261e+10,3.374715550119118118e+10,1.858968364502785873e+10
8.000000000000000000e+01,3.550552416171252441e+10,3.025091356094728088e+10,1.547021714067522812e+10
8.500000000000000000e+01,3.084321060060728836e+10,2.711688608065361404e+10,1.287421684788347435e+10
9.000000000000000000e+01,2.657727235706946945e+10,2.430754724909933472e+10,1.071384182517637253e+10
9.500000000000000000e+01,2.273621285932672501e+10,2.178925896984683228e+10,8.915991396693733215e+09
1.000000000000000000e+02,1.932906824862539291e+10,1.953186808976140213e+10,7.419831642381752968e+09
1.050000000000000000e+02,1.634697341023493767e+10,1.750834535510232925e+10,6.174736958775531769e+09
1.100000000000000000e+02,1.376688838088473511e+10,1.569446177215495110e+10,5.138577038902958870e+09
1.150000000000000000e+02,1.155619374553934860e+10,1.406849849725238800e+10,4.276291307796353340e+09
1.200000000000000000e+02,9.654722366538309097e+09,1.261098678250606346e+10,3.558702576742664337e+09
1.250000000000000000e+02,8.034598886324009895e+09,1.130447486344068336e+10,2.961529773854685307e+09
1.300000000000000000e+02,6.686342373576734543e+09,1.013331899732333946e+10,2.464566344697368622e+09
1.350000000000000000e+02,5.564331831541264534e+09,9.083496150148515701e+09,2.050996522486080170e+09
1.400000000000000000e+02,4.630601755283569336e+09,8.142436089454741478e+09,1.706826332470483303e+09
1.450000000000000000e+02,3.853557491670478344e+09,7.298870872507719994e+09,1.420410077381987810e+09
1.500000000000000000e+02,3.206906170475641727e+09,6.542699927671042442e+09,1.182056281618326426e+09
1.550000000000000000e+02,2.668767031083296299e+09,5.864869113493331909e+09,9.836997604865504503e+08
1.600000000000000000e+02,2.220931043047062397e+09,5.257262307405257225e+09,8.186287183013732433e+08
1.650000000000000000e+02,1.848244766424009085e+09,4.712604225945179939e+09,6.812576411488422155e+08
1.700000000000000000e+02,1.538097604286855698e+09,4.224373312914936066e+09,5.669382996808384657e+08
1.750000000000000000e+02,1.279995097674307108e+09,3.786723652417212486e+09,4.718024668361498117e+08
1.800000000000000000e+02,1.065203824196354985e+09,3.394414971787008762e+09,3.926310285228374004e+08
1.850000000000000000e+02,8.864558849773938656e+08,3.042749896295398235e+09,3.267450583560395241e+08
1.900000000000000000e+02,7.377029805536190271e+08,2.727517704334055424e+09,2.719151707437758446e+08
1.950000000000000000e+02,6.139117543704773188e+08,2.444943909623746872e+09,2.262860850983400047e+08
2.000000000000000000e+02,5.108934789373826385e+08,2.191645066760718346e+09,1.883138486501869261e+08
2.050000000000000000e+02,4.251623217253021598e+08,1.964588258957555056e+09,1.567135936707477570e+08
2.100000000000000000e+02,3.538173949480822682e+08,1.761054782898047209e+09,1.304160613637156188e+08
2.150000000000000000e+02,2.944445981467128992e+08,1.578607595880524397e+09,1.085314213223816007e+08
2.200000000000000000e+02,2.450349321866548955e+08,1.415062135472454071e+09,9.031916231088910997e+07
2.250000000000000000e+02,2.039165206963265836e+08,1.268460162280512571e+09,7.516303556284913421e+07
2.300000000000000000e+02,1.696980387313188612e+08,1.137046312638069153e+09,6.255020275294347852e+07
2.350000000000000000e+02,1.412216344767645001e+08,1.019247080459684134e+09,5.205388307079210877e+07
2.400000000000000000e+02,1.175237509714893103e+08,9.136519765983073711e+08,4.331891222559129447e+07
2.450000000000000000e+02,9.780252220939116180e+07,8.189966401135190725e+08,3.604972474111963809e+07
2.500000000000000000e+02,8.139064037267515063e+07,7.341476992307046652e+08,3.000035289765995741e+07
2.550000000000000000e+02,6.773277611464686692e+07,6.580892007213009596e+08,2.496610391472797468e+07
2.600000000000000000e+02,5.636678786633573472e+07,5.899104452139760256e+08,2.077663375518538430e+07
2.650000000000000000e+02,4.690808433698551357e+07,5.287950827807703614e+08,1.729018318883384764e+07
2.700000000000000000e+02,3.903661108707547188e+07,4.740113382323562503e+08,1.438878108099784888e+07
2.750000000000000000e+02,3.248602083642074838e+07,4.249032490833133459e+08,1.197425259962473437e+07
2.800000000000000000e+02,2.703466106287053600e+07,3.808828112737166882e+08,9.964897270483473316e+06
2.850000000000000000e+02,2.249807393969333544e+07,3.414229386024878025e+08,8.292724475713913329e+06
2.900000000000000000e+02,1.872275483018102497e+07,3.060511515710976124e+08,6.901152853206289932e+06
2.950000000000000000e+02,1.558095814646168984e+07,2.743439200699110627e+08,5.743095751317271031e+06
3.000000000000000000e+02,1.296637481845046207e+07,2.459215921683644056e+08,4.779367956395060755e+06
3.050000000000000000e+02,1.079053511034395173e+07,2.204438482879877090e+08,3.977359781504015438e+06
3.100000000000000000e+02,8.979815067637711763e+06,1.976056263280355930e+08,3.309933651448292192e+06
3.150000000000000000e+02,7.472945301102489233e+06,1.771334689525242150e+08,2.754505847808167804e+06
3.200000000000000000e+02,6.218937812489396892e+06,1.587822493022978604e+08,2.292282342967663892e+06
3.250000000000000000e+02,5.175360712165408768e+06,1.423322359268783033e+08,1.907622866026043426e+06
3.300000000000000000e+02,4.306902450018199161e+06,1.275864617925612777e+08,1.587511682471983368e+06
3.350000000000000000e+02,3.584176977330126800e+06,1.143683658641286641e+08,1.321117180375956232e+06
3.400000000000000000e+02,2.982729410271201748e+06,1.025196790212564468e+08,1.099425360805380624e+06
3.450000000000000000e+02,2.482208549183620606e+06,9.189852899627710879e+07,9.149348308664532378e+05
3.500000000000000000e+02,2.065678254428109154e+06,8.237774164244627953e+07,7.614029788428805768e+05
3.550000000000000000e+02,1.719044377721810946e+06,7.384331819266153872e+07,6.336347427518932382e+05
3.600000000000000000e+02,1.430577858020087704e+06,6.619307027583058923e+07,5.273068248727038736e+05
