x, lambda_eff
0.000000000000000000e+00,4.500588284955937013e+01
5.000000000000000000e+00,4.430467703313258454e+01
1.000000000000000000e+01,4.354880770298024117e+01
1.500000000000000000e+01,4.274031601217965459e+01
2.000000000000000000e+01,4.188335560617927911e+01
2.500000000000000000e+01,4.098405843635203638e+01
3.000000000000000000e+01,4.005032459650966103e+01
3.500000000000000000e+01,3.909154436656304199e+01
4.000000000000000000e+01,3.811826230416093608e+01
4.500000000000000000e+01,3.714179486342452208e+01
5.000000000000000000e+01,3.617381481874521398e+01
5.500000000000000000e+01,3.522591783957565070e+01
6.000000000000000000e+01,3.430918886773694254e+01
6.500000000000000000e+01,3.343378824569185070e+01
7.000000000000000000e+01,3.260857932333341580e+01
7.500000000000000000e+01,3.184081978571913041e+01
8.000000000000000000e+01,3.113593735425337528e+01
8.500000000000000000e+01,3.049740615235843322e+01
9.000000000000000000e+01,2.992673273222344577e+01
9.500000000000000000e+01,2.942355113527156973e+01
1.000000000000000000e+02,2.898581580312746553e+01
1.050000000000000000e+02,2.861007157028236136e+01
1.100000000000000000e+02,2.829177321696983682e+01
1.150000000000000000e+02,2.802562437878714618e+01
1.200000000000000000e+02,2.780590724109508116e+01
1.250000000000000000e+02,2.762677963643725221e+01
1.300000000000000000e+02,2.748252349283480456e+01
1.350000000000000000e+02,2.736773645448615611e+01
1.400000000000000000e+02,2.727746557573062347e+01
1.450000000000000000e+02,2.721976008744079323e+01
1.500000000000000000e+02,2.721976008744079323e+01
1.550000000000000000e+02,2.721976008744079323e+01
1.600000000000000000e+02,2.721976008744079323e+01
1.650000000000000000e+02,2.721976008744079323e+01
1.700000000000000000e+02,2.721976008744079323e+01
1.750000000000000000e+02,2.721976008744079323e+01
1.800000000000000000e+02,2.721976008744079323e+01
1.850000000000000000e+02,2.721976008744079323e+01
1.900000000000000000e+02,2.721976008744079323e+01
1.950000000000000000e+02,2.721976008744079323e+01
2.000000000000000000e+02,2.721976008744079323e+01
2.050000000000000000e+02,2.721976008744079323e+01
2.100000000000000000e+02,2.721976008744079323e+01
2.150000000000000000e+02,2.721976008744079323e+01
2.200000000000000000e+02,2.721976008744079323e+01
2.250000000000000000e+02,2.721976008744079323e+01
2.300000000000000000e+02,2.721976008744079323e+01
2.350000000000000000e+02,2.721976008744079323e+01
2.400000000000000000e+02,2.721976008744079323e+01
2.450000000000000000e+02,2.721976008744079323e+01
2.500000000000000000e+02,2.721976008744079323e+01
2.550000000000000000e+02,2.721976008744079323e+01
2.600000000000000000e+02,2.721976008744079323e+01
