x, current_density, J_max, J_min
0.000000000000000000e+00,1.120242334524893036e+11,1.197639726782254181e+11,2.923518477048280640e+11
5.000000000000000000e+00,1.055051715931266785e+11,1.110824799755784760e+11,2.432933583934868469e+11
1.000000000000000000e+01,9.929637215661007690e+10,1.030302943496816254e+11,2.024671939072000122e+11
1.500000000000000000e+01,9.338651009084082031e+10,9.556179836924601746e+10,1.684919180668975525e+11
2.000000000000000000e+01,8.776456468171958923e+10,8.863468133528291321e+10,1.402179084226076660e+11
2.500000000000000000e+01,8.241981095400160217e+10,8.220969958153721619e+10,1.166884564433803711e+11
3.000000000000000000e+01,7.734181157572619629e+10,7.625045415034692383e+10,9.710739534140209961e+10
3.500000000000000000e+01,7.252040918233810425e+10,7.072318458441255188e+10,8.081216015199342346e+10
4.000000000000000000e+01,6.794571912132505035e+10,6.559657766626077271e+10,6.725136850259112549e+10
4.500000000000000000e+01,6.360812260839537048e+10,6.084159002186883545e+10,5.596616347050759888e+10
5.000000000000000000e+01,5.949826026315006256e+10,5.643128358345921326e+10,4.657468722717367554e+10
5.500000000000000000e+01,5.560702602654935455e+10,5.234067297932489777e+10,3.875916010308897400e+10
6.000000000000000000e+01,5.192556144257190704e+10,4.854658398611421967e+10,3.225512786740505981e+10
6.500000000000000000e+01,4.844525028633257294e+10,4.502752224167600250e+10,2.684251338201044464e+10
7.000000000000000000e+01,4.515771351257302856e+10,4.176355147469380188e+10,2.233816984466276932e+10
7.500000000000000000e+01,4.205480453934424591e+10,3.873618056125303650e+10,1.858968364502785873e+10
8.000000000000000000e+01,3.912860481144576263e+10,3.592825876849111176e+10,1.547021714067522812e+10
8.500000000000000000e+01,3.637141965306476593e+10,3.332387859186244965e+10,1.287421684788347435e+10
9.000000000000000000e+01,3.377577438541627502e+10,3.090828563556980133e+10,1.071384182517637253e+10
9.500000000000000000e+01,3.133441068378343964e+10,2.866779502561434174e+10,8.915991396693733215e+09
1.000000000000000000e+02,2.904028316978015900e+10,2.658971388192580795e+10,7.419831642381752968e+09
1.050000000000000000e+02,2.688655619761258698e+10,2.466226941035995865e+10,6.174736958775531769e+09
1.100000000000000000e+02,2.486660084119079590e+10,2.287454220718844604e+10,5.138577038902958870e+09
1.150000000000000000e+02,2.297399203965619659e+10,2.121640439823614883e+10,4.276291307796353340e+09
1.200000000000000000e+02,2.120250589150901794e+10,1.967846226221028137e+10,3.558702576742664337e+09
1.250000000000000000e+02,1.954611707629485321e+10,1.825200301316975021e+10,2.961529773854685307e+09
1.300000000000000000e+02,1.799899638099795914e+10,1.692894544064542007e+10,2.464566344697368622e+09
1.350000000000000000e+02,1.655550831024969482e+10,1.570179412777658653e+10,2.050996522486080170e+09
1.400000000000000000e+02,1.521020876185066986e+10,1.456359698809919930e+10,1.706826332470483303e+09
1.450000000000000000e+02,1.395784274415022659e+10,1.350790588042219353e+10,1.420410077381987810e+09
1.500000000000000000e+02,1.279334211765417671e+10,1.252874007866645622e+10,1.182056281618326426e+09
1.550000000000000000e+02,1.171182334013602066e+10,1.162055238971483231e+10,9.836997604865504503e+08
1.600000000000000000e+02,1.070858519564364433e+10,1.077819772732329178e+10,8.186287183013732433e+08
1.650000000000000000e+02,9.779106490683197021e+09,9.996903964057413101e+09,6.812576411488422155e+08
1.700000000000000000e+02,8.919043698457265854e+09,9.272244896123823166e+09,5.669382996808384657e+08
1.750000000000000000e+02,8.124228536281998634e+09,8.600115167936458588e+09,4.718024668361498117e+08
1.800000000000000000e+02,7.390665460193584442e+09,7.976707014359585762e+09,3.926310285228374004e+08
1.850000000000000000e+02,6.714529063730645180e+09,7.398488688867234230e+09,3.267450583560395241e+08
1.900000000000000000e+02,6.092161368070620537e+09,6.862184455409764290e+09,2.719151707437758446e+08
1.950000000000000000e+02,5.520068993456956863e+09,6.364756030637007713e+09,2.262860850983400047e+08
2.000000000000000000e+02,4.994920202799364090e+09,5.903385371343996048e+09,1.883138486501869261e+08
2.050000000000000000e+02,4.513541810480436325e+09,5.475458709626354218e+09,1.567135936707477570e+08
2.100000000000000000e+02,4.072915951425704956e+09,5.078551745300945282e+09,1.304160613637156188e+08
2.150000000000000000e+02,3.670176707177158356e+09,4.710415911703459740e+09,1.085314213223816007e+08
2.200000000000000000e+02,3.302606587992938042e+09,4.368965637055708885e+09,9.031916231088910997e+07
2.250000000000000000e+02,2.967632871811702251e+09,4.052266529235363007e+09,7.516303556284913421e+07
2.300000000000000000e+02,2.662823803163931847e+09,3.758524417012215614e+09,6.255020275294347852e+07
2.350000000000000000e+02,2.385884656852705956e+09,3.486075185667166710e+09,5.205388307079210877e+07
2.400000000000000000e+02,2.134653673346773386e+09,3.233375349410394669e+09,4.331891222559129447e+07
2.450000000000000000e+02,1.907097874517284393e+09,2.998993307189375401e+09,3.604972474111963809e+07
2.500000000000000000e+02,1.701308770148800611e+09,2.781601232348948479e+09,3.000035289765995741e+07
2.550000000000000000e+02,1.515497967180891037e+09,2.579967550196539879e+09,2.496610391472797468e+07
2.600000000000000000e+02,1.347992695067422390e+09,2.392949960856257439e+09,2.077663375518538430e+07
2.650000000000000000e+02,1.197231261864959002e+09,2.219488967884787560e+09,1.729018318883384764e+07
2.700000000000000000e+02,1.061758456685323715e+09,2.058601875987238884e+09,1.438878108099784888e+07
2.750000000000000000e+02,9.402209149730219841e+08,1.909377223828654051e+09,1.197425259962473437e+07
2.800000000000000000e+02,8.313624636434127092e+08,1.770969620401830673e+09,9.964897270483473316e+06
2.850000000000000000e+02,7.340194634945386648e+08,1.642594955698316336e+09,8.292724475713913329e+06
2.900000000000000000e+02,6.471161664229012728e+08,1.523525958549958706e+09,6.901152853206289932e+06
2.950000000000000000e+02,5.696601048737214804e+08,1.413088076475182056e+09,5.743095751317271031e+06
3.000000000000000000e+02,5.007375306268743873e+08,1.310655654188416481e+09,4.779367956395060755e+06
3.050000000000000000e+02,4.395089194818772674e+08,1.215648389123064995e+09,3.977359781504015438e+06
3.100000000000000000e+02,3.852045576609787941e+08,1.127528043887763739e+09,3.309933651448292192e+06
3.150000000000000000e+02,3.371202248269876838e+08,1.045795397031258821e+09,2.754505847808167804e+06
3.200000000000000000e+02,2.946129875271106362e+08,9.699874148413085938e+08,2.292282342967663892e+06
3.250000000000000000e+02,2.570971156490373611e+08,8.996746281552067995e+08,1.907622866026043426e+06
3.300000000000000000e+02,2.240401331387948394e+08,8.344586993209918737e+08,1.587511682471983368e+06
3.350000000000000000e+02,1.949590128038457632e+08,7.739701655256149769e+08,1.321117180375956232e+06
3.400000000000000000e+02,1.694165235382273793e+08,7.178663457055273056e+08,1.099425360805380624e+06
3.450000000000000000e+02,1.470177367869668901e+08,6.658293991818629503e+08,9.149348308664532378e+05
3.500000000000000000e+02,1.274066975383115411e+08,6.175645250219554901e+08,7.614029788428805768e+05
3.550000000000000000e+02,1.102632636208590865e+08,5.727982919261617661e+08,6.336347427518932382e+05
3.600000000000000000e+02,9.530011561146244407e+07,5.312770891784367561e+08,5.273068248727038736e+05
3.650000000000000000e+02,8.225993824870622158e+07,4.927656898849439025e+08,4.388214041890170774e+05
3.700000000000000000e+02,7.091277291539378464e+07,4.570459183611265421e+08,3.651843968090252019e+05
3.750000000000000000e+02,6.105353951604735106e+07,4.239154141176903844e+08,3.039041450569911976e+05
3.800000000000000000e+02,5.249972494540353119e+07,3.931864854432044029e+08,2.529071071761032217e+05
3.850000000000000000e+02,4.508923432987607270e+07,3.646850460886030197e+08,2.104676948324945115e+05
3.900000000000000000e+02,3.867840033281347156e+07,3.382496290296773911e+08,1.751498843299000291e+05
3.950000000000000000e+02,3.314014504929238930e+07,3.137304717202934027e+08,1.457586258318297914e+05
4.000000000000000000e+02,2.836228837780473754e+07,2.909886676540953517e+08,1.212994064236245031e+05
4.050000000000000000e+02,2.424599624269238859e+07,2.698953794281002283e+08,1.009445987484782381e+05
4.100000000000000000e+02,2.070436164843272418e+07,2.503311088500153124e+08,8.400545655519950378e+04
4.150000000000000000e+02,1.766111126884968206e+07,2.321850199542680681e+08,6.990880957019896596e+04
4.200000000000000000e+02,1.504943010344463587e+07,2.153543110914900601e+08,5.817766911737412738e+04
4.250000000000000000e+02,1.281089666049128398e+07,1.997436325341960192e+08,4.841508823765589477e+04
4.300000000000000000e+02,1.089452114263289236e+07,1.852645462992661297e+08,4.029073018258805678e+04
4.350000000000000000e+02,9.255879205226559192e+06,1.718350251270053387e+08,3.352969079964460252e+04
4.400000000000000000e+02,7.856334020098236389e+06,1.593789877783839107e+08,2.790319659199476155e+04
4.450000000000000000e+02,6.662339597249254584e+06,1.478258680178129375e+08,2.322086370267876919e+04
4.500000000000000000e+02,5.644818584172762930e+06,1.371102148396479189e+08,1.932425589020426560e+04
4.550000000000000000e+02,4.778608067044404335e+06,1.271713216736134291e+08,1.608152351658723637e+04
4.600000000000000000e+02,4.041967231001933105e+06,1.179528824685137719e+08,1.338294214710969391e+04
4.650000000000000000e+02,3.416141089609129820e+06,1.094026727058681548e+08,1.113719980125951770e+04
4.700000000000000000e+02,2.884974858809315600e+06,1.014722535363415182e+08,9.268307226446680943e+03
4.750000000000000000e+02,2.434573921473701485e+06,9.411669736283582449e+07,7.713026647334579138e+03
4.800000000000000000e+02,2.053004699179602787e+06,8.729433331561143696e+07,6.418731987297414889e+03
4.850000000000000000e+02,1.730032113126054406e+06,8.096651117749616504e+07,5.341628158252618050e+03
4.900000000000000000e+02,1.456889671966836555e+06,7.509738242176634073e+07,4.445269164922848177e+03
4.950000000000000000e+02,1.226078567468983820e+06,6.965369712223057449e+07,3.699324880576876240e+03
