x, ell
0.000000000000000000e+00,1.363428321879569083e+01
5.000000000000000000e+00,1.402241520710072109e+01
1.000000000000000000e+01,1.442614995880047246e+01
1.500000000000000000e+01,1.484622636710697563e+01
2.000000000000000000e+01,1.528342309070020910e+01
2.500000000000000000e+01,1.573856092289223341e+01
3.000000000000000000e+01,1.621250531447300958e+01
3.500000000000000000e+01,1.670616906096380916e+01
4.000000000000000000e+01,1.722051516580306085e+01
4.500000000000000000e+01,1.775655989185083783e+01
5.000000000000000000e+01,1.831537601452798469e+01
5.500000000000000000e+01,1.889809629090932575e+01
6.000000000000000000e+01,1.950591716017430244e+01
6.500000000000000000e+01,2.014010269198871939e+01
7.000000000000000000e+01,2.080198880065611178e+01
7.500000000000000000e+01,2.149298774424363501e+01
8.000000000000000000e+01,2.221459292936528840e+01
8.500000000000000000e+01,2.296838404390279464e+01
9.000000000000000000e+01,2.375603254167265277e+01
9.500000000000000000e+01,2.457930750491810201e+01
1.000000000000000000e+02,2.544008191252842721e+01
1.050000000000000000e+02,2.634033934407926836e+01
1.100000000000000000e+02,2.728218115216109396e+01
1.150000000000000000e+02,2.826783413803285328e+01
1.200000000000000000e+02,2.929965876842437567e+01
1.250000000000000000e+02,3.038015797433039822e+01
1.300000000000000000e+02,3.151198657591279684e+01
1.350000000000000000e+02,3.269796138117963125e+01
1.400000000000000000e+02,3.394107200996151619e+01
1.450000000000000000e+02,3.524449249888796487e+01
1.500000000000000000e+02,3.661159374760546825e+01
1.550000000000000000e+02,3.804595687140862736e+01
1.600000000000000000e+02,3.955138753081092773e+01
1.650000000000000000e+02,4.113193131440046812e+01
1.700000000000000000e+02,4.279189025765115417e+01
1.750000000000000000e+02,4.453584058723678396e+01
1.800000000000000000e+02,4.636865178787590480e+01
1.850000000000000000e+02,4.829550709687391219e+01
1.900000000000000000e+02,5.032192554038506671e+01
1.950000000000000000e+02,5.245378563506159963e+01
2.000000000000000000e+02,5.469735088925744293e+01
2.050000000000000000e+02,5.705929724939470304e+01
2.100000000000000000e+02,5.954674264956826590e+01
2.150000000000000000e+02,6.216727883605332750e+01
2.200000000000000000e+02,6.492900565320108797e+01
2.250000000000000000e+02,6.784056799337088250e+01
2.300000000000000000e+02,7.091119563118752467e+01
2.350000000000000000e+02,7.415074618166410403e+01
2.400000000000000000e+02,7.756975144275153866e+01
2.450000000000000000e+02,8.117946740583795417e+01
2.500000000000000000e+02,8.499192824280542879e+01
2.550000000000000000e+02,8.902000460567164453e+01
2.600000000000000000e+02,9.327746660481994923e+01
2.650000000000000000e+02,9.777905186460692732e+01
2.700000000000000000e+02,1.025405390910061811e+02
2.750000000000000000e+02,1.075788276252029192e+02
2.800000000000000000e+02,1.129120235000298322e+02
2.850000000000000000e+02,1.185595325632043711e+02
2.900000000000000000e+02,1.245421612828877045e+02
2.950000000000000000e+02,1.308822259075969328e+02
3.000000000000000000e+02,1.376036707144507432e+02
3.050000000000000000e+02,1.447321961476670253e+02
3.100000000000000000e+02,1.522953977237604022e+02
3.150000000000000000e+02,1.603229166616776524e+02
3.200000000000000000e+02,1.688466032859010966e+02
3.250000000000000000e+02,1.779006943491504273e+02
3.300000000000000000e+02,1.875220055296400972e+02
3.350000000000000000e+02,1.977501404768882480e+02
3.400000000000000000e+02,2.086277179109383724e+02
3.450000000000000000e+02,2.202006184237711750e+02
3.500000000000000000e+02,2.325182527900018954e+02
3.550000000000000000e+02,2.456338537681932905e+02
3.600000000000000000e+02,2.596047935659204313e+02
3.650000000000000000e+02,2.744929293529565371e+02
3.700000000000000000e+02,2.903649794396649781e+02
3.750000000000000000e+02,3.072929329941358105e+02
3.800000000000000000e+02,3.253544964543514197e+02
3.850000000000000000e+02,3.446335801034811652e+02
3.900000000000000000e+02,3.652208286204296996e+02
3.950000000000000000e+02,3.872141997974333094e+02
4.000000000000000000e+02,4.107195960356915521e+02
4.050000000000000000e+02,4.358515536929948553e+02
4.100000000000000000e+02,4.627339958688305046e+02
4.150000000000000000e+02,4.915010547778228442e+02
4.200000000000000000e+02,5.222979704874868503e+02
4.250000000000000000e+02,5.552820734876937649e+02
4.300000000000000000e+02,5.906238593243348305e+02
4.350000000000000000e+02,6.285081643764985984e+02
4.400000000000000000e+02,6.691354527942326058e+02
4.450000000000000000e+02,7.127232256527022400e+02
4.500000000000000000e+02,7.595075645296502671e+02
4.550000000000000000e+02,8.097448229891109577e+02
4.600000000000000000e+02,8.637134808694381718e+02
4.650000000000000000e+02,9.217161778436044415e+02
4.700000000000000000e+02,9.840819444620473178e+02
4.750000000000000000e+02,1.051168650822692143e+03
4.800000000000000000e+02,1.123365695161189706e+03
4.850000000000000000e+02,1.201096957041476117e+03
4.900000000000000000e+02,1.284824042479959871e+03
4.950000000000000000e+02,1.375049851286859848e+03
5.000000000000000000e+02,1.472322500189858374e+03
5.050000000000000000e+02,1.577239638957039460e+03
5.100000000000000000e+02,1.690453200801300909e+03
5.150000000000000000e+02,1.812674632875663747e+03
5.200000000000000000e+02,1.944680657712544644e+03
5.250000000000000000e+02,2.087319622081342004e+03
5.300000000000000000e+02,2.241518496006024634e+03
5.350000000000000000e+02,2.408290591674956431e+03
5.400000000000000000e+02,2.588744079775332466e+03
5.450000000000000000e+02,2.784091389491624341e+03
5.500000000000000000e+02,2.995659588130472002e+03
5.550000000000000000e+02,3.224901847196526433e+03
5.600000000000000000e+02,3.473410113882930546e+03
5.650000000000000000e+02,3.699999999999999545e+03
5.700000000000000000e+02,3.699999999999999545e+03
5.750000000000000000e+02,3.699999999999999545e+03
5.800000000000000000e+02,3.699999999999999545e+03
5.850000000000000000e+02,3.699999999999999545e+03
5.900000000000000000e+02,3.699999999999999545e+03
5.950000000000000000e+02,3.699999999999999545e+03
6.000000000000000000e+02,3.699999999999999545e+03
6.050000000000000000e+02,3.699999999999999545e+03
6.100000000000000000e+02,3.699999999999999545e+03
6.150000000000000000e+02,3.699999999999999545e+03
6.200000000000000000e+02,3.699999999999999545e+03
6.250000000000000000e+02,3.699999999999999545e+03
