x, current_density, J_max, J_min
0.000000000000000000e+00,1.520512745328610840e+11,1.625828502207053223e+11,2.923518477048280640e+11
5.000000000000000000e+00,1.402269842701067505e+11,1.467945370301098633e+11,2.432933583934868469e+11
1.000000000000000000e+01,1.291418201657802429e+11,1.325394165044599457e+11,2.024671939072000122e+11
1.500000000000000000e+01,1.187623520118318481e+11,1.196686013168153839e+11,1.684919180668975525e+11
2.000000000000000000e+01,1.090560498025026703e+11,1.080476624902073669e+11,1.402179084226076660e+11
2.500000000000000000e+01,9.999126601747015381e+10,9.755522535682330322e+10,1.166884564433803711e+11
3.000000000000000000e+01,9.153722023808570862e+10,8.808170186266761780e+10,9.710739534140209961e+10
3.500000000000000000e+01,8.366398556767950439e+10,7.952814597727970886e+10,8.081216015199342346e+10
4.000000000000000000e+01,7.634247666630369568e+10,7.180522025385809326e+10,6.725136850259112549e+10
4.500000000000000000e+01,6.954443936334529114e+10,6.483226274604817963e+10,5.596616347050759888e+10
5.000000000000000000e+01,6.324244168782042694e+10,5.853644453582451630e+10,4.657468722717367554e+10
5.500000000000000000e+01,5.740986626068898773e+10,5.285200907328382111e+10,3.875916010308897400e+10
6.000000000000000000e+01,5.202090395882546997e+10,4.771958538364837646e+10,3.225512786740505981e+10
6.500000000000000000e+01,4.705054879478065491e+10,4.308556796828353119e+10,2.684251338201044464e+10
7.000000000000000000e+01,4.247459392154531097e+10,3.890155692311784363e+10,2.233816984466276932e+10
7.500000000000000000e+01,3.826962868973799133e+10,3.512385242679364014e+10,1.858968364502785873e+10
8.000000000000000000e+01,3.441303667641291809e+10,3.171299831873931122e+10,1.547021714067522812e+10
8.500000000000000000e+01,3.088299456566563797e+10,2.863337000007351685e+10,1.287421684788347435e+10
9.000000000000000000e+01,2.765847176203600693e+10,2.585280235318040466e+10,1.071384182517637253e+10
9.500000000000000000e+01,2.471923058243109512e+10,2.334225379376909256e+10,8.915991396693733215e+09
1.000000000000000000e+02,2.204582684464038086e+10,2.107550294661573410e+10,7.419831642381752968e+09
1.050000000000000000e+02,1.961961064133690643e+10,1.902887477692387390e+10,6.174736958775531769e+09
1.100000000000000000e+02,1.742272706512237549e+10,1.718099331688759613e+10,5.138577038902958870e+09
1.150000000000000000e+02,1.543811661585028839e+10,1.551255840481466484e+10,4.276291307796353340e+09
1.200000000000000000e+02,1.364951500669855118e+10,1.400614410496603203e+10,3.558702576742664337e+09
1.250000000000000000e+02,1.204145206636803627e+10,1.264601670271156120e+10,2.961529773854685307e+09
1.300000000000000000e+02,1.059924942978267288e+10,1.141797037405589294e+10,2.464566344697368622e+09
1.350000000000000000e+02,9.309016712885894775e+09,1.030917881318819237e+10,2.050996522486080170e+09
1.400000000000000000e+02,8.157645880894719124e+09,9.308061268382484436e+09,1.706826332470483303e+09
1.450000000000000000e+02,7.132803546276494026e+09,8.404161587063217163e+09,1.420410077381987810e+09
1.500000000000000000e+02,6.222920968784668922e+09,7.588039006724615097e+09,1.182056281618326426e+09
1.550000000000000000e+02,5.417181579665844917e+09,6.851169551071745872e+09,9.836997604865504503e+08
